ReasonRemoved,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,WaDEUUID,IncompleteField,index
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4566,-120.913,,,POD,,wadeId100000,,Well,CA,,"cnra349766,cnra955736,cnra355498,cnra349560,cnra352404,cnra353135,cnra949483,cnra949265,cnra355542,cnra356866,cnra354658,cnra352764,cnra351863","Mariposa,Stanislaus",5.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Sacramento,Amador",4326,,,,,,,,,POD,B14,wadeId10004,,Well,CA,,"cnra576370,cnra46309","Sacramento,Amador",48.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Tuolumne",4326,,,,,37.854,-120.15,,,POD,,wadeId100125,,Well,CA,,"cnra1029572,cnra1029717,cnra1031487,cnra1030764,cnra1026216,cnra1027420,cnra1027396,cnra1030187,cnra1029060,cnra349742,cnra1029714,cnra1029154,cnra1024617","Mariposa,Tuolumne",143.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,,Digitized,"Mariposa,Sonoma",4326,,,,,,,,,POD,WELL,wadeId100157,,Well,CA,,"cnra349792,cnra912753","Mariposa,Sonoma",178.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4708,-120.858,,,POD,,wadeId100212,,Well,CA,,"cnra962571,cnra356092,cnra352137,cnra958588,cnra960942,cnra947194,cnra955652,cnra947608,cnra963501,cnra349883,cnra953778,cnra962268,cnra955335,cnra352552,cnra956743,cnra951229,cnra353309,cnra357276,cnra953716,cnra356219,cnra350736,cnra356218,cnra355351,cnra946125,cnra355485,cnra354049,cnra949618,cnra951585,cnra356837,cnra948904","Mariposa,Stanislaus",240.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Merced",4326,,,,,37.2066,-120.098,,,POD,,wadeId100260,,Well,CA,,"cnra352216,cnra350925,cnra349964,cnra377349","Mariposa,Merced",293.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4567,-120.859,,,POD,,wadeId100298,,Well,CA,,"cnra350336,cnra963502,cnra957239,cnra352710,cnra961345,cnra945658,cnra357439,cnra350891,cnra357398,cnra351415,cnra352326,cnra957479,cnra949351,cnra350960,cnra352299,cnra357331,cnra350042,cnra352930,cnra357413,cnra945344,cnra948183,cnra354429,cnra350380,cnra357122,cnra353460","Mariposa,Stanislaus",334.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4708,-120.84,,,POD,,wadeId100357,,Well,CA,,"cnra357179,cnra351655,cnra352498,cnra352565,cnra954271,cnra357099,cnra355804,cnra352450,cnra963551,cnra353044,cnra353450,cnra356642,cnra355151,cnra954952,cnra354834,cnra350214,cnra351359,cnra350183,cnra351009,cnra353222,cnra952671,cnra357130,cnra351829,cnra946821,cnra954580,cnra954324,cnra946051,cnra351325","Mariposa,Stanislaus",400.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4711,-120.894,,,POD,,wadeId100425,,Well,CA,,"cnra959027,cnra963161,cnra356575,cnra953041,cnra350464,cnra355707,cnra350351,cnra947166,cnra352758,cnra351697,cnra354941,cnra352331,cnra945569,cnra354969,cnra355595","Mariposa,Stanislaus",476.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Tuolumne",4326,,,,,37.791,-120.212,,,POD,,wadeId100550,,Well,CA,,"cnra1030238,cnra1029773,cnra354147,cnra350661","Mariposa,Tuolumne",615.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4565,-120.894,,,POD,,wadeId100553,,Well,CA,,"cnra353174,cnra354410,cnra354899,cnra352084,cnra959066,cnra948337,cnra354588,cnra353123,cnra356119,cnra355040,cnra948419,cnra355416,cnra948440,cnra352071,cnra350666,cnra951123,cnra354892,cnra952384,cnra950154,cnra353518,cnra355352,cnra353388,cnra951663,cnra960315,cnra352427,cnra353162,cnra354652","Mariposa,Stanislaus",618.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4711,-120.876,,,POD,,wadeId100649,,Well,CA,,"cnra352094,cnra353322,cnra353317,cnra350973,cnra960706,cnra953406,cnra959367,cnra963541,cnra947786,cnra958809,cnra354626,cnra947257,cnra355332,cnra951233,cnra353642,cnra949891,cnra355288,cnra350930,cnra354187,cnra351909,cnra956645","Mariposa,Stanislaus",724.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Tuolumne",4326,,,,,37.7177,-120.268,,,POD,,wadeId100738,,Well,CA,,"cnra351163,cnra354208,cnra1024971","Mariposa,Tuolumne",823.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Merced",4326,,,,,37.2067,-120.116,,,POD,,wadeId100741,,Well,CA,,"cnra351181,cnra383099","Mariposa,Merced",827.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Stanislaus",4326,,,,,37.4564,-120.876,,,POD,,wadeId100751,,Well,CA,,"cnra351202,cnra958765,cnra355726,cnra356445,cnra952907,cnra351394,cnra960599,cnra355805,cnra354252,cnra354212,cnra356256,cnra955910,cnra958153","Mariposa,Stanislaus",838.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Tuolumne",4326,,,,,37.7172,-120.324,,,POD,,wadeId101036,,Well,CA,,"cnra1027615,cnra1031539,cnra352105","Mariposa,Tuolumne",1155.0
Incomplete or bad entry for County,,,CADWRwr_WSwadeId1,Centroid of Section,Digitized,"Mariposa,Tuolumne",4326,,,,,37.7764,-120.23,,,POD,,wadeId101175,,Well,CA,,"cnra1026786,cnra352556,cnra1026569,cnra1026529,cnra1029198","Mariposa,Tuolumne",1309.0
