WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
AKwr_WS1,,,Fresh,Well 13,1422,well
AKwr_WS2,,,Fresh,Captain's Bay,16432,creek
AKwr_WS3,,,Fresh,Big Lake,2684,lake
AKwr_WS4,,,Fresh,Well 14,37209,well
AKwr_WS5,,,Fresh,Monashka Creek #2,844,creek
AKwr_WS6,,,Fresh,Pump 1,20910,well
AKwr_WS7,,,Fresh,Pump 2,20912,well
AKwr_WS8,,,Fresh,R-25 Creek,18027,creek
AKwr_WS9,,,Fresh,Bons Creek,14462,river
AKwr_WS10,,,Fresh,Lacy Lane,9319,well
AKwr_WS11,,,Fresh,Mission Hills,9320,well
AKwr_WS12,,,Fresh,GRUENING,37211,well
AKwr_WS13,,,Fresh,North Slope Assets,21319,well
AKwr_WS14,,,Fresh,North Slope Assets,21321,well
AKwr_WS15,,,Fresh,North Slope Assets,21324,well
AKwr_WS16,,,Fresh,Salmon Creek,19976,river
AKwr_WS17,,,Fresh,North Slope Assets,21341,lake
AKwr_WS18,,,Fresh,North Slope Assets,21343,lake
AKwr_WS19,,,Fresh,North Slope Assets,21345,lake
AKwr_WS20,,,Fresh,North Slope Assets,21347,well
AKwr_WS21,,,Fresh,Kuparuk Unit,3302,lake
AKwr_WS22,,,Fresh,EKLUTNA WTF,37213,lake
AKwr_WS23,,,Fresh,Kuparuk Unit,2764,lake
AKwr_WS24,,,Fresh,Bradley Lake Powerhouse,54563,lake
AKwr_WS25,,,Fresh,Well #4,1902,well
AKwr_WS26,,,Fresh,Well #1,1882,well
AKwr_WS27,,,Fresh,Well #3,2061,well
AKwr_WS28,,,Fresh,Well #5,2062,well
AKwr_WS29,,,Fresh,WELL #2,57013,well
AKwr_WS30,,,Fresh,ER #06 MCALPINE,37215,well
AKwr_WS31,,,Fresh,ER #09 PALO VERDES,37217,well
AKwr_WS32,,,Fresh,Honnor Garden,9321,well
AKwr_WS33,,,Fresh,East Susitna,9322,well
AKwr_WS34,,,Fresh,Muck,9323,well
AKwr_WS35,,,Fresh,Spruce Avenue,9324,well
AKwr_WS36,,,Fresh,Spruce Stand-by well,9325,well
AKwr_WS37,,,Fresh,Wonderland Irrigation well,9326,well
AKwr_WS38,,,Fresh,City Creek,15542,river
AKwr_WS39,,,Fresh,Pump Station 6,52111,well
AKwr_WS40,,,Fresh,WELL,9957,well
AKwr_WS41,,,Fresh,"Little Campbell Creek, Lot 11",58589,creek
AKwr_WS42,,,Fresh,Pillar Creek Hatchery,55877,creek
AKwr_WS43,,,Fresh,Eyak Lake,28541,lake
AKwr_WS44,,,Fresh,Wells #4 & #5,16021,well
