SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AKwr_S3,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Big Lake,,,lake,AK,,Bad Latitude,2.0
AKwr_S4,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Well 14,,,well,AK,,Bad Latitude,3.0
AKwr_S8,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,R-25 Creek,,,creek,AK,,Bad Latitude,7.0
AKwr_S10,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Lacy Lane,,,well,AK,,Bad Latitude,9.0
AKwr_S11,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Mission Hills,,,well,AK,,Bad Latitude,10.0
AKwr_S12,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,GRUENING,,,well,AK,,Bad Latitude,11.0
AKwr_S13,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Milne Point Unit Well #A-2A,,,well,AK,,Bad Latitude,12.0
AKwr_S14,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Milne Point Unit,,,well,AK,,Bad Latitude,13.0
AKwr_S15,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Milne Point Unit Well #B-1,,,well,AK,,Bad Latitude,14.0
AKwr_S16,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MPU Source Water Well CFP-1,,,well,AK,,Bad Latitude,15.0
AKwr_S20,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L Pad Lake,,,lake,AK,,Bad Latitude,19.0
AKwr_S21,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Milne Point Unit Unnamed Lake,,,lake,AK,,Bad Latitude,20.0
AKwr_S22,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,MPU B Pad Lake,,,lake,AK,,Bad Latitude,21.0
AKwr_S23,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Mine Site B,,,well,AK,,Bad Latitude,22.0
AKwr_S24,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,K309,,,lake,AK,,Bad Latitude,23.0
AKwr_S25,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,EKLUTNA WTF,,,lake,AK,,Bad Latitude,24.0
AKwr_S26,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,K214,,,lake,AK,,Bad Latitude,25.0
AKwr_S27,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Bradley Lake Powerhouse,,,lake,AK,,Bad Latitude,26.0
AKwr_S32,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,WELL #2,,,well,AK,,Bad Latitude,31.0
AKwr_S33,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,ER #06 MCALPINE,,,well,AK,,Bad Latitude,32.0
AKwr_S34,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,ER #09 PALO VERDES,,,well,AK,,Bad Latitude,33.0
AKwr_S35,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Honnor Garden,,,well,AK,,Bad Latitude,34.0
AKwr_S36,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,East Susitna,,,well,AK,,Bad Latitude,35.0
AKwr_S37,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Muck,,,well,AK,,Bad Latitude,36.0
AKwr_S38,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Spruce Avenue,,,well,AK,,Bad Latitude,37.0
AKwr_S39,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Spruce Stand-by well,,,well,AK,,Bad Latitude,38.0
AKwr_S40,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Wonderland Irrigation well,,,well,AK,,Bad Latitude,39.0
AKwr_S43,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,WELL,,,well,AK,,Bad Latitude,42.0
AKwr_S44,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,"Little Campbell Creek, Lot 11",,,creek,AK,,Bad Latitude,43.0
AKwr_S45,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Pillar Creek,,,creek,AK,,Bad Latitude,44.0
AKwr_S46,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Eyak Lake,,,lake,AK,,Bad Latitude,45.0
AKwr_S48,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Well E,,,well,AK,,Bad Latitude,47.0
AKwr_S49,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Old Field,,,well,AK,,Bad Latitude,48.0
AKwr_S51,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Buskin Lake,,,well,AK,,Bad Latitude,50.0
AKwr_S53,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,St Nicholas - North Fork Lake,,,lake,AK,,Bad Latitude,52.0
AKwr_S54,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,wells,,,well,AK,,Bad Latitude,53.0
AKwr_S57,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,Haines - Lutak,,,lake,AK,,Bad Latitude,56.0
AKwr_S58,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,creek,,,creek,AK,,Bad Latitude,57.0
AKwr_S59,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,North PRB State No. 2,,,lake,AK,,Bad Latitude,58.0
AKwr_S64,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,East Drill Site 4  Area Lake,,,lake,AK,,Bad Latitude,63.0
