AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,SiteName,SiteTypeCV,Latitude,Longitude,ReasonRemoved,index
,,,,,,,,,ADL,100113,SOUTHEAST ALASKA POWER AGENCY,,,12/31,01/01,,0.92987367,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS274,,,,,Bad SiteUUID,1.0
,,,,,,,,,ADL,102445,DCCED ALASKA ENERGY AUTHORITY,,,12/31,01/01,,46333.994177116794,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS276,,,,,Bad SiteUUID,3.0
,,,,,,,,,LAS,11215,SOLDOTNA CITY OF,,,12/31,01/01,,0.00042381370900000003,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS45,,,,,Bad SiteUUID,4.0
,,,,,,,,,LAS,11327,DFG SPORT FISH DIV REGION II,,,12/31,01/01,,9196.3892185,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS46,,,,,Bad SiteUUID,5.0
,,,,,,,,,LAS,11408,USCG COMMANDING OFFICER SILC PRODUCT LINE DIV,,,12/31,01/01,,0.0029295317050999996,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS48,,,,,Bad SiteUUID,7.0
,,,,,,,,,LAS,11738,CRAIG CITY OF,,,12/31,01/01,,1120.14485,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS50,,,,,Bad SiteUUID,10.0
,,,,,,,,,LAS,11794,DFG COMM FISH HQS,,,12/31,01/01,,644.00056375116,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS51,,,,,Bad SiteUUID,11.0
,,,,,,,,,LAS,11878,HAINES BOR,,,12/31,01/01,,12307.46720329665,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS54,,,,,Bad SiteUUID,14.0
,,,,,,,,,LAS,11965,PORT GRAHAM VILLAGE OF,,,12/31,01/01,,130.120936,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS55,,,,,Bad SiteUUID,15.0
,,,,,,,,,LAS,12168,HILCORP NORTH SLOPE LLC,,,12/31,01/01,,5.63000452949,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS56,,,,,Bad SiteUUID,16.0
,,,,,,,,,LAS,12185,HILCORP NORTH SLOPE LLC,,,12/31,01/01,,34.000029763259995,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS70,,,,,Bad SiteUUID,27.0
,,,,,,,,,LAS,12187,HILCORP NORTH SLOPE LLC,,,12/31,01/01,,7.120005864510001,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS72,,,,,Bad SiteUUID,29.0
,,,,,,,,,LAS,12263,DFG SPORT FISH DIV REGION II,,,12/31,01/01,,645.2005641878501,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS74,,,,,Bad SiteUUID,31.0
,,,,,,,,,LAS,1237,HILL TIMBER HOMEOWNERS ASSN,,,12/31,01/01,,75.60977737500002,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,"AKwr_WS7,AKwr_WS6",,,,,Bad SiteUUID,32.0
,,,,,,,,,LAS,1257,KODIAK CITY OF,,,12/31,01/01,,1120.14485,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS8,,,,,Bad SiteUUID,33.0
,,,,,,,,,LAS,12588,"UAA, FACILITIES & LAND MANAGEMENT",,,12/31,01/01,,0.00015212487730000002,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS75,,,,,Bad SiteUUID,34.0
,,,,,,,,,LAS,12981,ADFG SPORT FISH WILLIAM JACK HERNANDEZ SPORTFISH HATCHERY,,,12/31,01/01,,6789.305942364661,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS76,,,,,Bad SiteUUID,35.0
,,,,,,,,,LAS,13152,BETHEL CITY OF,,,12/31,01/01,,645.2005648016279,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS78,,,,,Bad SiteUUID,37.0
,,,,,,,,,LAS,13184,THE RIVER COMPANY LLC/VINCENTGODDARD,,,12/31,01/01,,156.88165680000003,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS79,,,,,Bad SiteUUID,38.0
,,,,,,,,,LAS,13209,"UAA, FACILITIES & LAND MANAGEMENT",,,12/31,01/01,,1008.82086525,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS80,,,,,Bad SiteUUID,39.0
,,,,,,,,,LAS,13212,"UAA, FACILITIES & LAND MANAGEMENT",,,12/31,01/01,,1008.82086525,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS81,,,,,Bad SiteUUID,40.0
,,,,,,,,,LAS,13370,DCCED ALASKA ENERGY AUTHORITY,,,12/31,01/01,,725.0033751765201,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS82,,,,,Bad SiteUUID,41.0
,,,,,,,,,LAS,13450,UNALASKA CITY OF,,,12/31,01/01,,325.68028515839296,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS83,,,,,Bad SiteUUID,42.0
,,,,,,,,,LAS,13451,UNALASKA CITY OF,,,12/31,01/01,,438.54038530522,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS84,,,,,Bad SiteUUID,43.0
,,,,,,,,,LAS,13551,GOLDEN VALLEY ELEC ASSOC INC,,,12/31,01/01,,45365.86971178119,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS85,,,,,Bad SiteUUID,44.0
,,,,,,,,,LAS,13834,VICTORIA ESTATES HOMEOWNERS ASSOC.,,,12/31,01/01,,119.86010535389,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS86,,,,,Bad SiteUUID,45.0
,,,,,,,,,LAS,13864,"UAA, FACILITIES & LAND MANAGEMENT",,,12/31,01/01,,3731.3432653342998,Unspecified,,,,01/28/2021,,1,,,,,AKDNR_Water Use,AKDNR,,,Irrigation,,AKDRN_Water Allocation,,AKwr_WS87,,,,,Bad SiteUUID,46.0
