WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
AKwr_WS1,,,Fresh,Well 13,1422,Groundwater
AKwr_WS2,,,Fresh,Captain's Bay,16432,Surface Water
AKwr_WS3,,,Fresh,Big Lake,2684,Surface Water
AKwr_WS4,,,Fresh,Well 14,37209,Groundwater
AKwr_WS5,,,Fresh,Monashka Creek #2,844,Surface Water
AKwr_WS6,,,Fresh,Pump 1,20910,Groundwater
AKwr_WS7,,,Fresh,Pump 2,20912,Groundwater
AKwr_WS8,,,Fresh,R-25 Creek,18027,Surface Water
AKwr_WS9,,,Fresh,Bons Creek,14462,Surface Water
AKwr_WS10,,,Fresh,Lacy Lane,9319,Groundwater
AKwr_WS11,,,Fresh,Mission Hills,9320,Groundwater
AKwr_WS12,,,Fresh,GRUENING,37211,Groundwater
AKwr_WS13,,,Fresh,North Slope Assets,21319,Groundwater
AKwr_WS14,,,Fresh,North Slope Assets,21321,Groundwater
AKwr_WS15,,,Fresh,North Slope Assets,21324,Groundwater
AKwr_WS16,,,Fresh,Salmon Creek,19976,Surface Water
AKwr_WS17,,,Fresh,North Slope Assets,21341,Surface Water
AKwr_WS18,,,Fresh,North Slope Assets,21343,Surface Water
AKwr_WS19,,,Fresh,North Slope Assets,21345,Surface Water
AKwr_WS20,,,Fresh,North Slope Assets,21347,Groundwater
AKwr_WS21,,,Fresh,Kuparuk Unit,3302,Surface Water
AKwr_WS22,,,Fresh,EKLUTNA WTF,37213,Surface Water
AKwr_WS23,,,Fresh,Kuparuk Unit,2764,Surface Water
AKwr_WS24,,,Fresh,Bradley Lake Powerhouse,54563,Surface Water
AKwr_WS25,,,Fresh,Well #4,1902,Groundwater
AKwr_WS26,,,Fresh,Well #1,1882,Groundwater
AKwr_WS27,,,Fresh,Well #3,2061,Groundwater
AKwr_WS28,,,Fresh,Well #5,2062,Groundwater
AKwr_WS29,,,Fresh,WELL #2,57013,Groundwater
AKwr_WS30,,,Fresh,ER #06 MCALPINE,37215,Groundwater
AKwr_WS31,,,Fresh,ER #09 PALO VERDES,37217,Groundwater
AKwr_WS32,,,Fresh,Honnor Garden,9321,Groundwater
AKwr_WS33,,,Fresh,East Susitna,9322,Groundwater
AKwr_WS34,,,Fresh,Muck,9323,Groundwater
AKwr_WS35,,,Fresh,Spruce Avenue,9324,Groundwater
AKwr_WS36,,,Fresh,Spruce Stand-by well,9325,Groundwater
AKwr_WS37,,,Fresh,Wonderland Irrigation well,9326,Groundwater
AKwr_WS38,,,Fresh,City Creek,15542,Surface Water
AKwr_WS39,,,Fresh,Pump Station 6,52111,Groundwater
AKwr_WS40,,,Fresh,WELL,9957,Groundwater
AKwr_WS41,,,Fresh,"Little Campbell Creek, Lot 11",58589,Surface Water
AKwr_WS42,,,Fresh,Pillar Creek Hatchery,55877,Surface Water
AKwr_WS43,,,Fresh,Eyak Lake,28541,Surface Water
AKwr_WS44,,,Fresh,Wells #4 & #5,16021,Groundwater
AKwr_WS45,,,Fresh,Well E,12119,Groundwater
AKwr_WS46,,,Fresh,Fort Richardson Hatchery,55891,Groundwater
AKwr_WS47,,,Fresh,Linkum Creek,19899,Surface Water
AKwr_WS48,,,Fresh,Buskin Lake,8146,Groundwater
AKwr_WS49,,,Fresh,Water Lake,10575,Surface Water
AKwr_WS50,,,Fresh,St Nicholas - North Fork Lake,28140,Surface Water
AKwr_WS51,,,Fresh,Pillar Creek Hatchery,55879,Groundwater
AKwr_WS52,,,Fresh,Humboldt Creek Reservoir,14099,Surface Water
AKwr_WS53,,,Fresh,Allison Creek/Marine Terminal,52113,Groundwater
AKwr_WS54,,,Fresh,Haines - Lutak,53459,Surface Water
AKwr_WS55,,,Fresh,creek,14823,Surface Water
AKwr_WS56,,,Fresh,North PRB State No. 2,2672,Surface Water
AKwr_WS57,,,Fresh,Drill Site 12 Lake,2670,Surface Water
AKwr_WS58,,,Fresh,Drill Site 13 Lake,2666,Surface Water
AKwr_WS59,,,Fresh,Drill Site 09 Lake (Exxon Pit),2664,Surface Water
AKwr_WS60,,,Fresh,Drill Site 4 Lake,2662,Surface Water
AKwr_WS61,,,Fresh,East Drill Site 4  Area Lake,33278,Surface Water
AKwr_WS62,,,Fresh,South Drill Site 4  Area Lake,33280,Surface Water
AKwr_WS63,,,Fresh,West Drill Site 4  Area Lake,33282,Surface Water
AKwr_WS64,,,Fresh,MCC Lake,2658,Surface Water
AKwr_WS65,,,Fresh,Drill Site 07 Lake,2656,Surface Water
AKwr_WS66,,,Fresh,Drill Site L-3 Lake,2650,Surface Water
AKwr_WS67,,,Fresh,Drill Site 5 Lake,2678,Surface Water
AKwr_WS68,,,Fresh,Drill Site 17 Lake,2676,Surface Water
AKwr_WS69,,,Fresh,Colleen Lake,2674,Surface Water
AKwr_WS70,,,Fresh,Webster Reservoir,2648,Surface Water
AKwr_WS71,,,Fresh,Drill Site 15 Lake,2646,Surface Water
AKwr_WS72,,,Fresh,Lisburne Production Center LPC Lake,2644,Surface Water
AKwr_WS73,,,Fresh,Drill Site 18 Lake,2642,Surface Water
AKwr_WS74,,,Fresh,Fort Richardson Hatchery,55881,Groundwater
AKwr_WS75,,,Fresh,well,9068,Groundwater
AKwr_WS76,,,Fresh,William Jack Hernandez Sport Fish Hatchery,55883,Surface Water
AKwr_WS77,,,Fresh,Halfmile Creek Dam,19153,Surface Water
AKwr_WS78,,,Fresh,well at Akakeek and Ridgecrest Roads,37095,Groundwater
AKwr_WS79,,,Fresh,IFP-Kasilof,16933,Groundwater
AKwr_WS80,,,Fresh,UAA Energy Module 1,10015,Groundwater
AKwr_WS81,,,Fresh,UAA Energy Module 2,9995,Groundwater
AKwr_WS82,,,Fresh,Battle Creek,54565,Surface Water
AKwr_WS83,,,Fresh,Well House #2,8378,Groundwater
AKwr_WS84,,,Fresh,Well House #1,8380,Groundwater
AKwr_WS85,,,Fresh,Nenana River,23002,Surface Water
AKwr_WS86,,,Fresh,"Two wells, 159 ft & 138 ft",7702,Groundwater
AKwr_WS87,,,Fresh,UAA Rasmussen Hall,9997,Groundwater
AKwr_WS88,,,Fresh,well,28089,Groundwater
AKwr_WS89,,,Fresh,Fort Knox Mine,26717,Groundwater
AKwr_WS90,,,Fresh,Fort Knox Mine,26720,Groundwater
AKwr_WS91,,,Fresh,Cabin Creek,15545,Groundwater
AKwr_WS92,,,Fresh,Chum Creek,32461,Surface Water
AKwr_WS93,,,Fresh,Seven Wells,11668,Groundwater
AKwr_WS94,,,Fresh,Alyeska Infiltration System Gallery,3766,Surface Water
AKwr_WS95,,,Fresh,CHUGIAK #3,37219,Groundwater
AKwr_WS96,,,Fresh,Bridge Creek,20787,Surface Water
AKwr_WS97,,,Fresh,Goat Lake,53461,Surface Water
AKwr_WS98,,,Fresh,Unnamed Spring,302,Surface Water
AKwr_WS99,,,Fresh,Sagavanirktok River,2846,Surface Water
AKwr_WS100,,,Fresh,140' well,13964,Groundwater
AKwr_WS101,,,Fresh,Pyramid Creek/ Icy Lake,8382,Groundwater
AKwr_WS102,,,Fresh,"Drilled Wells, 140ft & 119ft, Glot4",2622,Groundwater
AKwr_WS103,,,Fresh,North Slope Assets,21349,Groundwater
AKwr_WS104,,,Fresh,Well # 2D,19432,Groundwater
AKwr_WS105,,,Fresh,Well # 2E,19433,Groundwater
AKwr_WS106,,,Fresh,Well # 3,19434,Groundwater
AKwr_WS107,,,Fresh,Well # 4,19435,Groundwater
AKwr_WS108,,,Fresh,North Slope Assets,21351,Groundwater
AKwr_WS109,,,Fresh,Delta Creek Wellfield,2026,Groundwater
AKwr_WS110,,,Fresh,Softball Fields,9317,Groundwater
AKwr_WS111,,,Fresh,Bldg 4972-Well 1,7922,Groundwater
AKwr_WS112,,,Fresh,Bldg 4972-Well 2,7924,Groundwater
AKwr_WS113,,,Fresh,Bldg 6983-Well 1,7926,Groundwater
AKwr_WS114,,,Fresh,Fort Knox Mine,26723,Surface Water
AKwr_WS115,,,Fresh,South Fork Hydro Plant,53463,Surface Water
AKwr_WS116,,,Fresh,Lake Hood Well,51889,Groundwater
AKwr_WS117,,,Fresh,well,15438,Groundwater
AKwr_WS118,,,Fresh,Shotgun Creek,18954,Surface Water
AKwr_WS119,,,Fresh,Falls Creek,18956,Surface Water
AKwr_WS120,,,Fresh,Rolling Rock,18958,Surface Water
AKwr_WS121,,,Fresh,well,14369,Groundwater
AKwr_WS122,,,Fresh,Badami Mine Site Reservoir,24993,Surface Water
AKwr_WS123,,,Fresh,Pump Station 4_ Tea Lake,52115,Groundwater
AKwr_WS124,,,Fresh,Sag Mine Site C (Vern Lake),2682,Surface Water
AKwr_WS125,,,Fresh,Alpine Unit,21353,Surface Water
AKwr_WS126,,,Fresh,Alpine Unit,28636,Surface Water
AKwr_WS127,,,Fresh,Alpine Unit,28639,Surface Water
AKwr_WS128,,,Fresh,Kuparuk Unit,2762,Surface Water
AKwr_WS129,,,Fresh,Alpine Unit,21355,Surface Water
AKwr_WS130,,,Fresh,Kuparuk Unit,2766,Surface Water
AKwr_WS131,,,Fresh,Kuparuk Unit,28644,Surface Water
AKwr_WS132,,,Fresh,Well No. 1,14636,Groundwater
AKwr_WS133,,,Fresh,Well No. 2,14637,Groundwater
AKwr_WS134,,,Fresh,Well No. 3,14638,Groundwater
