FILE_NUMBER,FILE_TYPE,Priority Date,CUSTOMER_NAME
2498,LAS,28-Nov-84,"CONOCOPHILLIPS ALASKA, INC."
2762,LAS,24-Dec-84,"CONOCOPHILLIPS ALASKA, INC."
3260,LAS,8-Aug-85,ALASKA ZOO
3261,LAS,8-Aug-85,ALASKA ZOO
18773,LAS,1-Feb-94,ALYESKA RESORT MANAGEMENT CO.
19238,LAS,31-Aug-94,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE
20178,LAS,6-Mar-96,TESORO ALASKA PETROLEUM COMPANY
23894,LAS,28-May-02,"CONOCOPHILLIPS ALASKA, INC."
23900,LAS,28-May-02,"CONOCOPHILLIPS ALASKA, INC."
26677,LAS,28-Sep-07,ALYESKA RESORT MANAGEMENT CO.
26685,LAS,28-Sep-07,ALYESKA RESORT MANAGEMENT CO.
29486,LAS,13-Feb-14,TESORO NORTHSHORE COMPANY
29976,LAS,31-Oct-14,EXXONMOBIL ALASKA PRODUCTION INC.
39797,ADL,13-Jul-82,KODIAK CITY OF
42925,ADL,13-Jul-82,KODIAK CITY OF
203480,ADL,13-Jul-82,TESORO ALASKA COMPANY
212648,ADL,11-Jan-82,CORDOVA CITY OF
400793,ADL,14-Jul-82,"CONOCOPHILLIPS ALASKA, INC."
407812,ADL,26-Oct-81,"CONOCOPHILLIPS ALASKA, INC."
A2012-32,TWUP,23-Mar-12,"CONOCOPHILLIPS ALASKA, INC."
A2012-70,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-71,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-72,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-73,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-74,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-75,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-76,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-77,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-78,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-79,TWUP,7-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-82,TWUP,8-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-83,TWUP,8-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2012-94,TWUP,22-May-12,EXXONMOBIL ALASKA PRODUCTION INC.
A2013-160,TWUP,29-Jul-13,TESORO ALASKA COMPANY
A2013-205,TWUP,16-Oct-13,EXXON MOBIL CORPORATION
A2013-206,TWUP,16-Oct-13,EXXONMOBIL ALASKA PRODUCTION INC.
A2013-207,TWUP,16-Oct-13,EXXONMOBIL ALASKA PRODUCTION INC.
A2013-208,TWUP,16-Oct-13,EXXONMOBIL ALASKA PRODUCTION INC.
A2013-209,TWUP,16-Oct-13,EXXONMOBIL ALASKA PRODUCTION INC.
A2013-210,TWUP,16-Oct-13,EXXONMOBIL ALASKA PRODUCTION INC.
A2014-102,TWUA,10-Jul-14,EXXONMOBIL ALASKA PRODUCTION INC.
A2014-123,TWUA,22-Aug-14,"CONOCOPHILLIPS ALASKA, INC."
A2014-143,TWUA,8-Oct-14,EXXONMOBIL ALASKA PRODUCTION INC.
A2014-40,TWUA,9-Apr-14,"CONOCOPHILLIPS ALASKA, INC."
A2014-41,TWUA,9-Apr-14,"CONOCOPHILLIPS ALASKA, INC."
A2014-86,TWUA,20-Jun-14,"CONOCOPHILLIPS ALASKA, INC."
A2015-116,TWUA,7-Oct-15,TESORO ALASKA COMPANY
A2015-125,TWUA,5-Nov-15,"CONOCOPHILLIPS ALASKA, INC."
A2016-53,TWUA,24-May-16,EXXONMOBIL ALASKA LNG LLC
A2016-96,TWUA,18-Aug-16,NORTH SLOPE PUBLIC WORKS
A2017-17,TWUA,22-Feb-17,"CONOCOPHILLIPS ALASKA, INC."
A2017-18,TWUA,7-Mar-17,"CONOCOPHILLIPS ALASKA, INC."
A2017-19,TWUA,6-Mar-17,"CONOCOPHILLIPS ALASKA, INC."
A2017-20,TWUA,7-Mar-17,"CONOCOPHILLIPS ALASKA, INC."
A2017-76,TWUA,2-Jun-17,"CONOCOPHILLIPS ALASKA, INC."
