MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,585460.7374,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,577371.6134,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,569202.1827,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,522300.0849,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1988,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,514523.2052,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1989,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,508263.1033,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1990,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,505378.3967,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1991,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,500338.8159,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1992,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,534248.3549,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1993,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_1,AZ_1,,573310.8292,Agricultural                                      ,,,,06/15/2020,,,,,,,,,,1994,,,
