MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,1265635,Agricultural,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS2,,30138,Agricultural,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,647719,Agricultural,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS4,,220629,Agricultural,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,367146,Agricultural,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,187698,Indian,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,34818,Indian,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,152880,Indian,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,128483,Industrial,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS2,,13628,Industrial,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,69229,Industrial,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,5810,Industrial,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,633502,Municipal,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,225094,Municipal,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS4,,47705,Municipal,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,360702,Municipal,,,,10/28/2020,,,,,,,,,,1985,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,1140492,Agricultural,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS2,,30015,Agricultural,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,645950,Agricultural,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS4,,51373,Agricultural,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,413154,Agricultural,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,266605,Indian,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,97093,Indian,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,169512,Indian,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,131424,Industrial,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS2,,30029,Industrial,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,71645,Industrial,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,5810,Industrial,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,664180,Municipal,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS2,,1713,Municipal,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,292108,Municipal,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS4,,22494,Municipal,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,349578,Municipal,,,,10/28/2020,,,,,,,,,,1986,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,1207431,Agricultural,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS2,,30003,Agricultural,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,572866,Agricultural,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS4,,220712,Agricultural,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,383850,Agricultural,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,283866,Indian,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,94658,Indian,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS1,,189208,Indian,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Demand,AZag_WS1,,156369,Industrial,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS2,,38029,Industrial,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS3,,74777,Industrial,,,,10/28/2020,,,,,,,,,,1987,,,
AZ_AMAModels,ADWR_AMA,AZag_RU1,AZ_Supply,AZag_WS4,,894,Industrial,,,,10/28/2020,,,,,,,,,,1987,,,
