"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1985","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","308110"
"1985","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","152321"
"1985","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","31656"
"1985","PHOENIX AMA","Municipal","Demand","Municipal","Small Provider Deliveries","9177"
"1985","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","128889"
"1985","PHOENIX AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","3349"
"1985","PHOENIX AMA","Municipal","Population","Municipal","Large Municipal Provider Population","1808342"
"1985","PHOENIX AMA","Municipal","Population","Municipal","Small Municipal Provider Population","9542"
"1985","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","24175"
"1985","PHOENIX AMA","Municipal","Population","Indian","Indian Reservation Population","10305"
"1985","PHOENIX AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","5168"
"1985","PHOENIX AMA","Municipal","Supply","Groundwater","Groundwater","225094"
"1985","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","360702"
"1985","PHOENIX AMA","Municipal","Supply","Spill","Spill","47705"
"1985","PHOENIX AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","9895"
"1985","PHOENIX AMA","Industrial","Demand","Industrial","Total Turf Demand","44697"
"1985","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","15568"
"1985","PHOENIX AMA","Industrial","Demand","Industrial","Dairy Facilities","5858"
"1985","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","2887"
"1985","PHOENIX AMA","Industrial","Demand","Industrial","Non Facility Use","9763"
"1985","PHOENIX AMA","Industrial","Demand","Industrial","Drainage and Dewatering Permits","39815"
"1985","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","69229"
"1985","PHOENIX AMA","Industrial","Supply","Surface Water","Surface Water","5810"
"1985","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","13628"
"1985","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1877572"
"1985","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","1099174"
"1985","PHOENIX AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","21333"
"1985","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","102296"
"1985","PHOENIX AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","42832"
"1985","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","647719"
"1985","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","367146"
"1985","PHOENIX AMA","Agricultural","Supply","Effluent","Effluent","30138"
"1985","PHOENIX AMA","Agricultural","Supply","Spill","Spill","220522"
"1985","PHOENIX AMA","Agricultural","Supply","Other","Other","107"
"1985","PHOENIX AMA","Indian","Demand","Municipal","Municipal","658"
"1985","PHOENIX AMA","Indian","Demand","Indian","Agricultural","187040"
"1985","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","34818"
"1985","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","152880"
"1985","PINAL AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","4926"
"1985","PINAL AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","5021"
"1985","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","496"
"1985","PINAL AMA","Municipal","Demand","Municipal","Small Provider Deliveries","2426"
"1985","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","115"
"1985","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","175"
"1985","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","42164"
"1985","PINAL AMA","Municipal","Population","Municipal","Small Municipal Provider Population","8167"
"1985","PINAL AMA","Municipal","Population","Municipal","AMA Exempt Well Population","1386"
"1985","PINAL AMA","Municipal","Population","Indian","Indian Reservation Population","6970"
"1985","PINAL AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","890"
"1985","PINAL AMA","Municipal","Supply","Groundwater","Groundwater","13159"
"1985","PINAL AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","557"
"1985","PINAL AMA","Industrial","Demand","Industrial","Mining Facilities","25"
"1985","PINAL AMA","Industrial","Demand","Industrial","Golf Courses","1280"
"1985","PINAL AMA","Industrial","Demand","Industrial","Dairy Facilities","245"
"1985","PINAL AMA","Industrial","Demand","Industrial","Cattle Feedlots","2370"
"1985","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","478"
"1985","PINAL AMA","Industrial","Supply","Groundwater","Groundwater","4946"
"1985","PINAL AMA","Industrial","Supply","Effluent","Effluent","9"
"1985","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1213480"
"1985","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","749342"
"1985","PINAL AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","1500"
"1985","PINAL AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","41250"
"1985","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","594844"
