Basin Code,Inflow/Outflow,Sector,Year,Quantity,Water Type,Component
PHX,Inflow,Agricultural                                      ,1985,585460.7374,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1986,577371.6134,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1987,569202.1827,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1988,522300.0849,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1989,514523.2052,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1990,508263.1033,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1991,505378.3967,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1992,500338.8159,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1993,534248.3549,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1994,573310.8292,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1995,599600.6162,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1996,516002.0083,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1997,508271.2479,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1998,630722.9495,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,1999,648424.6116,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2000,673932.7153,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2001,493828.4761,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2002,524563.4536,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2003,513448.5165,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2004,534478.0803,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2005,475936.3035,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2006,604397.8356,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2007,635526.7383,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2008,548156.7654,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2009,625528.7548,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2010,600815.5399,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2011,531208.0624,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2012,482142.8788,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2013,450465.9399,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2014,466491.3503,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2015,469184.2057,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2016,467628.213,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Agricultural                                      ,2017,458254.3829,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Artificial,1985,88002,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,1985,0,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,1986,83986,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,1986,0,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,1987,79780,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,1987,0,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,1988,81576,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,1988,0,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,1989,75902,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,1989,0,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,1990,75802,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,1990,14.81,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,1991,76132,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,1991,1.24,Groundwater                                       ,Cut to the Aquifer
PHX,Inflow,Artificial,1992,83055,Groundwater                                       ,Canal Seepage
PHX,Inflow,Artificial,1992,4137.45,Groundwater                                       ,Cut to the Aquifer
