WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
AZwr_WS1,,,Fresh,Unspecified,Unspecified,groundwater/well
AZwr_WS2,,,Fresh,1.5,Unspecified,Surface Water
AZwr_WS3,,,Fresh,3.5,Unspecified,Surface Water
AZwr_WS4,,,Fresh,4.8,Unspecified,Surface Water
AZwr_WS5,,,Fresh,7,Unspecified,Surface Water
AZwr_WS6,,,Fresh,14,Unspecified,Surface Water
AZwr_WS7,,,Fresh,17,Unspecified,Surface Water
AZwr_WS8,,,Fresh,26,Unspecified,Surface Water
AZwr_WS9,,,Fresh,27,Unspecified,Surface Water
AZwr_WS10,,,Fresh,32,Unspecified,Surface Water
AZwr_WS11,,,Fresh,34,Unspecified,Surface Water
AZwr_WS12,,,Fresh,35,Unspecified,Surface Water
AZwr_WS13,,,Fresh,36,Unspecified,Surface Water
AZwr_WS14,,,Fresh,44,Unspecified,Surface Water
AZwr_WS15,,,Fresh,49,Unspecified,Surface Water
AZwr_WS16,,,Fresh,66,Unspecified,Surface Water
AZwr_WS17,,,Fresh,93,Unspecified,Surface Water
AZwr_WS18,,,Fresh,94 1/2,Unspecified,Surface Water
AZwr_WS19,,,Fresh,98,Unspecified,Surface Water
AZwr_WS20,,,Fresh,101,Unspecified,Surface Water
AZwr_WS21,,,Fresh,666,Unspecified,Surface Water
AZwr_WS22,,,Fresh,1909,Unspecified,Surface Water
AZwr_WS23,,,Fresh,2215,Unspecified,Surface Water
AZwr_WS24,,,Fresh,4600,Unspecified,Surface Water
AZwr_WS25,,,Fresh,6948,Unspecified,Surface Water
AZwr_WS26,,,Fresh,12/8/1977,Unspecified,Surface Water
AZwr_WS27,,,Fresh,Unspecified,Unspecified,Surface Water
AZwr_WS28,,,Fresh,"# 1,2,3 # 4 SPRING",Unspecified,Surface Water
AZwr_WS29,,,Fresh,# 24 WELL,Unspecified,Surface Water
AZwr_WS30,,,Fresh,# 25 WELL,Unspecified,Surface Water
AZwr_WS31,,,Fresh,# 5 WELL,Unspecified,Surface Water
AZwr_WS32,,,Fresh,# 6 WELL,Unspecified,Surface Water
AZwr_WS33,,,Fresh,# 8 TANK,Unspecified,Surface Water
AZwr_WS34,,,Fresh,#|,Unspecified,Surface Water
AZwr_WS35,,,Fresh,#1,Unspecified,Surface Water
AZwr_WS36,,,Fresh,#1 DOUBLE,Unspecified,Surface Water
AZwr_WS37,,,Fresh,#1 DRAW,Unspecified,Surface Water
AZwr_WS38,,,Fresh,#1 MILLER SPRING,Unspecified,Surface Water
AZwr_WS39,,,Fresh,#1 SEEP AREA,Unspecified,Surface Water
AZwr_WS40,,,Fresh,#1 SHEEHY SPRING,Unspecified,Surface Water
AZwr_WS41,,,Fresh,#1 SPRING,Unspecified,Surface Water
AZwr_WS42,,,Fresh,#1 WATERS,Unspecified,Surface Water
AZwr_WS43,,,Fresh,#1 WELL,Unspecified,Surface Water
AZwr_WS44,,,Fresh,#10,Unspecified,Surface Water
AZwr_WS45,,,Fresh,#10 LOWER SPRING,Unspecified,Surface Water
AZwr_WS46,,,Fresh,#10 TANK,Unspecified,Surface Water
AZwr_WS47,,,Fresh,#10 WELL,Unspecified,Surface Water
AZwr_WS48,,,Fresh,#11,Unspecified,Surface Water
AZwr_WS49,,,Fresh,#11 CLARK SPRING,Unspecified,Surface Water
AZwr_WS50,,,Fresh,#11 TANK,Unspecified,Surface Water
AZwr_WS51,,,Fresh,#11 WELL,Unspecified,Surface Water
AZwr_WS52,,,Fresh,#12,Unspecified,Surface Water
AZwr_WS53,,,Fresh,#12 BREARLEY SPRING,Unspecified,Surface Water
AZwr_WS54,,,Fresh,#12 PASTURE,Unspecified,Surface Water
AZwr_WS55,,,Fresh,#12 WELL,Unspecified,Surface Water
AZwr_WS56,,,Fresh,#13,Unspecified,Surface Water
AZwr_WS57,,,Fresh,#13 DRAW,Unspecified,Surface Water
AZwr_WS58,,,Fresh,#13 HEAD SPRING,Unspecified,Surface Water
AZwr_WS59,,,Fresh,#13 WELL,Unspecified,Surface Water
AZwr_WS60,,,Fresh,#13 WELL WATER,Unspecified,Surface Water
AZwr_WS61,,,Fresh,#14,Unspecified,Surface Water
AZwr_WS62,,,Fresh,#14 CABIN SPRING,Unspecified,Surface Water
AZwr_WS63,,,Fresh,#14 TANK,Unspecified,Surface Water
AZwr_WS64,,,Fresh,#15,Unspecified,Surface Water
AZwr_WS65,,,Fresh,#15 CABIN AUXILARY SPRING,Unspecified,Surface Water
AZwr_WS66,,,Fresh,#15 DRAW,Unspecified,Surface Water
AZwr_WS67,,,Fresh,#15 TANK,Unspecified,Surface Water
AZwr_WS68,,,Fresh,#16,Unspecified,Surface Water
AZwr_WS69,,,Fresh,#16 TANK,Unspecified,Surface Water
AZwr_WS70,,,Fresh,#17,Unspecified,Surface Water
AZwr_WS71,,,Fresh,#17 ROCK AUXILARY SPRING,Unspecified,Surface Water
AZwr_WS72,,,Fresh,#18,Unspecified,Surface Water
AZwr_WS73,,,Fresh,#18 SMITH SPRING,Unspecified,Surface Water
AZwr_WS74,,,Fresh,#19,Unspecified,Surface Water
AZwr_WS75,,,Fresh,#19 PORTER SPRING,Unspecified,Surface Water
AZwr_WS76,,,Fresh,#2,Unspecified,Surface Water
