SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AZwr_S217915,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B29020000000,,Unspecified,AZ,,Bad Latitude,217914.0
AZwr_S217917,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B05001000000,,Unspecified,AZ,,Bad Latitude,217916.0
AZwr_S217924,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D20020000000,,Unspecified,AZ,,Bad Latitude,217923.0
AZwr_S217932,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B04002000000,,Unspecified,AZ,,Bad Latitude,217931.0
AZwr_S217962,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A08029000000,,Unspecified,AZ,,Bad Latitude,217961.0
AZwr_S217968,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B30016000000,,Unspecified,AZ,,Bad Latitude,217967.0
AZwr_S217990,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B30022000000,,Unspecified,AZ,,Bad Latitude,217989.0
AZwr_S217997,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B040020,,Unspecified,AZ,,Bad Latitude,217996.0
AZwr_S217999,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B19020000000,,Unspecified,AZ,,Bad Latitude,217998.0
AZwr_S218005,,AZwr_WS27,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B31020000000,,Unspecified,AZ,,Bad Latitude,218004.0
