WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
AZwr_WS1,,,Fresh,Unspecified,WaDEAZwr_WS1,Groundwater
AZwr_WS2,,,Fresh,BIG,WaDEAZwr_WS2,Surface Water
AZwr_WS3,,,Fresh,SALT & VERDE,WaDEAZwr_WS3,Surface Water
AZwr_WS4,,,Fresh,VERDE AND SALT,WaDEAZwr_WS4,Surface Water
AZwr_WS5,,,Fresh,RAINWATER,WaDEAZwr_WS5,Surface Water
AZwr_WS6,,,Fresh,MOUNTAIN,WaDEAZwr_WS6,Surface Water
AZwr_WS7,,,Fresh,EL'S,WaDEAZwr_WS7,Surface Water
AZwr_WS8,,,Fresh,CANYON,WaDEAZwr_WS8,Surface Water
AZwr_WS9,,,Fresh,SPRING & WELL,WaDEAZwr_WS9,Surface Water
AZwr_WS10,,,Fresh,LINDA'S,WaDEAZwr_WS10,Surface Water
AZwr_WS11,,,Fresh,UPPER LA BARGE,WaDEAZwr_WS11,Surface Water
AZwr_WS12,,,Fresh,CARRIE'S,WaDEAZwr_WS12,Surface Water
AZwr_WS13,,,Fresh,ROGER SPRINGS,WaDEAZwr_WS13,Surface Water
AZwr_WS14,,,Fresh,ROGERS TROUGH,WaDEAZwr_WS14,Surface Water
AZwr_WS15,,,Fresh,RED TANK SPRING,WaDEAZwr_WS15,Surface Water
AZwr_WS16,,,Fresh,HACKBERRY SPRINGS,WaDEAZwr_WS16,Surface Water
AZwr_WS17,,,Fresh,BOX #2,WaDEAZwr_WS17,Surface Water
AZwr_WS18,,,Fresh,BUCKBOARD,WaDEAZwr_WS18,Surface Water
AZwr_WS19,,,Fresh,REMINGTON,WaDEAZwr_WS19,Surface Water
AZwr_WS20,,,Fresh,STONE STEP,WaDEAZwr_WS20,Surface Water
AZwr_WS21,,,Fresh,NEW,WaDEAZwr_WS21,Surface Water
AZwr_WS22,,,Fresh,JERKY SPRING,WaDEAZwr_WS22,Surface Water
AZwr_WS23,,,Fresh,JERKY,WaDEAZwr_WS23,Surface Water
AZwr_WS24,,,Fresh,DEER,WaDEAZwr_WS24,Surface Water
AZwr_WS25,,,Fresh,SHERRY,WaDEAZwr_WS25,Surface Water
AZwr_WS26,,,Fresh,UPPER HAUNTED CANYON,WaDEAZwr_WS26,Surface Water
AZwr_WS27,,,Fresh,SURPRISE SPRING,WaDEAZwr_WS27,Surface Water
AZwr_WS28,,,Fresh,BURRO,WaDEAZwr_WS28,Surface Water
AZwr_WS29,,,Fresh,SALT AND VERDE,WaDEAZwr_WS29,Surface Water
AZwr_WS30,,,Fresh,VERDE & SALT RIVER,WaDEAZwr_WS30,Surface Water
AZwr_WS31,,,Fresh,IRON HOUSE,WaDEAZwr_WS31,Surface Water
