SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
AZ_1,,Unspecified,,EPSG:4326,,,,,31.775833,-109.311111,,,Unspecified,314633109184001,,GWSI,AZ,
AZ_2,,Unspecified,,EPSG:4326,,,,,31.892222,-111.018611,,,Unspecified,315332111010701,,GWSI,AZ,
AZ_3,,Unspecified,,EPSG:4326,,,,,32.050556,-110.655833,,,Unspecified,320302110392101,,GWSI,AZ,
AZ_4,,Unspecified,,EPSG:4326,,,,,32.136389,-109.140556,,,Unspecified,320811109082601,,GWSI,AZ,
AZ_5,,Unspecified,,EPSG:4326,,,,,32.058889,-110.330833,,,Unspecified,320332110195101,,GWSI,AZ,
AZ_6,,Unspecified,,EPSG:4326,,,,,32.056056,-110.319915,,,Unspecified,320320110191201,,GWSI,AZ,
AZ_7,,Unspecified,,EPSG:4326,,,,,31.392472,-111.042528,,,Unspecified,312334111023401,,GWSI,AZ,
AZ_8,,Unspecified,,EPSG:4326,,,,,33.433889,-111.9025,,,Unspecified,332602111540901,,GWSI,AZ,
AZ_9,,Unspecified,,EPSG:4326,,,,,33.010833,-111.375556,,,Unspecified,330039111223201,,GWSI,AZ,
AZ_10,,Unspecified,,EPSG:4326,,,,,33.820278,-112.032778,,,Unspecified,344913112015801,,GWSI,AZ,
AZ_11,,Unspecified,,EPSG:4326,,,,,31.998528000000004,-110.308778,,,Unspecified,315957110183301,,GWSI,AZ,
AZ_12,,Unspecified,,EPSG:4326,,,,,34.535278000000005,-111.856111,,,Unspecified,343207111512201,,GWSI,AZ,
AZ_13,,Unspecified,,EPSG:4326,,,,,34.620556,-111.832778,,,Unspecified,343714111495801,,GWSI,AZ,
AZ_14,,Unspecified,,EPSG:4326,,,,,31.912778000000007,-111.003056,,,Unspecified,315446111001101,,GWSI,AZ,
AZ_15,,Unspecified,,EPSG:4326,,,,,31.906667,-111.003056,,,Unspecified,315424111001101,,GWSI,AZ,
AZ_16,,Unspecified,,EPSG:4326,,,,,31.902222,-111.003056,,,Unspecified,315408111001101,,GWSI,AZ,
AZ_17,,Unspecified,,EPSG:4326,,,,,33.865833,-111.977778,,,Unspecified,335157111584001,,GWSI,AZ,
AZ_18,,Unspecified,,EPSG:4326,,,,,31.729917,-109.070333,,,Unspecified,314348109041301,,GWSI,AZ,
AZ_19,,Unspecified,,EPSG:4326,,,,,32.210833,-109.210556,,,Unspecified,321239109123801,,GWSI,AZ,
AZ_20,,Unspecified,,EPSG:4326,,,,,32.028611,-109.686389,,,Unspecified,320143109411101,,GWSI,AZ,
AZ_21,,Unspecified,,EPSG:4326,,,,,34.514694,-112.244694,,,Unspecified,343053112144001,,GWSI,AZ,
AZ_22,,Unspecified,,EPSG:4326,,,,,33.407778,-111.882222,,,Unspecified,332428111525601,,GWSI,AZ,
AZ_23,,Unspecified,,EPSG:4326,,,,,31.767222,-110.8925,,,Unspecified,314602110533301,,GWSI,AZ,
AZ_24,,Unspecified,,EPSG:4326,,,,,33.756111,-112.568028,,,Unspecified,334522112340701,,GWSI,AZ,
AZ_25,,Unspecified,,EPSG:4326,,,,,33.031667,-111.301111,,,Unspecified,330154111180401,,GWSI,AZ,
AZ_26,,Unspecified,,EPSG:4326,,,,,34.526944,-112.264167,,,Unspecified,343137112155101,,GWSI,AZ,
AZ_27,,Unspecified,,EPSG:4326,,,,,34.538889000000005,-111.836667,,,Unspecified,343220111501201,,GWSI,AZ,
AZ_28,,Unspecified,,EPSG:4326,,,,,32.634167,-110.787222,,,Unspecified,323803110471401,,GWSI,AZ,
AZ_29,,Unspecified,,EPSG:4326,,,,,33.104444,-110.754722,,,Unspecified,330616110451701,,GWSI,AZ,
AZ_30,,Unspecified,,EPSG:4326,,,,,32.972221000000005,-111.755302,,,Unspecified,325819111451901,,GWSI,AZ,
AZ_31,,Unspecified,,EPSG:4326,,,,,34.938944,-111.749583,,,Unspecified,345622111445801,,GWSI,AZ,
AZ_32,,Unspecified,,EPSG:4326,,,,,33.761778,-112.551831,,,Unspecified,333038112330101,,INDEX,AZ,
AZ_33,,Unspecified,,EPSG:4326,,,,,34.922639000000004,-113.631056,,,Unspecified,345523113375501,,GWSI,AZ,
AZ_34,,Unspecified,,EPSG:4326,,,,,32.390167,-110.975639,,,Unspecified,322326110583401,,GWSI,AZ,
AZ_35,,Unspecified,,EPSG:4326,,,,,33.703444,-113.76675,,,Unspecified,334210113460201,,GWSI,AZ,
AZ_36,,Unspecified,,EPSG:4326,,,,,33.806519,-111.864453,,,Unspecified,334822111515401,,AUTOMATED,AZ,
AZ_37,,Unspecified,,EPSG:4326,,,,,33.640664,-111.959083,,,Unspecified,333826111573201,,GWSI,AZ,
AZ_38,,Unspecified,,EPSG:4326,,,,,32.424167,-111.190556,,,Unspecified,322527111112601,,GWSI,AZ,
AZ_39,,Unspecified,,EPSG:4326,,,,,32.898333,-113.520278,,,Unspecified,325354113311301,,GWSI,AZ,
AZ_40,,Unspecified,,EPSG:4326,,,,,32.898610999999995,-113.518056,,,Unspecified,325355113310501,,GWSI,AZ,
AZ_41,,Unspecified,,EPSG:4326,,,,,32.898333,-113.522222,,,Unspecified,325354113312001,,GWSI,AZ,
AZ_42,,Unspecified,,EPSG:4326,,,,,32.898610999999995,-113.515278,,,Unspecified,325355113305501,,GWSI,AZ,
AZ_43,,Unspecified,,EPSG:4326,,,,,31.475583,-110.197472,,,Unspecified,312832110114901,,INDEX,AZ,
AZ_44,,Unspecified,,EPSG:4326,,,,,33.375997,-112.583056,,,Unspecified,332236112345501,,GWSI,AZ,
AZ_45,,Unspecified,,EPSG:4326,,,,,33.021667,-113.123889,,,Unspecified,330118113072601,,GWSI,AZ,
AZ_46,,Unspecified,,EPSG:4326,,,,,32.874167,-111.729722,,,Unspecified,325227111434701,,GWSI,AZ,
AZ_47,,Unspecified,,EPSG:4326,,,,,33.800971999999994,-112.059886,,,Unspecified,334759112033601,,GWSI,AZ,
AZ_48,,Unspecified,,EPSG:4326,,,,,31.651944,-111.231667,,,Unspecified,313907111135401,,GWSI,AZ,
AZ_49,,Unspecified,,EPSG:4326,,,,,31.490694,-109.755944,,,Unspecified,312922109452201,,GWSI,AZ,
AZ_50,,Unspecified,,EPSG:4326,,,,,33.764167,-113.939444,,,Unspecified,334551113562201,,GWSI,AZ,
AZ_51,,Unspecified,,EPSG:4326,,,,,31.79775,-111.04188899999998,,,Unspecified,314752111023201,,GWSI,AZ,
AZ_52,,Unspecified,,EPSG:4326,,,,,34.342667,-112.096694,,,Unspecified,342034112054801,,GWSI,AZ,
AZ_53,,Unspecified,,EPSG:4326,,,,,34.667028,-112.537667,,,Unspecified,344006112321601,,GWSI,AZ,
AZ_54,,Unspecified,,EPSG:4326,,,,,32.778611,-113.954444,,,Unspecified,324643113571601,,GWSI,AZ,
AZ_55,,Unspecified,,EPSG:4326,,,,,33.674917,-113.741083,,,Unspecified,334030113442901,,GWSI,AZ,
AZ_56,,Unspecified,,EPSG:4326,,,,,33.692694,-113.753583,,,Unspecified,334132113451101,,GWSI,AZ,
AZ_57,,Unspecified,,EPSG:4326,,,,,32.065556,-110.71111100000002,,,Unspecified,320356110424001,,GWSI,AZ,
AZ_58,,Unspecified,,EPSG:4326,,,,,32.058,-110.692806,,,Unspecified,320328110413501,,GWSI,AZ,
AZ_59,,Unspecified,,EPSG:4326,,,,,32.05875,-110.703444,,,Unspecified,320332110421201,,GWSI,AZ,
AZ_60,,Unspecified,,EPSG:4326,,,,,32.050639000000004,-110.696278,,,Unspecified,320302110414701,,GWSI,AZ,
AZ_61,,Unspecified,,EPSG:4326,,,,,35.214778,-112.167972,,,Unspecified,351252112100301,,GWSI,AZ,
AZ_62,,Unspecified,,EPSG:4326,,,,,34.325833,-111.002861,,,Unspecified,341933111001001,,GWSI,AZ,
AZ_63,,Unspecified,,EPSG:4326,,,,,34.960603000000006,-112.65416100000002,,,Unspecified,345738112391501,,AUTOMATED,AZ,
AZ_64,,Unspecified,,EPSG:4326,,,,,34.978122,-112.634044,,,Unspecified,345843112380201,,GWSI,AZ,
AZ_65,,Unspecified,,EPSG:4326,,,,,34.990944,-112.611667,,,Unspecified,345927112364201,,GWSI,AZ,
AZ_66,,Unspecified,,EPSG:4326,,,,,32.35025,-111.049472,,,Unspecified,322101111025801,,GWSI,AZ,
AZ_67,,Unspecified,,EPSG:4326,,,,,31.832889,-110.341028,,,Unspecified,314958110202801,,GWSI,AZ,
AZ_68,,Unspecified,,EPSG:4326,,,,,34.637661,-109.917794,,,Unspecified,343816109550401,,AUTOMATED,AZ,
AZ_69,,Unspecified,,EPSG:4326,,,,,34.696693,-113.998725,,,Unspecified,344148113595501,,GWSI,AZ,
AZ_70,,Unspecified,,EPSG:4326,,,,,34.747306,-114.116139,,,Unspecified,344451114070101,,GWSI,AZ,
