OrganizationUUID,OrganizationName,OrganizationPurview,OrganizationWebsite,OrganizationPhoneNumber,OrganizationContactName,OrganizationContactEmail,OrganizationDataMappingURL,State
CODWR,Colorado Division of Water Resources,Water Administration for the State of Colorado,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Colorado,303-866-3581,Doug Stenzel,abc@co.com,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Colorado,CO
CWCB,Colorado Water Conservation Board,Water Planning for the State of Colorado,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Colorado,303-866-3441,Rebecca Mitchell,abc@co.com,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Colorado,CO
UTDWR,Utah Division of Water Rights,The Utah Division of Water Rights (UTDWR) publishes its water right data on-demand,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Utah,303-866-3441,Rebecca Mitchell,abc@co.com,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Utah,UT
OWRB,Oklahoma Water Resources Board,OWRB produces and maintains datasets related to water in Oklahoma,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Oklahoma,303-866-3581,Rebecca Mitchell,abc@co.com,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Oklahoma,OK
NMOSE,New Mexico Office of the State Engineer , The New Mexico Office of the State Engineer (OSE) provides this geographic data and any associated metadata “as is” without warranty of any kind,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/NewMexico,303-866-3581,Rebecca Mitchell,abc@co.com,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/NewMexico,NM
TWDB,Texas Water Development Board,Each year the Texas Water Development Board conducts an annual survey of ground and surface water use by municipal and industrial entities within the state of Texas,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,512-936-0885,Bill Billingsley,bill.billingsley@twdb.texas.gov,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Texas,TX
MTDNRC,Montana Department of Natural Resources and Conservation,"A water right allows you to legally use water in a prescribed manner, but not to own the water itself. Without diversion and beneficial use, there is no water right.  ",http://nris.mt.gov/dnrc/waterrights/,303-866-3581,Rebecca Mitchell,abc@co.com,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Montana,MT
WWDO,Wyoming Water Development Office,,http://wwdc.state.wy.us,307-777-7626,Mabel Jones,mabel.jones1@wyo.gov,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/blob/master/Wyoming/ReadMe.md,WY
WSDE,Washington State Department of Ecology ,The Water Resources' GWIS (Geographic Water Information System) database includes water right place-of-use polygons and associated device points., https://ecology.wa.gov/Water-Shorelines/Water-supply/Water-rights,60-407-6000,"Riddle, H. Nicholas",HRID461@ECY.WA.GOV,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Washington,WA
OWRD,Oregon Water Resources Department ,"Water right surface Points of Diversion (POD) and groundwater Points of Appropriation (POA)
locations in the state of Oregon are collectively referred to as PODs.",https://www.oregon.gov/OWRD/access_Data/Pages/Data.aspx,503-986-0900,"Tom Byler, Director ?",wrd_dl_Director@oregon.gov,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Oregon,OR
CDWR,California Department of Water Resources,"Department of Water Resources California Water Plan program computes applied, net, and depletion water balances for California. ",https://data.ca.gov/dataset/water-plan-water-balance-data,303-866-3581,Jennifer Stricklin,Jennifer.Stricklin@water.ca.gov,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/California,CA
SDDENR,South Dakota Dpartment of Environment & Natural Resources,In South Dakota all water is the property of the people and the right to use of that water is through obtaining a water right.,https://denr.sd.gov/des/wr/wr.aspx,303-866-3581,Jeanne Goodman,DENRINTERNET@state.sd.us,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0,SD
NDSWC,North Dakota State Water Commission,The Water Appropriation Division is responsible for the appropriation and management of the state’s water resources in accordance with Article XI of the North Dakota Constitution and Chapter 61 of North Dakota Century Code.,https://swc.nd.gov/theswc/water_appropriations.html,(701) 328-2754.,Jon Patch,abc@co.com,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/NorthDakota,ND
ADWR,Arizona Department of Water Resources ,"The Arizona Department of Water Resources is the steward of Arizona’s water future and ensures long-term, reliable water supplies to support the continued economic prosperity of the State",http://gisdata-azwater.opendata.arcgis.com/,602-771-8500,Rebecca Mitchell,abc@co.com,https://github.com/WSWCWaterDataExchange/MappingStatesDataToWaDE2.0/tree/master/Arizona,AZ
