SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
AZ_334708112295301,334708112295301,Unspecified,,INDEX,-112.4981314804107,33.78497181471271,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_312049110134902,312049110134902,Unspecified,,GWSI,-110.23141253803637,31.346346920006084,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_345149114342601,345149114342601,Unspecified,,GWSI,-114.57457399833869,34.863440136520886,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_345327114343301,345327114343301,Unspecified,,GWSI,-114.57691771541631,34.890558837166324,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_323616111295201,323616111295201,Unspecified,,GWSI,-111.49857723913635,32.60400527331022,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_353705114033601,353705114033601,Unspecified,,GWSI,-114.06007609430448,35.61789849977467,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_344820112300501,344820112300501,Unspecified,,GWSI,-112.5018173386146,34.80630354995539,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_332557112414801,332557112414801,Unspecified,,GWSI,-112.69815465676852,33.432664565332466,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_332557112414501,332557112414501,Unspecified,,GWSI,-112.69599927136974,33.43261290202128,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335203113563401,335203113563401,Unspecified,,GWSI,-113.94121590186586,33.866944896040074,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_324819113300201,324819113300201,Unspecified,,GWSI,-113.5014738503755,32.804659862735605,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_313023109325701,313023109325701,Unspecified,,GWSI,-109.54792209072247,31.505820327989476,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_343828109550501,343828109550501,Unspecified,,GWSI,-109.920173279677,34.636611612954404,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_351518111451101,351518111451101,Unspecified,,GWSI,-111.75333718326365,35.25415017459334,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_344354111541801,344354111541801,Unspecified,,GWSI,-111.90480498661022,34.725649933224716,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_323124114353101,323124114353101,Unspecified,,GWSI,-114.59171738520806,32.524350688249555,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_331452111500201,331452111500201,Unspecified,,INDEX,-111.83589439312121,33.248557160393,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_332618113073501,332618113073501,Unspecified,,GWSI,-113.12631962819675,33.44189550454753,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_342903111492601,342903111492601,Unspecified,,GWSI,-111.82463513859078,34.48431941443117,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_333630112185601,333630112185601,Unspecified,,GWSI,-112.31715255360248,33.60797566029446,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_325518112521101,325518112521101,Unspecified,,GWSI,-112.86950452343797,32.92236756262734,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_315544111014901,315544111014901,Unspecified,,GWSI,-111.032214957196,31.929528903068068,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_315544111021801,315544111021801,Unspecified,,GWSI,-111.0385845146573,31.92949104041897,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335742113124201,335742113124201,Unspecified,,GWSI,-113.21248865509392,33.962006643923075,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_342423111312201,342423111312201,Unspecified,,GWSI,-111.5230231961959,34.40704684921704,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_331259111431201,331259111431201,Unspecified,,GWSI,-111.7238234081868,33.21841239239245,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_321234110531001,321234110531001,Unspecified,,GWSI,-110.88692137374571,32.20972394175323,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_331039112420701,331039112420701,Unspecified,,GWSI,-112.71160975815631,33.180931469563546,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_330844112410001,330844112410001,Unspecified,,GWSI,-112.6833810182721,33.14644167930629,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_321448110503401,321448110503401,Unspecified,,GWSI,-110.84412483724205,32.246025943118205,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_342437111300901,342437111300901,Unspecified,,GWSI,-111.5054970472995,34.41054743729258,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_342332111272001,342332111272001,Unspecified,,GWSI,-111.45722907531575,34.39606472654276,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_342317110315201,342317110315201,Unspecified,,GWSI,-110.53080769158048,34.387560332588016,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_343213111512301,343213111512301,Unspecified,,GWSI,-111.85559798412623,34.537537040985555,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_343213111512101,343213111512101,Unspecified,,GWSI,-111.85559798412623,34.537537040985555,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_344558112325701,344558112325701,Unspecified,,GWSI,-112.54807136084212,34.76566305650816,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_350221114113401,350221114113401,Unspecified,,GWSI,-114.19387017431437,35.03886251292969,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_322752110541301,322752110541301,Unspecified,,GWSI,-110.90488536270932,32.464501010235594,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_323201114363401,323201114363401,Unspecified,,GWSI,-114.6090490833245,32.533453277105224,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_323055114363301,323055114363301,Unspecified,,GWSI,-114.60878303008474,32.5152176632956,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_323047114360501,323047114360501,Unspecified,,GWSI,-114.6023276973236,32.51340192398681,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_323109114360501,323109114360501,Unspecified,,GWSI,-114.60240213232092,32.51880789072514,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_323109114370701,323109114370701,Unspecified,,GWSI,-114.6175008787936,32.520681465848725,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_345111112275901,345111112275901,Unspecified,,GWSI,-112.4651165636173,34.85236632172343,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_353709114044001,353709114044001,Unspecified,,GWSI,-114.07783594421728,35.61970778726535,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_343212112151701,343212112151701,Unspecified,,GWSI,-112.25451221609322,34.53082612676989,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_343744112295301,343744112295301,Unspecified,,GWSI,-112.49878602396015,34.62944095920907,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_314001109391401,314001109391401,Unspecified,,GWSI,-109.65420444078491,31.666316081169565,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
