ReportingUnitUUID,EPSGCodeCV,ReportingUnitName,ReportingUnitNativeID,ReportingUnitProductVersion,ReportingUnitTypeCV,ReportingUnitUpdateDate,StateCV,Geometry
CAag_RU1,EPSG:4326,101,101,,Planning Area,,CA,
CAag_RU2,EPSG:4326,102,102,,Planning Area,,CA,
CAag_RU3,EPSG:4326,103,103,,Planning Area,,CA,
CAag_RU4,EPSG:4326,104,104,,Planning Area,,CA,
CAag_RU5,EPSG:4326,201,201,,Planning Area,,CA,
CAag_RU6,EPSG:4326,202,202,,Planning Area,,CA,
CAag_RU7,EPSG:4326,301,301,,Planning Area,,CA,
CAag_RU8,EPSG:4326,302,302,,Planning Area,,CA,
CAag_RU9,EPSG:4326,401,401,,Planning Area,,CA,
CAag_RU10,EPSG:4326,402,402,,Planning Area,,CA,
CAag_RU11,EPSG:4326,403,403,,Planning Area,,CA,
CAag_RU12,EPSG:4326,404,404,,Planning Area,,CA,
CAag_RU13,EPSG:4326,501,501,,Planning Area,,CA,
CAag_RU14,EPSG:4326,502,502,,Planning Area,,CA,
CAag_RU15,EPSG:4326,503,503,,Planning Area,,CA,
CAag_RU16,EPSG:4326,504,504,,Planning Area,,CA,
CAag_RU17,EPSG:4326,505,505,,Planning Area,,CA,
CAag_RU18,EPSG:4326,506,506,,Planning Area,,CA,
CAag_RU19,EPSG:4326,507,507,,Planning Area,,CA,
CAag_RU20,EPSG:4326,508,508,,Planning Area,,CA,
CAag_RU21,EPSG:4326,509,509,,Planning Area,,CA,
CAag_RU22,EPSG:4326,510,510,,Planning Area,,CA,
CAag_RU23,EPSG:4326,511,511,,Planning Area,,CA,
CAag_RU24,EPSG:4326,601,601,,Planning Area,,CA,
CAag_RU25,EPSG:4326,602,602,,Planning Area,,CA,
CAag_RU26,EPSG:4326,603,603,,Planning Area,,CA,
CAag_RU27,EPSG:4326,604,604,,Planning Area,,CA,
CAag_RU28,EPSG:4326,605,605,,Planning Area,,CA,
CAag_RU29,EPSG:4326,606,606,,Planning Area,,CA,
CAag_RU30,EPSG:4326,607,607,,Planning Area,,CA,
CAag_RU31,EPSG:4326,608,608,,Planning Area,,CA,
CAag_RU32,EPSG:4326,609,609,,Planning Area,,CA,
CAag_RU33,EPSG:4326,610,610,,Planning Area,,CA,
CAag_RU34,EPSG:4326,701,701,,Planning Area,,CA,
CAag_RU35,EPSG:4326,702,702,,Planning Area,,CA,
CAag_RU36,EPSG:4326,703,703,,Planning Area,,CA,
CAag_RU37,EPSG:4326,704,704,,Planning Area,,CA,
CAag_RU38,EPSG:4326,705,705,,Planning Area,,CA,
CAag_RU39,EPSG:4326,706,706,,Planning Area,,CA,
CAag_RU40,EPSG:4326,707,707,,Planning Area,,CA,
CAag_RU41,EPSG:4326,708,708,,Planning Area,,CA,
CAag_RU42,EPSG:4326,709,709,,Planning Area,,CA,
CAag_RU43,EPSG:4326,710,710,,Planning Area,,CA,
CAag_RU44,EPSG:4326,801,801,,Planning Area,,CA,
CAag_RU45,EPSG:4326,802,802,,Planning Area,,CA,
CAag_RU46,EPSG:4326,901,901,,Planning Area,,CA,
CAag_RU47,EPSG:4326,902,902,,Planning Area,,CA,
CAag_RU48,EPSG:4326,903,903,,Planning Area,,CA,
CAag_RU49,EPSG:4326,904,904,,Planning Area,,CA,
CAag_RU50,EPSG:4326,905,905,,Planning Area,,CA,
CAag_RU51,EPSG:4326,1001,1001,,Planning Area,,CA,
CAag_RU52,EPSG:4326,1002,1002,,Planning Area,,CA,
CAag_RU53,EPSG:4326,1003,1003,,Planning Area,,CA,
CAag_RU54,EPSG:4326,1004,1004,,Planning Area,,CA,
CAag_RU55,EPSG:4326,1005,1005,,Planning Area,,CA,
CAag_RU56,EPSG:4326,1006,1006,,Planning Area,,CA,
CAag_RU57,EPSG:4326,Central Coast,3,,Hydrologic Region,,CA,
CAag_RU58,EPSG:4326,Colorado River,10,,Hydrologic Region,,CA,
CAag_RU59,EPSG:4326,North Coast,1,,Hydrologic Region,,CA,
CAag_RU60,EPSG:4326,North Lahontan,8,,Hydrologic Region,,CA,
CAag_RU61,EPSG:4326,Sacramento River,5,,Hydrologic Region,,CA,
CAag_RU62,EPSG:4326,San Francisco Bay,2,,Hydrologic Region,,CA,
CAag_RU63,EPSG:4326,San Joaquin River,6,,Hydrologic Region,,CA,
CAag_RU64,EPSG:4326,South Coast,4,,Hydrologic Region,,CA,
CAag_RU65,EPSG:4326,South Lahontan,9,,Hydrologic Region,,CA,
CAag_RU66,EPSG:4326,Tulare Lake,7,,Hydrologic Region,,CA,
CAag_RU67,EPSG:4326,Lost River,DAU00125,,Detailed Analysis Units by County,,CA,
CAag_RU68,EPSG:4326,Lost River,DAU00147,,Detailed Analysis Units by County,,CA,
CAag_RU69,EPSG:4326,Butte Valley,DAU00247,,Detailed Analysis Units by County,,CA,
CAag_RU70,EPSG:4326,Scott Valley,DAU00347,,Detailed Analysis Units by County,,CA,
CAag_RU71,EPSG:4326,Shasta Valley,DAU00447,,Detailed Analysis Units by County,,CA,
CAag_RU72,EPSG:4326,Trinity,DAU00712,,Detailed Analysis Units by County,,CA,
CAag_RU73,EPSG:4326,Trinity,DAU00753,,Detailed Analysis Units by County,,CA,
CAag_RU74,EPSG:4326,Lower Klamath,DAU01008,,Detailed Analysis Units by County,,CA,
CAag_RU75,EPSG:4326,Lower Klamath,DAU01012,,Detailed Analysis Units by County,,CA,
CAag_RU76,EPSG:4326,Lower Klamath,DAU01047,,Detailed Analysis Units by County,,CA,
CAag_RU77,EPSG:4326,Smith River Basin,DAU01408,,Detailed Analysis Units by County,,CA,
CAag_RU78,EPSG:4326,Big-Noyo-Ten Mile,DAU01723,,Detailed Analysis Units by County,,CA,
CAag_RU79,EPSG:4326,Navarro-Garcia,DAU01823,,Detailed Analysis Units by County,,CA,
CAag_RU80,EPSG:4326,Gualala,DAU01923,,Detailed Analysis Units by County,,CA,
CAag_RU81,EPSG:4326,Gualala,DAU01949,,Detailed Analysis Units by County,,CA,
CAag_RU82,EPSG:4326,Lower Eel,DAU02012,,Detailed Analysis Units by County,,CA,
CAag_RU83,EPSG:4326,Van Duzen,DAU02112,,Detailed Analysis Units by County,,CA,
CAag_RU84,EPSG:4326,Van Duzen,DAU02153,,Detailed Analysis Units by County,,CA,
CAag_RU85,EPSG:4326,South Fork Eel,DAU02312,,Detailed Analysis Units by County,,CA,
CAag_RU86,EPSG:4326,South Fork Eel,DAU02323,,Detailed Analysis Units by County,,CA,
CAag_RU87,EPSG:4326,Upper Eel,DAU02511,,Detailed Analysis Units by County,,CA,
CAag_RU88,EPSG:4326,Upper Eel,DAU02512,,Detailed Analysis Units by County,,CA,
CAag_RU89,EPSG:4326,Upper Eel,DAU02517,,Detailed Analysis Units by County,,CA,
CAag_RU90,EPSG:4326,Upper Eel,DAU02523,,Detailed Analysis Units by County,,CA,
CAag_RU91,EPSG:4326,Upper Eel,DAU02553,,Detailed Analysis Units by County,,CA,
CAag_RU92,EPSG:4326,Mattole-Bear,DAU02712,,Detailed Analysis Units by County,,CA,
CAag_RU93,EPSG:4326,Mattole-Bear,DAU02723,,Detailed Analysis Units by County,,CA,
CAag_RU94,EPSG:4326,Redwood Creek,DAU02812,,Detailed Analysis Units by County,,CA,
CAag_RU95,EPSG:4326,Mad-Trinidad,DAU03012,,Detailed Analysis Units by County,,CA,
CAag_RU96,EPSG:4326,Mad-Trinidad,DAU03053,,Detailed Analysis Units by County,,CA,
CAag_RU97,EPSG:4326,Eureka Plain,DAU03212,,Detailed Analysis Units by County,,CA,
CAag_RU98,EPSG:4326,Lower Russian,DAU03549,,Detailed Analysis Units by County,,CA,
CAag_RU99,EPSG:4326,Santa Rosa,DAU03649,,Detailed Analysis Units by County,,CA,
CAag_RU100,EPSG:4326,Bodega,DAU03721,,Detailed Analysis Units by County,,CA,
CAag_RU101,EPSG:4326,Bodega,DAU03749,,Detailed Analysis Units by County,,CA,
CAag_RU102,EPSG:4326,West Marin,DAU03821,,Detailed Analysis Units by County,,CA,
CAag_RU103,EPSG:4326,West Marin,DAU03849,,Detailed Analysis Units by County,,CA,
