"Year","CategoryC","CategoryD","HR","CategoryA","KAcreFt"
2004,"Applied Water","AG1","Central Coast","Agriculture",1208.5
2004,"Return Flow to Salt Sink","AG10A","Central Coast","Agriculture",64.5
2004,"Return Flow for Delta Outflow","AG10B","Central Coast","Agriculture",0
2004,"Return Flow to Developed Supply (Other DAUCO within PA)","AG11A","Central Coast","Agriculture",0.4
2004,"Return Flow to Developed Supply (Other PA)","AG11B","Central Coast","Agriculture",0
2004,"Return Flow to Developed Supply (Other Region)","AG11C","Central Coast","Agriculture",0
2004,"Return Flow to Carryover Storage for Next Water Year within DAU","AG11D","Central Coast","Agriculture",0
2004,"Return Flows Evaporation and Evapotranspiration","AG12","Central Coast","Agriculture",2.4
2004,"Conveyance Evaporation and ETAW","AG17","Central Coast","Agriculture",6.9
2004,"Conveyance Return Flow to Oregon","AG18A","Central Coast","Agriculture",0
2004,"Conveyance Return Flow to Nevada","AG18B","Central Coast","Agriculture",0
2004,"Conveyance Return Flow to Mexico","AG18C","Central Coast","Agriculture",0
2004,"Conveyance Deep Percolation to Oregon","AG18D","Central Coast","Agriculture",0
2004,"Conveyance Deep Percolation to Nevada","AG18E","Central Coast","Agriculture",0
2004,"Conveyance Deep Percolation to Mexico","AG18F","Central Coast","Agriculture",0
2004,"Conveyance Return Flows to Salt Sink","AG19A","Central Coast","Agriculture",0
2004,"Conveyance Return Flow for Delta Outflow","AG19B","Central Coast","Agriculture",0
2004,"Applied Water - Groundwater Recharge","AG2","Central Coast","Agriculture",52.3
2004,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","AG20A","Central Coast","Agriculture",0
2004,"Conveyance Return Flow to Developed Supply (Other PA)","AG20B","Central Coast","Agriculture",0
2004,"Conveyance Return Flow to Developed Supply (Other Region)","AG20C","Central Coast","Agriculture",0
2004,"Conveyance Seepage","AG21","Central Coast","Agriculture",0.9
2004,"Conveyance Deep Percolation","AG22","Central Coast","Agriculture",2.9
2004,"Conveyance Deep Percolation to Salt Sink","AG23","Central Coast","Agriculture",0
2004,"Evapotranspiration of Applied Water","AG3","Central Coast","Agriculture",842.5
2004,"Evaporation and Evapotranspiration of Groundwater Recharge","AG4","Central Coast","Agriculture",0
2004,"Deep Percolation of Applied Water","AG5","Central Coast","Agriculture",296.2
2004,"Deep Percolation of Applied Water to Salt Sink","AG6","Central Coast","Agriculture",0
2004,"Deep Percolation of Groundwater Recharge","AG7","Central Coast","Agriculture",52.3
2004,"Reuse of Return Flows within DAUCO","AG8","Central Coast","Agriculture",2.5
2004,"Return Flow to Oregon","AG9A","Central Coast","Agriculture",0
