"Year","CategoryC","CategoryD","HR","CategoryA","KAcreFt"
2013,"Applied Water","AG1","Central Coast","Agriculture",1246.7
2013,"Return Flow to Salt Sink","AG10A","Central Coast","Agriculture",80.2
2013,"Return Flow for Delta Outflow","AG10B","Central Coast","Agriculture",0
2013,"Return Flow to Developed Supply (Other DAUCO within PA)","AG11A","Central Coast","Agriculture",0
2013,"Return Flow to Developed Supply (Other PA)","AG11B","Central Coast","Agriculture",0
2013,"Return Flow to Developed Supply (Other Region)","AG11C","Central Coast","Agriculture",0
2013,"Return Flow to Carryover Storage for Next Water Year within DAU","AG11D","Central Coast","Agriculture",0
2013,"Return Flows Evaporation and Evapotranspiration","AG12","Central Coast","Agriculture",0.2
2013,"Conveyance Evaporation and ETAW","AG17","Central Coast","Agriculture",3
2013,"Conveyance Return Flow to Oregon","AG18A","Central Coast","Agriculture",0
2013,"Conveyance Return Flow to Nevada","AG18B","Central Coast","Agriculture",0
2013,"Conveyance Return Flow to Mexico","AG18C","Central Coast","Agriculture",0
2013,"Conveyance Deep Percolation to Oregon","AG18D","Central Coast","Agriculture",0
2013,"Conveyance Deep Percolation to Nevada","AG18E","Central Coast","Agriculture",0
2013,"Conveyance Deep Percolation to Mexico","AG18F","Central Coast","Agriculture",0
2013,"Conveyance Return Flows to Salt Sink","AG19A","Central Coast","Agriculture",0.5
2013,"Conveyance Return Flow for Delta Outflow","AG19B","Central Coast","Agriculture",0
2013,"Applied Water - Groundwater Recharge","AG2","Central Coast","Agriculture",6.6
2013,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","AG20A","Central Coast","Agriculture",0
2013,"Conveyance Return Flow to Developed Supply (Other PA)","AG20B","Central Coast","Agriculture",0
2013,"Conveyance Return Flow to Developed Supply (Other Region)","AG20C","Central Coast","Agriculture",0
2013,"Conveyance Seepage","AG21","Central Coast","Agriculture",0
2013,"Conveyance Deep Percolation","AG22","Central Coast","Agriculture",2.1
2013,"Conveyance Deep Percolation to Salt Sink","AG23","Central Coast","Agriculture",0
2013,"Evapotranspiration of Applied Water","AG3","Central Coast","Agriculture",1002.9
2013,"Evaporation and Evapotranspiration of Groundwater Recharge","AG4","Central Coast","Agriculture",1.4
2013,"Deep Percolation of Applied Water","AG5","Central Coast","Agriculture",166.6
2013,"Deep Percolation of Applied Water to Salt Sink","AG6","Central Coast","Agriculture",0
2013,"Deep Percolation of Groundwater Recharge","AG7","Central Coast","Agriculture",1.7
2013,"Reuse of Return Flows within DAUCO","AG8","Central Coast","Agriculture",0.3
2013,"Return Flow to Oregon","AG9A","Central Coast","Agriculture",0
2013,"Return Flow to Nevada","AG9B","Central Coast","Agriculture",0
2013,"Return Flow to Mexico","AG9C","Central Coast","Agriculture",0
2013,"Deep Percolation to Oregon","AG9D","Central Coast","Agriculture",0
2013,"Deep Percolation to Nevada","AG9E","Central Coast","Agriculture",0
2013,"Deep Percolation to Mexico","AG9F","Central Coast","Agriculture",0
2013,"Applied Water Use","AWUAG","Central Coast","Agriculture",1253.3
2013,"Conveyance Applied Water Use","AWUAGC","Central Coast","Agriculture",5.6
2013,"Depletion","DEPAG","Central Coast","Agriculture",1084.7
2013,"Conveyance Depletion","DEPAGC","Central Coast","Agriculture",3.5
2013,"Net Water Use (Applied Water - Reuse)","NW1AG","Central Coast","Agriculture",1084.7
2013,"Conveyance Net Water Use (Applied Water - Reuse)","NW1AGC","Central Coast","Agriculture",3.5
2013,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AG","Central Coast","Agriculture",1084.7
2013,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AGC","Central Coast","Agriculture",3.5
2013,"Applied Water Use","AWUIFR","Central Coast","Instream Flow Requirements",24.5
2013,"Depletion","DEPIFR","Central Coast","Instream Flow Requirements",0
