"Year","CategoryC","CategoryD","PA","CategoryA","KAcreFt"
2012,"Applied Water","AG1",101,"Agriculture",452.3
2012,"Return Flow to Salt Sink","AG10A",101,"Agriculture",3.4
2012,"Return Flow for Delta Outflow","AG10B",101,"Agriculture",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","AG11A",101,"Agriculture",0.6
2012,"Return Flow to Developed Supply (Other PA)","AG11B",101,"Agriculture",0
2012,"Return Flow to Developed Supply (Other Region)","AG11C",101,"Agriculture",1.9
2012,"Return Flow to Carryover Storage for Next Water Year within DAU","AG11D",101,"Agriculture",0
2012,"Return Flows Evaporation and Evapotranspiration","AG12",101,"Agriculture",9.3
2012,"Conveyance Evaporation and ETAW","AG17",101,"Agriculture",5.9
2012,"Conveyance Return Flow to Oregon","AG18A",101,"Agriculture",3.4
2012,"Conveyance Return Flow to Nevada","AG18B",101,"Agriculture",0
2012,"Conveyance Return Flow to Mexico","AG18C",101,"Agriculture",0
2012,"Conveyance Deep Percolation to Oregon","AG18D",101,"Agriculture",0
2012,"Conveyance Deep Percolation to Nevada","AG18E",101,"Agriculture",0
2012,"Conveyance Deep Percolation to Mexico","AG18F",101,"Agriculture",0
2012,"Conveyance Return Flows to Salt Sink","AG19A",101,"Agriculture",1.3
2012,"Conveyance Return Flow for Delta Outflow","AG19B",101,"Agriculture",0
2012,"Applied Water - Groundwater Recharge","AG2",101,"Agriculture",0
2012,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","AG20A",101,"Agriculture",1.5
2012,"Conveyance Return Flow to Developed Supply (Other PA)","AG20B",101,"Agriculture",0
2012,"Conveyance Return Flow to Developed Supply (Other Region)","AG20C",101,"Agriculture",40.5
2012,"Conveyance Seepage","AG21",101,"Agriculture",8.2
2012,"Conveyance Deep Percolation","AG22",101,"Agriculture",22.1
2012,"Conveyance Deep Percolation to Salt Sink","AG23",101,"Agriculture",0
2012,"Evapotranspiration of Applied Water","AG3",101,"Agriculture",404.3
2012,"Evaporation and Evapotranspiration of Groundwater Recharge","AG4",101,"Agriculture",0
2012,"Deep Percolation of Applied Water","AG5",101,"Agriculture",15.6
2012,"Deep Percolation of Applied Water to Salt Sink","AG6",101,"Agriculture",0
2012,"Deep Percolation of Groundwater Recharge","AG7",101,"Agriculture",0
2012,"Reuse of Return Flows within DAUCO","AG8",101,"Agriculture",17.2
2012,"Return Flow to Oregon","AG9A",101,"Agriculture",0
2012,"Return Flow to Nevada","AG9B",101,"Agriculture",0
2012,"Return Flow to Mexico","AG9C",101,"Agriculture",0
2012,"Deep Percolation to Oregon","AG9D",101,"Agriculture",0
2012,"Deep Percolation to Nevada","AG9E",101,"Agriculture",0
2012,"Deep Percolation to Mexico","AG9F",101,"Agriculture",0
2012,"Applied Water Use","AWUAG",101,"Agriculture",452.3
2012,"Conveyance Applied Water Use","AWUAGC",101,"Agriculture",82.9
2012,"Depletion","DEPAG",101,"Agriculture",417
2012,"Conveyance Depletion","DEPAGC",101,"Agriculture",10.6
2012,"Net Water Use (Applied Water - Reuse)","NW1AG",101,"Agriculture",418.9
2012,"Conveyance Net Water Use (Applied Water - Reuse)","NW1AGC",101,"Agriculture",51.1
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AG",101,"Agriculture",418.9
2012,"Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2AGC",101,"Agriculture",51.1
2012,"Applied Water Use","AWUIFR",101,"Instream Flow Requirements",0
2012,"Depletion","DEPIFR",101,"Instream Flow Requirements",0
2012,"Applied Water","IFR1",101,"Instream Flow Requirements",0
2012,"Reuse of Return Flows within DAUCO","IFR2",101,"Instream Flow Requirements",0
2012,"Return Flow to Salt Sink","IFR3A",101,"Instream Flow Requirements",0
2012,"Return Flow to Oregon - Mexico - Nevada","IFR3B",101,"Instream Flow Requirements",0
2012,"Return Flow for Delta Outflow","IFR3C",101,"Instream Flow Requirements",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","IFR4A",101,"Instream Flow Requirements",0
2012,"Return Flow to Developed Supply (Other PA)","IFR4B",101,"Instream Flow Requirements",0
2012,"Return Flow to Developed Supply (Other Region)","IFR4C",101,"Instream Flow Requirements",0
2012,"Net Water Use (Applied Water - Reuse)","NW1IFR",101,"Instream Flow Requirements",0
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2IFR",101,"Instream Flow Requirements",0
2012,"Applied Water Use","AWUMW",101,"Managed Wetlands",193.3
2012,"Conveyance Applied Water Use","AWUMWC",101,"Managed Wetlands",10.4
2012,"Depletion","DEPMW",101,"Managed Wetlands",145
2012,"Conveyance Depletion","DEPMWC",101,"Managed Wetlands",0.8
2012,"Applied Water","MW1",101,"Managed Wetlands",193.3
2012,"Return Flows Evaporation and Evapotranspiration","MW10",101,"Managed Wetlands",0.8
2012,"Conveyance Evaporation and ETAW","MW15",101,"Managed Wetlands",0.1
2012,"Conveyance Return Flow to Oregon","MW16A",101,"Managed Wetlands",0.7
2012,"Conveyance Return Flow to Nevada","MW16B",101,"Managed Wetlands",0
2012,"Conveyance Return Flow to Mexico","MW16C",101,"Managed Wetlands",0
2012,"Conveyance Deep Percolation to Oregon","MW16D",101,"Managed Wetlands",0
2012,"Conveyance Deep Percolation to Nevada","MW16E",101,"Managed Wetlands",0
2012,"Conveyance Deep Percolation to Mexico","MW16F",101,"Managed Wetlands",0
2012,"Conveyance Return Flows to Salt Sink","MW17A",101,"Managed Wetlands",0
2012,"Conveyance Return Flow for Delta Outflow","MW17B",101,"Managed Wetlands",0
2012,"Conveyance Return Flow to Developed Supply (Other DAUCO within PA)","MW18A",101,"Managed Wetlands",0.7
2012,"Conveyance Return Flow to Developed Supply (Other PA)","MW18B",101,"Managed Wetlands",0
2012,"Conveyance Return Flow to Developed Supply (Other Region)","MW18C",101,"Managed Wetlands",8
2012,"Conveyance Seepage","MW19",101,"Managed Wetlands",0
2012,"Evapotranspiration of Applied Water","MW2",101,"Managed Wetlands",118.1
2012,"Conveyance Deep Percolation","MW20",101,"Managed Wetlands",0.9
2012,"Conveyance Deep Percolation to Salt Sink","MW21",101,"Managed Wetlands",0
2012,"Deep Percolation of Applied Water","MW3",101,"Managed Wetlands",0.7
2012,"Deep Percolation of Applied Water to Salt Sink","MW4",101,"Managed Wetlands",0
2012,"Deep Percolation of Groundwater Recharge","MW5",101,"Managed Wetlands",0
2012,"Reuse of Return Flows within DAUCO","MW6",101,"Managed Wetlands",29.2
2012,"Return Flow to Oregon","MW7A",101,"Managed Wetlands",25.5
2012,"Return Flow to Nevada","MW7B",101,"Managed Wetlands",0
2012,"Return Flow to Mexico","MW7C",101,"Managed Wetlands",0
2012,"Deep Percolation to Oregon","MW7D",101,"Managed Wetlands",0
2012,"Deep Percolation to Nevada","MW7E",101,"Managed Wetlands",0
2012,"Deep Percolation to Mexico","MW7F",101,"Managed Wetlands",0
2012,"Return Flow to Salt Sink","MW8A",101,"Managed Wetlands",0.6
2012,"Return Flow for Delta Outflow","MW8B",101,"Managed Wetlands",0
2012,"Return Flow to Developed Supply (Other DAUCO within PA)","MW9A",101,"Managed Wetlands",0
2012,"Return Flow to Developed Supply (Other PA)","MW9B",101,"Managed Wetlands",0
2012,"Return Flow to Developed Supply (Other Region)","MW9C",101,"Managed Wetlands",16.2
2012,"Return Flow to Carryover Storage for Next Water Year within DAU","MW9D",101,"Managed Wetlands",2.2
2012,"Net Water Use (Applied Water - Reuse)","NW1MW",101,"Managed Wetlands",163.4
2012,"Conveyance Net Water Use (Applied Water - Reuse)","NW1MWC",101,"Managed Wetlands",8.8
2012,"Net Water Use (ETAW + Flow/Salt Sink + Outflow)","NW2MW",101,"Managed Wetlands",163.4
