SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
CAos_S1,,CAos_WS5,Unspecified,Unspecified,PLUMAS,4326,,,,,40.218,-121.17299999999999,,,Gage,LAKE ALMANOR,ALM,,Reservoir Gage,CA,
CAos_S2,,CAos_WS3,Unspecified,Unspecified,Unspecified,4326,,,180201000000.0,18020111.0,38.67945967,-121.18177479999999,,,Gage,AMERICAN R AT FOLSOM,AMF,,Stream Gage,CA,
CAos_S3,,CAos_WS5,Unspecified,Unspecified,PLUMAS,4326,,,,,40.18,-120.60700000000001,,,Gage,ANTELOPE LAKE,ANT,,Reservoir Gage,CA,
CAos_S4,,CAos_WS2,Unspecified,Unspecified,Unspecified,4326,,,180201000000.0,18020122.0,40.17992578,-120.60703290000002,,,Gage,ANTELOPE LAKE,ANT,,Stream Gage,CA,
CAos_S5,,CAos_WS5,Unspecified,Unspecified,MARIN,4326,,,,,37.94,-122.637,,,Gage,ALPINE LAKE,APN,,Reservoir Gage,CA,
CAos_S6,,CAos_WS5,Unspecified,Unspecified,MONTEREY,4326,,,,,35.798,-120.883,,,Gage,LAKE SAN ANTONIO,ATN,,Reservoir Gage,CA,
CAos_S7,,CAos_WS5,Unspecified,Unspecified,PLUMAS,4326,,,,,39.897,-121.20200000000001,,,Gage,BUCKS LAKE STORAGE,BCL,,Reservoir Gage,CA,
CAos_S8,,CAos_WS5,Unspecified,Unspecified,CONTRA COSTA,4326,,,,,37.9151,-122.20700000000001,,,Gage,BRIONES DAM,BIO,,Reservoir Gage,CA,
CAos_S9,,CAos_WS5,Unspecified,Unspecified,SHASTA,4326,,,,,41.022,-121.676,,,Gage,LAKE BRITTON,BIT,,Reservoir Gage,CA,
CAos_S10,,CAos_WS5,Unspecified,Unspecified,LOS ANGELES,4326,,,,,34.586714,-118.39531399999998,,,Gage,BOUQUET CANYON,BQC,,Reservoir Gage,CA,
CAos_S11,,CAos_WS5,Unspecified,Unspecified,TUOLUMNE,4326,,,,,38.203,-120.075,,,Gage,BEARDSLEY LAKE,BRD,,Reservoir Gage,CA,
CAos_S12,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.678000000000004,-116.669,,,Gage,BARRETT,BRT,,Reservoir Gage,CA,
CAos_S13,,CAos_WS5,Unspecified,Unspecified,SAN BERNARDINO,4326,,,,,34.242,-116.978,,,Gage,BEAR VALLEY DAM,BRV,,Reservoir Gage,CA,
CAos_S14,,CAos_WS5,Unspecified,Unspecified,PLUMAS,4326,,,,,40.14802,-121.174174,,,Gage,BUTT VALLEY,BTV,,Reservoir Gage,CA,
CAos_S15,,CAos_WS5,Unspecified,Unspecified,YUBA,4326,,,,,39.393,-121.14,,,Gage,NEW BULLARDS BAR,BUL,,Reservoir Gage,CA,
CAos_S16,,CAos_WS5,Unspecified,Unspecified,NEVADA,4326,,,,,39.45,-120.652,,,Gage,BOWMAN LAKE,BWN,,Reservoir Gage,CA,
CAos_S17,,CAos_WS5,Unspecified,Unspecified,NEVADA,4326,,,,,39.441,-120.65799999999999,,,Gage,LAKE SPAULDING S YUBA SYSTEM,BWS,,Reservoir Gage,CA,
CAos_S18,,CAos_WS5,Unspecified,Unspecified,LOS ANGELES,4326,,,,,34.5152,-118.6101,,,Gage,CASTAIC,CAS,,Reservoir Gage,CA,
CAos_S19,,CAos_WS5,Unspecified,Unspecified,YUBA,4326,,,,,39.05,-121.31700000000001,,,Gage,BEAR RIVER AT CAMP FAR WEST DAM,CFW,,Reservoir Gage,CA,
CAos_S20,,CAos_WS5,Unspecified,Unspecified,LOS ANGELES,4326,,,,,34.245,-117.965,,,Gage,COGSWELL RESERVOIR,CGS,,Reservoir Gage,CA,
CAos_S21,,CAos_WS5,Unspecified,Unspecified,ALAMEDA,4326,,,,,37.73,-122.12200000000001,,,Gage,CHABOT,CHB,,Reservoir Gage,CA,
CAos_S22,,CAos_WS5,Unspecified,Unspecified,LAKE,4326,,,,,38.957,-122.64200000000001,,,Gage,CLEAR LK - CACHE CREEK,CLA,,Reservoir Gage,CA,
CAos_S23,,CAos_WS5,Unspecified,Unspecified,SAN JOAQUIN,4326,,,,,38.225,-121.021,,,Gage,CAMANCHE RESERVOIR,CMN,,Reservoir Gage,CA,
CAos_S24,,CAos_WS5,Unspecified,Unspecified,MADERA,4326,,,,,37.283,-119.51700000000001,,,Gage,CRANE VALLEY,CNV,,Reservoir Gage,CA,
CAos_S25,,CAos_WS5,Unspecified,Unspecified,ALPINE,4326,,,,,38.707,-120.04799999999999,,,Gage,CAPLES LAKE (EID),CPL,,Reservoir Gage,CA,
CAos_S26,,CAos_WS5,Unspecified,Unspecified,MONO,4326,,,,,37.604,-118.70700000000001,,,Gage,LAKE CROWLEY,CRW,,Reservoir Gage,CA,
CAos_S27,,CAos_WS5,Unspecified,Unspecified,SAN MATEO,4326,,,,,37.53,-122.36,,,Gage,LOWER CRYSTAL SPRINGS RESERVOIR,CRY,,Reservoir Gage,CA,
CAos_S28,,CAos_WS5,Unspecified,Unspecified,FRESNO,4326,,,,,37.071999999999996,-118.96700000000001,,,Gage,COURTRIGHT (PG&E),CTG,,Reservoir Gage,CA,
CAos_S29,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.99,-116.587,,,Gage,CUYAMACA DAM,CUY,,Reservoir Gage,CA,
CAos_S30,,CAos_WS5,Unspecified,Unspecified,ALAMEDA,4326,,,,,37.492,-121.818,,,Gage,CALAVERAS,CVE,,Reservoir Gage,CA,
CAos_S31,,CAos_WS5,Unspecified,Unspecified,SANTA CLARA,4326,,,,,37.118,-121.54899999999999,,,Gage,COYOTE RES-STA CLARA,CYC,,Reservoir Gage,CA,
CAos_S32,,CAos_WS4,Unspecified,Unspecified,Unspecified,4326,,,180500000000.0,18050003.0,37.16800192,-121.6490196,,,Gage,COYOTE CR NR MADRONE,CYO,,Stream Gage,CA,
CAos_S33,,CAos_WS5,Unspecified,Unspecified,PLUMAS,4326,,,,,39.883,-120.46700000000001,,,Gage,LAKE DAVIS (DWR),DAV,,Reservoir Gage,CA,
CAos_S34,,CAos_WS2,Unspecified,Unspecified,Unspecified,4326,,,180201000000.0,18020123.0,39.88022447,-120.47111890000001,,,Gage,LAKE DAVIS (DWR),DAV,,Stream Gage,CA,
CAos_S35,,CAos_WS5,Unspecified,Unspecified,ALAMEDA,4326,,,,,37.614000000000004,-121.745,,,Gage,DEL VALLE,DLV,,Reservoir Gage,CA,
CAos_S36,,CAos_WS5,Unspecified,Unspecified,RIVERSIDE,4326,,,,,33.67,-117.066,,,Gage,DIAMOND VALLEY,DMV,,Reservoir Gage,CA,
