Station,ID,Elev,Latitude,Longitude,County,Operating Agency
LAKE JENNINGS,JNN,707,32.854,-116.892,SAN DIEGO,.None Specified
BEAR VALLEY DAM,BRV,6743,34.242,-116.978,SAN BERNARDINO,Big Bear Municipal Water District
THERMALITO DIVERS POOL,THD,230,39.528,-121.543,BUTTE,CA Dept of Water Resources
THERMALITO FOREBAY,TFR,230,39.519,-121.629,BUTTE,CA Dept of Water Resources
THERMALITO TOTAL,TMT,140,39.458,-121.638,BUTTE,CA Dept of Water Resources
SAN LUIS RESERVOIR (STATE),LUS,543,37.001,-121.002,MERCED,CA Dept of Water Resources
SAN LUIS RESERVOIR (FEDERAL),SLF,543,37.001,-121.002,MERCED,CA Dept of Water Resources
BEAR RIVER AT CAMP FAR WEST DAM,CFW,260,39.05,-121.317,YUBA,CA Dept of Water Resources/Flood Management
ANTELOPE LAKE,ANT,4960,40.18,-120.607,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
LAKE DAVIS (DWR),DAV,5768,39.883,-120.467,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
FRENCHMAN DAM,FRD,5517,39.883,-120.183,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
OROVILLE DAM,ORO,900,39.54,-121.493,BUTTE,CA Dept of Water Resources/O&M Oroville Field Division
ONEILL FOREBAY,ONF,225,37.067,-121.067,MERCED,CA Dept of Water Resources/O&M San Joaquin Field Division
SAN LUIS RESERVOIR,SNL,543,37.033,-121.133,MERCED,CA Dept of Water Resources/O&M San Luis Field Division
PYRAMID,PYM,2606,34.644153,-118.764528,LOS ANGELES,CA Dept of Water Resources/O&M Southern Field Division
CASTAIC,CAS,1535,34.5152,-118.6101,LOS ANGELES,CA Dept of Water Resources/O&M Southern Field Division
PERRIS,PRR,1600,33.858,-117.183,RIVERSIDE,CA Dept of Water Resources/O&M Southern Field Division
DEL VALLE,DLV,703,37.614,-121.745,ALAMEDA,CA Dept of Water Resources/Operations and Maintenance
THERMALITO AFTERBAY,TAB,140,39.45,-121.633,BUTTE,CA Dept of Water Resources/Operations and Maintenance
LAKE SILVERWOOD,SLW,3331,34.304,-117.318,SAN BERNARDINO,CA Dept of Water Resources/Operations and Maintenance
SOUTH LAKE,SLK,9600,37.175903,-118.56266,INYO,CA Dept of Water Resources/Snow Surveys
SPICER MEADOWS,SPM,6516,38.393,-119.998,TUOLUMNE,Calaveras County
GRANT LAKE,GNT,7140,37.862,-119.102,MONO,City of Los Angeles; Dept of Water and Power
LAKE CROWLEY,CRW,6797,37.604,-118.707,MONO,City of Los Angeles; Dept of Water and Power
PLEASANT VALLEY RESERVOIR,PVR,4400,37.423578,-118.583576,INYO,City of Los Angeles; Dept of Water and Power
TINEMAHA RESERVOIR,TNM,3882,37.058,-118.225,INYO,City of Los Angeles; Dept of Water and Power
HAIWEE,HWE,3774,36.137,-117.948,INYO,City of Los Angeles; Dept of Water and Power
FAIRMONT RESERVOIR,FMT,3060,34.711777,-118.433462,LOS ANGELES,City of Los Angeles; Dept of Water and Power
SAN VICENTE,SVT,560,32.912,-116.924,SAN DIEGO,City of San Diego
LOWER OTAY,LOT,485,32.609,-116.927,SAN DIEGO,City of San Diego
GIBRALTAR DAM,GBL,1399,34.526,-119.686,SANTA BARBARA,City of Santa Barbara
LOS VAQUEROS RESERVOIR,LVQ,472,37.838,-121.726,CONTRA COSTA,Contra Costa Water District
BRIONES DAM,BIO,588,37.9151,-122.207,CONTRA COSTA,East Bay Municipal Utility District
