ID,Station,Elev,Latitude,Longitude,County,Operating Agency
ALM,LAKE ALMANOR,4600,40.218,-121.173,PLUMAS,Pacific Gas & Electric
ANT,ANTELOPE LAKE,4960,40.18,-120.607,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
APN,ALPINE LAKE,654,37.94,-122.637,MARIN,Marin Municipal Water District
ATN,LAKE SAN ANTONIO,779,35.798,-120.883,MONTEREY,Monterey County
BCL,BUCKS LAKE STORAGE,5168,39.897,-121.202,PLUMAS,Pacific Gas & Electric
BIO,BRIONES DAM,588,37.9151,-122.207,CONTRA COSTA,East Bay Municipal Utility District
BIT,LAKE BRITTON,2744,41.022,-121.676,SHASTA,Pacific Gas & Electric
BQC,BOUQUET CANYON,3008,34.586714,-118.395314,LOS ANGELES,Los Angeles County
BRD,BEARDSLEY LAKE,3398,38.203,-120.075,TUOLUMNE,Oakdale South San Joaquin Irrigation District
BRT,BARRETT,1607,32.678,-116.669,SAN DIEGO,San Diego County
BRV,BEAR VALLEY DAM,6743,34.242,-116.978,SAN BERNARDINO,Big Bear Municipal Water District
BTV,BUTT VALLEY,4144,40.14802,-121.174174,PLUMAS,Pacific Gas & Electric
BUL,NEW BULLARDS BAR,1965,39.393,-121.14,YUBA,Yuba County Water Agency
BWN,BOWMAN LAKE,5566,39.45,-120.652,NEVADA,Nevada County
BWS,LAKE SPAULDING S YUBA SYSTEM,5390,39.441,-120.658,NEVADA,Pacific Gas & Electric
CAS,CASTAIC,1535,34.5152,-118.6101,LOS ANGELES,CA Dept of Water Resources/O&M Southern Field Division
CFW,BEAR RIVER AT CAMP FAR WEST DAM,260,39.05,-121.317,YUBA,CA Dept of Water Resources/Flood Management
CGS,COGSWELL RESERVOIR,2405,34.245,-117.965,LOS ANGELES,Los Angeles County
CHB,CHABOT,250,37.73,-122.122,ALAMEDA,East Bay Municipal Utility District
CHY,CHERRY LAKE,4715,37.976,-119.913,TUOLUMNE,Hetch Hetchy Water and Power
