OID_,siteid,sitename,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,floodmgmt,ecosysmgmt,grdwtrmgmt,pubsafety,wtrsupply,ref_gagesi,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,streamgage,gnisid_med,rchcd_medr,comid_medr,x_orig,y_orig,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,gagegap_st,infrastruc,reactivate,addflow_2s,addflow_2w,addtelemet,addtemp_2f,priorityre,refgage_sw,reactivatn,upgrade,primary_be,Latitude,Longitude
0,ACZ,ALHAMBRA CREEK AT D STREET,OTHER,CDEC,Active,Y,1454,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,42.849899999999998,16.544432090000001,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ACZ,0, ,18050001006347,948050078,-186743.510241000010865,656.044785219999994,Suisun Bay,18050001,Mount Diablo Creek-Frontal Suisun Bay Estuaries,1805000103,Arroyo del Hambre-Frontal Suisun Bay Estuaries,180500010303,AWG, ,N,Y,N,N,Y,0,N,N,Y,ecosystem,38.003311165000000,-122.129810653999996
1,AMC,ARCADE CREEK AT WINDING WAY,OTHER,CDEC,Active,Y,9223,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Winter storms (WS),Stream/River - Perennial,76.190399999999997,29.417265820000001,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=AMC,0,218341,18020111000048,15022615,-117106.576251000005868,70712.675877799993032,Lower American,18020111,Steelhead Creek,1802011103,Arcade Creek,180201110302,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.645447180100000,-121.347407086999993
2,ANH,SAN JOAQUIN RIVER AT ANTIOCH,DWR,CDEC,Active,Y,13514,Active,Y,N,0, ,N,Y,8752,Active,Y,Y,9496,Active,Y,Y, , ,Y, , ,7,Groundwater (GW),Artificial Path,107113.538700000004610,41356.751519099998404,https://waterdata.usgs.gov/nwis/inventory/?site_no=ANH&agency_cd=USGS,0,273488,18040003000002,1889652,-158069.020701000001281,1665.842644959999916,San Joaquin Delta,18040003,Middle River-San Joaquin River,1804000309,Markley Canyon-San Joaquin River,180400030907,AWG, ,N,Y,Y,N,N,0,N,N,Y,multibenefit,38.017835009300001,-121.802976150000006
3,ARD,ARCADE CREEK AT SUNRISE BLVD,OTHER,CDEC,Active,Y,8739,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Winter storms (WS),Stream/River - Perennial,13.211100000000000,5.100832130000000,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ARD,0,218341,18020111000058,15022465,-110441.520082000002731,74956.149073599997791,Lower American,18020111,Steelhead Creek,1802011103,Arcade Creek,180201110302,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.684356683600001,-121.271504160000006
4,ARW,ARDEN WAY,OTHER,CDEC,Active,Y,9223,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,1, ,Stream/River - Perennial,14.054399999999999,5.426431950000000,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ARW,0,233663,18020111000066,15022723,-122925.295966000005137,65350.092408199998317,Lower American,18020111,American River,1802011102,Lower American River,180201110202,AWG, ,N,Y,N,N,Y,0,N,N,Y,multibenefit,38.596009299099997,-121.413135462000000
5,BAN,BEAR CANYON CK AT ANDERSON SPRINGS RD,USGS,CDEC,Active,Y,1887,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Perennial groundwater and rain (PGR),Stream/River - Perennial,22.559400000000000,8.710229460000001,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BAN,0,218796,18020162003311,8015301,-233310.478384999994887,87670.378013599998667,Upper Putah,18020162,Upper Putah Creek,1802016203,Dry Creek-Putah Creek,180201620302,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.775022765499997,-122.688127476000005
6,BBD,BUTTE CREEK NEAR DE SABLA,DWR,CDEC,Active,Y,7891,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,260.581500000000005,100.611038309999998,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BBD,0,266522,18020158006718,2770154,-138909.427323999989312,210561.878793999989284,Butte Creek,18020158,Middle Butte Creek,1802015802,Lake De Sabla-Butte Creek,180201580202,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.900188837199998,-121.625262196999998
7,BBQ,STONEY CK BLW BLACK BUTTE DAM,OTHER,CDEC,Active,Y,3998,Active,Y,N,0, ,N,N,0, ,N,Y,3998,Active,Y, , , , , ,N,6,"Flashy, ephemeral rain (FER)",Stream/River - Intermittent,1921.403700000000072,741.857811380000044,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BBQ,0,267782,18020115019247,12074518,-198827.064290000009350,202742.968239000008907,Upper Stony,18020115,Lower Stony Creek,1802011506,Black Butte Dam-Stony Creek,180201150603,AWG, ,N,Y,Y,N,N,0,N,N,Y,water supply,39.818286281699997,-122.324128545999997
8,BCQ,CHOWCHILLA R BLW BUCHANAN DAM,OTHER,CDEC,Active,Y,3989,Active,Y,N,0, ,N,N,0, ,N,Y,3989,Active,Y, , , , , ,N,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,606.186000000000035,234.049626969999991,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BCQ,0,255078,18040001110622,17100939,859.591883830000029,-89016.946360300004017,Middle San Joaquin-Lower Chowchilla,18040001,Lower Chowchilla River,1804000107,Raynor Creek-Chowchilla River,180400010703,AWG, ,N,Y,Y,N,N,0,N,N,Y,water supply,37.215849385500000,-119.990334494999999
9,BDH,BUTTE CK NR DURHAM BLW GORRILL DAM,DWR,CDEC,Active,Y,1890,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,4,Rain and seasonal groundwater (RGW),Stream/River - Perennial,406.827900000000000,157.077065849999997,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BDH,0,266522,18020158005890,1679005,-153185.554308999999193,177701.094228000001749,Butte Creek,18020158,Middle Butte Creek,1802015802,Durham Slough-Butte Creek,180201580205,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.602287072700001,-121.785433346999994
