OID_,siteid,sitename,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,floodmgmt,ecosysmgmt,grdwtrmgmt,pubsafety,wtrsupply,ref_gagesi,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,streamgage,gnisid_med,rchcd_medr,comid_medr,x_orig,y_orig,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,gagegap_st,infrastruc,reactivate,addflow_2s,addflow_2w,addtelemet,addtemp_2f,priorityre,refgage_sw,reactivatn,upgrade,primary_be,Latitude,Longitude
0,ACZ,ALHAMBRA CREEK AT D STREET,OTHER,CDEC,Active,Y,1454,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,42.8499,16.54443209,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ACZ,0, ,1.805E+13,948050078,-186743.5102,656.0447852,Suisun Bay,18050001,Mount Diablo Creek-Frontal Suisun Bay Estuaries,1805000103,Arroyo del Hambre-Frontal Suisun Bay Estuaries,1.805E+11,AWG, ,N,Y,N,N,Y,0,N,N,Y,ecosystem,38.00331117,-122.1298107
1,AMC,ARCADE CREEK AT WINDING WAY,OTHER,CDEC,Active,Y,9223,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,3,Winter storms (WS),Stream/River - Perennial,76.1904,29.41726582,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=AMC,0,218341,1.80201E+13,15022615,-117106.5763,70712.67588,Lower American,18020111,Steelhead Creek,1802011103,Arcade Creek,1.80201E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.64544718,-121.3474071
2,ANH,SAN JOAQUIN RIVER AT ANTIOCH,DWR,CDEC,Active,Y,13514,Active,Y,N,0, ,N,Y,8752,Active,Y,Y,9496,Active,Y,Y, , ,Y, , ,7,Groundwater (GW),Artificial Path,107113.5387,41356.75152,https://waterdata.usgs.gov/nwis/inventory/?site_no=ANH&agency_cd=USGS,0,273488,1.804E+13,1889652,-158069.0207,1665.842645,San Joaquin Delta,18040003,Middle River-San Joaquin River,1804000309,Markley Canyon-San Joaquin River,1.804E+11,AWG, ,N,Y,Y,N,N,0,N,N,Y,multibenefit,38.01783501,-121.8029762
3,ARD,ARCADE CREEK AT SUNRISE BLVD,OTHER,CDEC,Active,Y,8739,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,2,Winter storms (WS),Stream/River - Perennial,13.2111,5.10083213,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ARD,0,218341,1.80201E+13,15022465,-110441.5201,74956.14907,Lower American,18020111,Steelhead Creek,1802011103,Arcade Creek,1.80201E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.68435668,-121.2715042
4,ARW,ARDEN WAY,OTHER,CDEC,Active,Y,9223,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , , , ,1, ,Stream/River - Perennial,14.0544,5.42643195,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ARW,0,233663,1.80201E+13,15022723,-122925.296,65350.09241,Lower American,18020111,American River,1802011102,Lower American River,1.80201E+11,AWG, ,N,Y,N,N,Y,0,N,N,Y,multibenefit,38.5960093,-121.4131355
6,BBD,BUTTE CREEK NEAR DE SABLA,DWR,CDEC,Active,Y,7891,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,260.5815,100.6110383,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BBD,0,266522,1.80202E+13,2770154,-138909.4273,210561.8788,Butte Creek,18020158,Middle Butte Creek,1802015802,Lake De Sabla-Butte Creek,1.80202E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.90018884,-121.6252622
7,BBQ,STONEY CK BLW BLACK BUTTE DAM,OTHER,CDEC,Active,Y,3998,Active,Y,N,0, ,N,N,0, ,N,Y,3998,Active,Y, , , , , ,N,6,"Flashy, ephemeral rain (FER)",Stream/River - Intermittent,1921.4037,741.8578114,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BBQ,0,267782,1.80201E+13,12074518,-198827.0643,202742.9682,Upper Stony,18020115,Lower Stony Creek,1802011506,Black Butte Dam-Stony Creek,1.80201E+11,AWG, ,N,Y,Y,N,N,0,N,N,Y,water supply,39.81828628,-122.3241285
8,BCQ,CHOWCHILLA R BLW BUCHANAN DAM,OTHER,CDEC,Active,Y,3989,Active,Y,N,0, ,N,N,0, ,N,Y,3989,Active,Y, , , , , ,N,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,606.186,234.049627,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BCQ,0,255078,1.804E+13,17100939,859.5918838,-89016.94636,Middle San Joaquin-Lower Chowchilla,18040001,Lower Chowchilla River,1804000107,Raynor Creek-Chowchilla River,1.804E+11,AWG, ,N,Y,Y,N,N,0,N,N,Y,water supply,37.21584939,-119.9903345
9,BDH,BUTTE CK NR DURHAM BLW GORRILL DAM,DWR,CDEC,Active,Y,1890,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y, ,4,Rain and seasonal groundwater (RGW),Stream/River - Perennial,406.8279,157.0770658,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BDH,0,266522,1.80202E+13,1679005,-153185.5543,177701.0942,Butte Creek,18020158,Middle Butte Creek,1802015802,Durham Slough-Butte Creek,1.80202E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.60228707,-121.7854333
10,BDL,BELDON LANDING,DWR,CDEC,Active,Y,11788,Active,Y,N,0, ,N,Y,7090,Active,Y,Y,4691,Active,Y, , , , , , ,4,Rain and seasonal groundwater (RGW),Artificial Path,119.862,46.27895792,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BDL,0,234323,1.805E+13,2788329,-172390.9011,20749.46649,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,1.805E+11,AWG, ,N,Y,Y,N,N,0,N,N,N, ,38.18621029,-121.9712607
11,BEN,MOKELUMNE R @ BENSON'S FERRY NR THORNTON,DWR,CDEC,Active,Y,13514,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N,Y, , ,Y, , ,6,Rain and seasonal groundwater (RGW),Stream/River - Perennial,5162.5836,1993.283853,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BEN,0,228902,1.804E+13,1889500,-125857.0051,27499.17703,Upper Mokelumne,18040012,Lower Mokelumne River,1804001211,Murphy Creek-Mokelumne River,1.804E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,38.25566756,-121.4399607
12,BLL,BLACKLOCK (NE1),DWR,CDEC,Active,Y,5837,Active,Y,N,0, ,N,Y,5837,Active,Y,Y,5837,Active,Y, , , , , , ,3,Rain and seasonal groundwater (RGW),Artificial Path,17.4528,6.73856099,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BLL,0, ,1.805E+13,2794699,-166817.3746,19879.38899,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,1.805E+11,AWG, ,N,Y,Y,N,N,0,N,N,N, ,38.18070269,-121.9067358
13,BOC,BOCA RESERVOIR,OTHER,CDEC,Active,Y,3203,Inactive,N,Y,5024,Active,Y,N,0, ,N,N,0, ,N, , , , , , ,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,446.2659,172.3041565,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BOC,0,266929,1.60501E+13,8933684,-8607.6565,151909.2169,Truckee,16050102,Little Truckee River,1605010201,Boca Reservoir-Little Truckee River,1.60501E+11,WG, ,N,N,N,N,Y,0,N,N,N, ,39.38546809,-120.0949486
14,BPB,BURNEY CK AT PARK AVE AT BURNEY STATION,DWR,CDEC,Active,Y,1039,Active,Y,N,0, ,N,N,0, ,N,N,0, ,N, , , , ,Y,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,234.7956,90.65505075,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BPB,0,220202,1.802E+13,7952064,-140903.8447,318980.5999,Lower Pit,18020003,Burney Creek,1802000309,Town of Burney-Burney Creek,1.802E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,40.87602604,-121.6710465
15,BSO,BUTTE SLOUGH AT OUTFALL GATES,DWR,CDEC,Active,Y,8125,Active,Y,Y,4108,Inactive,N,N,0, ,N,Y,4923,Inactive,N, , , , ,Y, ,5,Rain and seasonal groundwater (RGW),Connector,32028.6798,12366.33733,http://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BSO,0,266522,1.80202E+13,24688080,-167108.0128,132736.4025,Butte Creek,18020158,Lower Butte Creek,1802015804,Drumheller Slough-Butte Creek,1.80202E+11,AWG, ,N,Y,N,N,Y,0,N,N,N, ,39.19485781,-121.9362956
