RegulatoryOverlayUUID,OversightAgency,RegulatoryDescription,RegulatoryName,RegulatoryOverlayNativeID,RegulatoryStatusCV,RegulatoryStatute,RegulatoryStatuteLink,StatutoryEffectiveDate,StatutoryEndDate,RegulatoryOverlayTypeCV,WaterSourceTypeCV
CAre_RO1,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Smith River Plain,1-001,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO2,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Klamath River Valley - Tulelake,1-002.01,Final,Medium,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO3,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Klamath River Valley - Lower Klamath,1-002.02,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO4,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Butte Valley,1-003,Final,Medium,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO5,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Shasta Valley - Shasta Valley,1-004,Final,Medium,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO6,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Scott River Valley,1-005,Final,Medium,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO7,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Hayfork Valley,1-006,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO8,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Hoopa Valley,1-007,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO9,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Mad River Valley - Mad River Lowland,1-008.01,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO10,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Mad River Valley - Dows Prairie School Area,1-008.02,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO11,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Eureka Plain,1-009,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO12,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Eel River Valley,1-010,Final,Medium,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO13,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Covelo Round Valley,1-011,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO14,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Laytonville Valley,1-012,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO15,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Little Lake Valley,1-013,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
CAre_RO16,Northern Region Office,"Each basin’s priority (high, medium, low, or very low) determines which provisions of California Statewide Groundwater Elevation Monitoring (CASGEM) and the Sustainable Groundwater Management Act (SGMA) apply.  SGMA requires medium- and high-priority basins to develop groundwater sustainability agencies (GSAs), develop groundwater sustainability plans (GSPs) and manage groundwater for long-term sustainability.",Lower Klamath River Valley,1-014,Final,Very Low,https://water.ca.gov/Programs/Groundwater-Management/Basin-Prioritization,01/01/2019,,Sustainable Groundwater Management Act Basin,Groundwater
