DataPublicationDate,OrganizationUUID,RegulatoryOverlayUUID,ReportingUnitUUID
2021-08-26,CDWR,CAre_RO1,CAre_RU1
2021-08-26,CDWR,CAre_RO2,CAre_RU2
2021-08-26,CDWR,CAre_RO3,CAre_RU3
2021-08-26,CDWR,CAre_RO4,CAre_RU4
2021-08-26,CDWR,CAre_RO5,CAre_RU5
2021-08-26,CDWR,CAre_RO6,CAre_RU6
2021-08-26,CDWR,CAre_RO7,CAre_RU7
2021-08-26,CDWR,CAre_RO8,CAre_RU8
2021-08-26,CDWR,CAre_RO9,CAre_RU9
2021-08-26,CDWR,CAre_RO10,CAre_RU10
2021-08-26,CDWR,CAre_RO11,CAre_RU11
2021-08-26,CDWR,CAre_RO12,CAre_RU12
2021-08-26,CDWR,CAre_RO13,CAre_RU13
2021-08-26,CDWR,CAre_RO14,CAre_RU14
2021-08-26,CDWR,CAre_RO15,CAre_RU15
2021-08-26,CDWR,CAre_RO16,CAre_RU16
2021-08-26,CDWR,CAre_RO17,CAre_RU17
2021-08-26,CDWR,CAre_RO18,CAre_RU18
2021-08-26,CDWR,CAre_RO19,CAre_RU19
2021-08-26,CDWR,CAre_RO20,CAre_RU20
2021-08-26,CDWR,CAre_RO21,CAre_RU21
2021-08-26,CDWR,CAre_RO22,CAre_RU22
2021-08-26,CDWR,CAre_RO23,CAre_RU23
2021-08-26,CDWR,CAre_RO24,CAre_RU24
2021-08-26,CDWR,CAre_RO25,CAre_RU25
2021-08-26,CDWR,CAre_RO26,CAre_RU26
2021-08-26,CDWR,CAre_RO27,CAre_RU27
2021-08-26,CDWR,CAre_RO28,CAre_RU28
2021-08-26,CDWR,CAre_RO29,CAre_RU29
2021-08-26,CDWR,CAre_RO30,CAre_RU30
2021-08-26,CDWR,CAre_RO31,CAre_RU31
2021-08-26,CDWR,CAre_RO32,CAre_RU32
2021-08-26,CDWR,CAre_RO33,CAre_RU33
2021-08-26,CDWR,CAre_RO34,CAre_RU34
2021-08-26,CDWR,CAre_RO35,CAre_RU35
2021-08-26,CDWR,CAre_RO36,CAre_RU36
2021-08-26,CDWR,CAre_RO37,CAre_RU37
2021-08-26,CDWR,CAre_RO38,CAre_RU38
2021-08-26,CDWR,CAre_RO39,CAre_RU39
2021-08-26,CDWR,CAre_RO40,CAre_RU40
2021-08-26,CDWR,CAre_RO41,CAre_RU41
2021-08-26,CDWR,CAre_RO42,CAre_RU42
2021-08-26,CDWR,CAre_RO43,CAre_RU43
2021-08-26,CDWR,CAre_RO44,CAre_RU44
2021-08-26,CDWR,CAre_RO45,CAre_RU45
2021-08-26,CDWR,CAre_RO46,CAre_RU46
2021-08-26,CDWR,CAre_RO47,CAre_RU47
2021-08-26,CDWR,CAre_RO48,CAre_RU48
2021-08-26,CDWR,CAre_RO49,CAre_RU49
2021-08-26,CDWR,CAre_RO50,CAre_RU50
2021-08-26,CDWR,CAre_RO51,CAre_RU51
2021-08-26,CDWR,CAre_RO52,CAre_RU52
2021-08-26,CDWR,CAre_RO53,CAre_RU53
2021-08-26,CDWR,CAre_RO54,CAre_RU54
2021-08-26,CDWR,CAre_RO55,CAre_RU55
2021-08-26,CDWR,CAre_RO56,CAre_RU56
2021-08-26,CDWR,CAre_RO57,CAre_RU57
2021-08-26,CDWR,CAre_RO58,CAre_RU58
2021-08-26,CDWR,CAre_RO59,CAre_RU59
2021-08-26,CDWR,CAre_RO60,CAre_RU60
2021-08-26,CDWR,CAre_RO61,CAre_RU61
2021-08-26,CDWR,CAre_RO62,CAre_RU62
2021-08-26,CDWR,CAre_RO63,CAre_RU63
2021-08-26,CDWR,CAre_RO64,CAre_RU64
2021-08-26,CDWR,CAre_RO65,CAre_RU65
2021-08-26,CDWR,CAre_RO66,CAre_RU66
2021-08-26,CDWR,CAre_RO67,CAre_RU67
2021-08-26,CDWR,CAre_RO68,CAre_RU68
2021-08-26,CDWR,CAre_RO69,CAre_RU69
2021-08-26,CDWR,CAre_RO70,CAre_RU70
2021-08-26,CDWR,CAre_RO71,CAre_RU71
2021-08-26,CDWR,CAre_RO72,CAre_RU72
2021-08-26,CDWR,CAre_RO73,CAre_RU73
2021-08-26,CDWR,CAre_RO74,CAre_RU74
2021-08-26,CDWR,CAre_RO75,CAre_RU75
2021-08-26,CDWR,CAre_RO76,CAre_RU76
2021-08-26,CDWR,CAre_RO77,CAre_RU77
2021-08-26,CDWR,CAre_RO78,CAre_RU78
2021-08-26,CDWR,CAre_RO79,CAre_RU79
2021-08-26,CDWR,CAre_RO80,CAre_RU80
2021-08-26,CDWR,CAre_RO81,CAre_RU81
2021-08-26,CDWR,CAre_RO82,CAre_RU82
2021-08-26,CDWR,CAre_RO83,CAre_RU83
2021-08-26,CDWR,CAre_RO84,CAre_RU84
2021-08-26,CDWR,CAre_RO85,CAre_RU85
2021-08-26,CDWR,CAre_RO86,CAre_RU86
2021-08-26,CDWR,CAre_RO87,CAre_RU87
2021-08-26,CDWR,CAre_RO88,CAre_RU88
2021-08-26,CDWR,CAre_RO89,CAre_RU89
2021-08-26,CDWR,CAre_RO90,CAre_RU90
2021-08-26,CDWR,CAre_RO91,CAre_RU91
2021-08-26,CDWR,CAre_RO92,CAre_RU92
2021-08-26,CDWR,CAre_RO93,CAre_RU93
2021-08-26,CDWR,CAre_RO94,CAre_RU94
2021-08-26,CDWR,CAre_RO95,CAre_RU95
2021-08-26,CDWR,CAre_RO96,CAre_RU96
2021-08-26,CDWR,CAre_RO97,CAre_RU97
2021-08-26,CDWR,CAre_RO98,CAre_RU98
2021-08-26,CDWR,CAre_RO99,CAre_RU99
2021-08-26,CDWR,CAre_RO100,CAre_RU100
2021-08-26,CDWR,CAre_RO101,CAre_RU101
2021-08-26,CDWR,CAre_RO102,CAre_RU102
