OID_,Join_Count,TARGET_FID,SiteUUID,Longitude,Latitude,Basin_Numb,Basin_Subb,Basin_Name,Basin_Su_1,Priority,GlobalID
1887,1,1887,CAwr_S11717,-124.1035856,41.82726506,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
2581,1,2581,CAwr_S12362,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
5718,1,5718,CAwr_S15221,-124.1889662,41.79042868,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
5925,1,5925,CAwr_S15408,-124.1218307,41.84669948,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
6379,1,6379,CAwr_S15823,-124.1816173,41.9333009,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
7415,1,7415,CAwr_S16773,-124.1296272,41.87318178,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
7657,1,7657,CAwr_S16994,-124.1682906,41.8085183,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
8712,1,8712,CAwr_S17967,-124.1624373,41.84238923,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
9498,1,9498,CAwr_S1868,-124.1070594,41.82116389,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
10560,1,10560,CAwr_S19666,-124.1070594,41.82116389,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
11666,1,11666,CAwr_S20692,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
11757,1,11757,CAwr_S20775,-124.0831688,41.80841541,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
14248,1,14248,CAwr_S23084,-124.1272944,41.87074122,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
14612,1,14612,CAwr_S23416,-124.1070594,41.82116389,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
15606,1,15606,CAwr_S24327,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
15944,1,15944,CAwr_S24637,-124.1773515,41.93214493,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
16619,1,16619,CAwr_S25254,-124.124,41.8694,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
18238,1,18238,CAwr_S26760,-124.1779,41.9198,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
20103,1,20103,CAwr_S28494,-124.1666,41.9146,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
21284,1,21284,CAwr_S29587,-124.1113388,41.82300831,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
22728,1,22728,CAwr_S30918,-124.145,41.929,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
23466,1,23466,CAwr_S31598,-124.1559,41.8999,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
24297,1,24297,CAwr_S32371,-124.1372,41.8798,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
24323,1,24323,CAwr_S32395,-124.1832,41.9306,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,Very Low,{A82D029C-E795-462D-8DBB-3C20979DDB1C}
