SiteUUID,Longitude,Latitude
CAwr_S1,-123.06921044,40.73949452
CAwr_S10,-120.8894,41.1514
CAwr_S100,-117.1999377,34.0701724
CAwr_S1000,-123.22602247,39.28925959
CAwr_S10000,-123.2138,39.0986
CAwr_S10001,-122.32779796,41.306428
CAwr_S10002,-119.8220741,37.40624135
CAwr_S10003,-121.16998433,39.44511286
CAwr_S10004,-119.8031192,34.4928996
CAwr_S10005,-120.06357501,39.52350958
CAwr_S10006,-120.15664116,39.5035886
CAwr_S10007,-121.38956565,41.19192813
CAwr_S10008,-123.19087172,40.52910629
CAwr_S10009,-120.57626509,39.12073349
CAwr_S1001,-123.22957456,39.2903207
CAwr_S10010,-122.50428608,41.4188751
CAwr_S10011,-120.10413405,41.04199817
CAwr_S10012,-120.11158403,41.04143367
CAwr_S10013,-120.10923979,41.04098354
CAwr_S10014,-121.29959707,36.6991881
CAwr_S10015,-122.37075756,37.25293201
CAwr_S10016,-119.08042624,38.23896304
CAwr_S10017,-118.78042044,37.66409376
CAwr_S10018,-120.7187341,39.7852231
CAwr_S10019,-117.15594712,34.9128473
CAwr_S1002,-123.23190878,39.28233319
CAwr_S10020,-123.42332813,38.70693102
CAwr_S10021,-121.5768,37.8876
CAwr_S10022,-123.12796439,39.36108638
CAwr_S10023,-122.93720595,38.50013837
CAwr_S10024,-122.42440809,38.379188
CAwr_S10025,-122.4248194,38.37952259
CAwr_S10026,-121.06612011,41.82515843
CAwr_S10027,-121.110661,41.78735984
CAwr_S10028,-121.11308854,41.72988454
CAwr_S10029,-121.04844822,41.766151
CAwr_S1003,-123.23230994,39.28507483
CAwr_S10030,-120.33906143,41.90276192
CAwr_S10031,-120.5243207,41.49365202
CAwr_S10032,-120.99232389,41.14853255
CAwr_S10033,-121.00556644,41.12517691
CAwr_S10034,-120.97650174,41.23239076
CAwr_S10035,-118.96177044,35.89640231
CAwr_S10036,-122.23085626,39.07207691
CAwr_S10037,-121.5653255,38.00280439
CAwr_S10038,-121.55932369,37.94160834
CAwr_S10039,-122.60505316,38.76746814
CAwr_S1004,-123.23202372,39.28892204
CAwr_S10040,-123.66622366,40.94383607
CAwr_S10041,-121.9106,36.5345
CAwr_S10042,-121.9015,36.5357
CAwr_S10043,-122.04609752,37.87239172
CAwr_S10044,-119.96222279,34.53597775
CAwr_S10045,-123.51053231,41.44502289
CAwr_S10046,-121.56929334,36.49762289
CAwr_S10047,-121.8315577,39.14117528
CAwr_S10048,-121.8192556,39.14137638
CAwr_S10049,-121.80580705,39.12115967
CAwr_S1005,-122.32973007,38.27637169
CAwr_S10050,-121.61059687,36.44459436
CAwr_S10051,-120.286646,39.90061002
CAwr_S10052,-120.45522822,40.1744228
CAwr_S10053,-120.46357979,35.35214721
CAwr_S10054,-119.14111266,37.75041275
CAwr_S10055,-122.1866493,38.44281518
CAwr_S10056,-121.79134029,37.20032303
CAwr_S10057,-120.54999151,35.19606394
CAwr_S10058,-120.54763233,35.19556335
CAwr_S10059,-121.62044217,37.27596606
CAwr_S1006,-122.34595146,38.2451587
CAwr_S10060,-121.60604878,37.27884919
CAwr_S10061,-121.57033518,37.2091409
CAwr_S10062,-121.62152144,37.22184665
CAwr_S10063,-121.5726168,37.20060549
CAwr_S10064,-121.60317626,37.18892347
CAwr_S10065,-120.78907269,38.6541012
CAwr_S10066,-119.88891516,35.20895089
CAwr_S10067,-120.81710784,35.42919211
CAwr_S10068,-120.91657424,35.65374367
CAwr_S10069,-120.21430775,35.36307908
CAwr_S1007,-122.55180265,39.5672867
CAwr_S10070,-120.40353002,35.31747404
CAwr_S10071,-118.06533654,34.62583026
CAwr_S10072,-122.83163141,38.27110425
CAwr_S10073,-122.39933552,40.19281265
CAwr_S10074,-120.3936492,40.99208099
CAwr_S10075,-123.45821175,39.13290197
CAwr_S10076,-120.59114293,35.39665025
CAwr_S10077,-120.57425511,35.38985696
CAwr_S10078,-122.31255785,39.06617868
CAwr_S10079,-119.63632025,37.45074968
CAwr_S1008,-117.33154761,33.4592632
CAwr_S10080,-116.72227016,33.77101514
CAwr_S10081,-116.73534294,33.77090579
CAwr_S10082,-122.31285772,39.06947829
CAwr_S10083,-118.59783754,36.45226109
CAwr_S10084,-122.41986197,38.70814731
CAwr_S10085,-120.46071274,40.3256412
CAwr_S10086,-120.71159662,40.62634403
CAwr_S10087,-120.55675134,40.74118259
CAwr_S10088,-120.36618505,40.73054301
