index,Basin_Subbasin_Number,Basin_Subbasin_Name,in_RegulatoryStatute,in_OversightAgency
0,1-001,Smith River Plain,Very Low,Northern Region Office
1,1-002.01,Klamath River Valley - Tulelake,Medium,Northern Region Office
2,1-002.02,Klamath River Valley - Lower Klamath,Very Low,Northern Region Office
3,1-003,Butte Valley,Medium,Northern Region Office
4,1-004,Shasta Valley - Shasta Valley,Medium,Northern Region Office
5,1-005,Scott River Valley,Medium,Northern Region Office
6,1-006,Hayfork Valley,Very Low,Northern Region Office
7,1-007,Hoopa Valley,Very Low,Northern Region Office
8,1-008.01,Mad River Valley - Mad River Lowland,Very Low,Northern Region Office
9,1-008.02,Mad River Valley - Dows Prairie School Area,Very Low,Northern Region Office
10,1-009,Eureka Plain,Very Low,Northern Region Office
11,1-010,Eel River Valley,Medium,Northern Region Office
12,1-011,Covelo Round Valley,Very Low,Northern Region Office
13,1-012,Laytonville Valley,Very Low,Northern Region Office
14,1-013,Little Lake Valley,Very Low,Northern Region Office
15,1-014,Lower Klamath River Valley,Very Low,Northern Region Office
16,1-015,Happy Camp Town Area,Very Low,Northern Region Office
17,1-016,Seiad Valley,Very Low,Northern Region Office
18,1-017,Bray Town Area,Very Low,Northern Region Office
19,1-018,Red Rock Valley,Low,Northern Region Office
20,1-019,Anderson Valley,Very Low,North Central Region Office
21,1-020,Garcia River Valley,Very Low,North Central Region Office
22,1-021,Fort Bragg Terrace Area,Very Low,North Central Region Office
23,1-022,Fairchild Swamp Valley,Very Low,Northern Region Office
24,1-025,Prairie Creek Area,Very Low,Northern Region Office
25,1-026,Redwood Creek Area,Very Low,Northern Region Office
26,1-027,Big Lagoon Area,Very Low,Northern Region Office
27,1-028,Mattole River Valley,Very Low,Northern Region Office
28,1-029,Honeydew Town Area,Very Low,Northern Region Office
29,1-030,Pepperwood Town Area,Very Low,Northern Region Office
30,1-031,Weott Town Area,Very Low,Northern Region Office
31,1-032,Garberville Town Area,Very Low,Northern Region Office
