Basin_Subbasin_Number,Basin_Subbasin_Name,Hydrologic_Region,Region_Office,Basin_Area_Acres,Basin_Area_SqMi,Project_Phase,C1_Population_Census,C1_Population_SqMi,C1_Priority_Points,C2_Population_Projection,C2_Population_Growth,C2_Zero_2010_Population,C2_Negative_or_No_Growth,C2_Postive_Growth_and_2010_Pop_1000,C2_Density_50_and_2010_Population_25000,C2_Priority_Points,C3_Public_Supply_Groundwater_Wells,C3_Public_Supply_Wells_SqMi,C3_Priority_Points,C4_Total_Groundwater_Wells,C4_Production_Wells_SqMi,C4_Priority_Points,C5_Irrigated_Acres,C5_Irrigated_Acres_SqMi,C5_Priority_Points,C6_Agricultural_Groundwater_AF,C6_Agricultural_ Surface_ Water_AF,C6_Agricultural_Total_Applied_Water_AF,C6_Agricultural_Groundwater_Percent_Supply,C6_Agricultural_Surface_Water_Percent_Supply,C6_Urban_Groundwater_AF,C6_Urban_Surface_Water_AF,C6_Urban_Purchased_Surface_Water_AF,C6_Urban_Total_Water_Use_AF,C6_Urban_Groundwater_Percent_Supply,C6_Urban_Surface&Purchased_Water_Percent_Supply,C6_Other_Groundwater,C6_Other_Surface_Water,C6_Groundwater_Use_AF,C6_Surface_Water_Use_AF,C6_Total_Water_Use_AF,C6a_Groundwater_Use_AF_BasinAcre,C6a_Points,C6b_Groundwater_Percent_Supply,C6b_Surface_Water_Percent_Supply,C6b_Points,C6_Priority_Points,C7_Impacts_Declining_Groundwater_Levels_Points,C7_Impacts_Declining_Groundwater_Levels_Comment,C7_Impacts_Subsidence_Points,C7_Impacts_Subsidence_Comment,C7_Impacts_Salt_Intrusion_Points,C7_Impacts_Salt_Intrusion_Comment,C7_Impacts_WQ_Detects,C7_WQ_MCL_Exceed,C7_WQ_Average_MCL_Exceedance,C7_WQ_Average_MCL_Exceed_Points,C7_WQ_Unique_Wells_Excd,C7_WQ_Wells_Excd_Per_PSW,C7_WQ_Wells_Excd_Per_PSW_Points,C7_WQ_Calculated_Points,C7_WQ_Other,C7_Impacts_Water_Quality_Points,C7_Impacts_Water_Quality_Comment,C7_Impacts_Total_Points,C7_Priority_Points,C8a_Streamflow_Points,C8a_Habitat_Points,C8a_Monitoring,C8a_Monitoring_and_GroundwaterThreshold_Adverse,C8a_Adverse_Adjustment,C8a_AdverseComment,C8a_HabitatSF_Priority_Points,C8b_BasinOtherInfo_Priority_Points,C8b_BasinOtherInfoComment,C8a_and_C8b_Priority_Points,C8c_2kGroundwater,C8c_9.5kGW_NoDocImpacts,C8c_Adjudication,C8c_Groundwater_NonAdj_AF,C8c_9.5kGW_NonAdj,C8c_CriticalOverdraft,C8c_OutOfBasinGWExports_SubstitutionTransfers,Substitution_Year,Substitution_Amt,Substitution_PriorityPoints,Total_Priority_Points,Priority,Priority_Change_2014_to_2018
1-001,Smith River Plain,North Coast,NRO,40434.48606,63.17888447,1,"24,604",389,2,"27,633",12.31,FALSE,FALSE,FALSE,FALSE,2,19,0.3,3,"1,309",20.71,5,"5,457",86.37,2,5578.66,3346.3,8924.96,62.5,37.5,3563,2683,0,6246,57,43,0,0,9141.66,6029.3,15170.96,0.22,2,60,39,4,3, -   ,"No documented Groundwater Level Declines
Source: 1-001_7a_Hydrographs.pdf

2) Generally, groundwater level data show a seasonal fluctuation of approximate five to 15 feet for normal and dry years.
Source: 1-001_7a_USBR_Smith_River_Rancheria_Water.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,"Salinity monitoring found salt water intrusion to reach 7.65 km upstream of the mouth during summer low flow conditions. Comparatively the salt water intrusion was minimal during the winter season indicating the majority of the lower Smith River estuary is freshwater during the winter months.  (Saline intrusion most likely due to seasonal variations and not from pumping groundwater).
Source:  1-001_7c_SmithRiverAllianceSmithRiverEstuaryandCoastalPlainReport.pdf  pg. 56",409,17,16.95,5,5,0.26,1,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,M/H to L/VL
1-002.01,Klamath River Valley - Tulelake,North Coast,NRO,110521.3526,172.6896134,1,"2,407",14,1,"2,434",1.12,FALSE,FALSE,FALSE,TRUE,0,7,0.04,1,260,1.5,1,"60,230",348.77,4,31294,113039,144333,21.7,78.3,784,0,0,784,100,0,0,0,32078,113039,145117,0.29,3,22,77,2,2.5,7.5,"1) Long term hydrographs show groundwater level decline.
Source: 1-002.01_7a_Hydrographs_Tulelake.pdf

2) Groundwater level decline documented.
Source: 1-002.01_7a_USGS_7sir20075050.pdf

3) Basin GW managers indicated in their GWMP that they will address declining groundwater levels.
Source: 1-002.01_7a_NC-4_TuleLakeID_GWMP_2013.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,44,9,1.97,1,5,0.71,2,3,0,1,0,8.5,2,1,1,TRUE,Monitored with Declining GW Levels and > 0.16 ft GW Use,0,,2,3,"Complex water rights system - other state, federal, and tribal interests competing with residents in Tulelake for surface water deliveries.  Significant increase in groundwater dependence as a result.

Source: 1-002.01_8b_McCool, D. (2018) The Failure of the Klamath River Agreements Journal of Policy History, 30(1), 83-104",5,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,16.5,Medium,No Change
1-002.02,Klamath River Valley - Lower Klamath,North Coast,NRO,75330.28412,117.7035689,1,62,1,0,94,51.61,FALSE,FALSE,TRUE,TRUE,0,0,0,0,34,0.28,1,"17,208",146.19,3,2752,41047,43799,6.3,93.7,2,0,0,2,100,0,0,0,2754,41047,43801,0.03,1,6,93,1,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-003,Butte Valley,North Coast,NRO,79738.99549,124.5921805,1,"1,464",12,1,"1,651",12.77,FALSE,FALSE,FALSE,TRUE,0,4,0.03,1,325,2.6,2,"23,420",187.97,3,46858,9438,56296,83.2,16.8,556,0,0,556,100,0,0,0,47414,9438,56852,0.59,4,83,16,5,4.5,7.5,"1) CASGEM/WDL/GWIDS: Long term hydrographs show groundwater level decline.
Source: 1-003_7a_Hydrographs_ButteValley.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,88,8,1.21,1,2,0.5,2,3,0,1,0,8.5,2,1,1,TRUE,Monitored with Declining GW Levels and > 0.16 ft GW Use,0,,2,0,,2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,15.5,Medium,No Change
1-004,Shasta Valley - Shasta Valley,North Coast,NRO,218215.0317,340.9609871,2,"13,070",38,1,"19,375",48.24,FALSE,FALSE,FALSE,TRUE,0,18,0.05,1,"1,782",5.22,3,"34,838",102.17,3,21623.49951,77432.68717,99056.18667,21.8,78.2,1866,1230,0,3096,60.3,39.7,0,0,23489.83579,78662.29778,102152.1336,0.1,2,23,77,2,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,333,9,6.58,5,3,0.17,1,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,1,"During the irrigation season (April 1 to October 1), temporally-variable surface water diversions and presumable seasonal groundwater pumping reduced streamflows in Big Springs Creek (mean = 52 ft3/s; minimum = 40 ft3/s).
Streamflow rebounded rapidly to unimpaired baseflow conditions following the cessation of the irrigation season (September 30). During the summer and fall, Big Springs Creek, along with several other discrete and diffuse springs, provide the majority of streamflow to the Shasta River below. From April 1 to April 12, 2008 discharge in the Shasta River at Montague was reduced from 143 ft3/s to 43 ft3/s (~70 percent), signifying the large and rapid reduction of groundwater-fed baseflows throughout the basin in response to irrigation diversions and groundwater pumping.

Source: 1_004_8a_Longitudinal Baseline Assessment of Salmonid Habitat Characteristics of the Shasta River, March through September 2008",2,3,"Complex GW management issues internally and externally involving the basin hydrology and contributing volcanic aquifers. 

Source: 1-004_8b_Vol 1_Shasta River Watershed Program FEIR.pdf ",5,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,15,Medium,No Change
1-005,Scott River Valley,North Coast,NRO,63831.42471,99.73660112,1,"3,520",35,1,"2,434",-30.85,FALSE,TRUE,FALSE,TRUE,0,4,0.04,1,778,7.8,3,"27,288",273.6,4,44501,28133,72634,61.3,38.7,531,149,0,680,78.1,21.9,0,0,45032,28282,73314,0.7,4,61,38,4,4, -   ,"No documented Groundwater Level Declines
Source: 1-005_7a_Hydrographs.pdf

2) ""Notably, with water supplies greatly exceeding water demand, there is no evidence of long-term groundwater overdraft in the Scott Valley. However, pumping near the Scott River seasonally lowers groundwater levels...""
Source: 1-005_7a_ScottValleyCaliforniaWaterBlog.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,1,"Complex issues within the basin with  law suits surrounding GW pumping and its impacts on the Scott River and Fisheries.

Source: 1-005_8a_ScottRiverDecree_30662_1980.pdf",2,3,"Complex GW management issues  involving the basin hydrology, pumping adjudications law suits to reduce the impacts on Scott River and associated fisheries.

Source: 1-005_8b_Environmental Law Foundation v. State Water Resources Control Bd. (2018) 26 Cal.App.5th 844, review denied (Nov. 28, 2018)",5,FALSE,FALSE,FALSE,"27,496",FALSE,FALSE,FALSE,0,0,0,18,Medium,No Change
1-006,Hayfork Valley,North Coast,NRO,3297.514952,5.152367113,1,814,158,1,94,-88.45,FALSE,TRUE,FALSE,FALSE,0,0,0,0,33,6.4,3,662,128.48,3,1542,773,2315,66.6,33.4,0,192,0,192,0,100,0,0,1542,965,2507,0.46,3,61,38,4,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with > 0.16 ft GW Use,0,,2,0,,2,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-007,Hoopa Valley,North Coast,NRO,3897.217039,6.089401624,1,"1,797",295,2,"1,651",-8.12,FALSE,TRUE,FALSE,FALSE,0,0,0,0,22,3.61,2,46,7.55,1,41,128,169,24.3,75.7,388,0,0,388,100,0,0,0,429,128,557,0.11,2,77,22,4,3, -   ,"No documented Groundwater Level Declines

2) There may be seasonal overdraft/declines: ""Consequently, sustained heavy withdrawals from these aquifers during the dry summer months for domestic and agricultural uses may lower water tables and affect other groundwater users.""
Source:1-007_7a_HoopaValleyTribeWQControlPlan.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-008.01,Mad River Valley - Mad River Lowland,North Coast,NRO,24663.19157,38.53623683,1,"22,224",577,2,"23,158",4.2,FALSE,FALSE,FALSE,FALSE,1,6,0.15,2,339,8.79,3,"2,685",69.67,2,7248,0,7248,100,0,601,0,2396,2997,20.1,79.9,0,0,7849,2396,10245,0.31,3,76,23,4,3.5, -   ,"No documented Groundwater Level Declines
Source: 1-008.01_7a_Hydrographs.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"3,011",0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
1-008.02,Mad River Valley - Dows Prairie School Area,North Coast,NRO,15416.06451,24.0876008,1,"15,429",641,2,"17,323",12.27,FALSE,FALSE,FALSE,FALSE,2,0,0,0,344,14.28,4,769,31.92,2,1422,1363,2785,51.1,48.9,0,0,1449,1449,0,100,0,0,1422,2812,4234,0.09,1,33,66,2,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,"McKinleyville UWMP states ""MCSD does not utilize local groundwater to supply customers. Due to the service areas proximity to the ocean and the reliable source of water from Ruth Lake, MCSD has no plans to explore groundwater sources.""
Source:  1-008.02_7c_McKinleyville-A Final Board Packet 04-06-16 Part 2.pdf pg. 22

Not enough information at this time to consider this basin as having saline intrusion issues. Additional research is needed.",20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
