PODSiteUUID,POUSiteUUID,StartDate,EndDate
CAss_S2534,CAss_S1,2015-01-01,2015-01-31
CAss_S2534,CAss_S1,2015-02-01,2015-02-28
CAss_S2534,CAss_S1,2015-03-01,2015-03-31
CAss_S2534,CAss_S1,2015-04-01,2015-04-30
CAss_S2534,CAss_S1,2015-05-01,2015-05-31
CAss_S2534,CAss_S1,2015-06-01,2015-06-30
CAss_S2534,CAss_S1,2015-07-01,2015-07-31
CAss_S2534,CAss_S1,2015-08-01,2015-08-31
CAss_S2534,CAss_S1,2015-09-01,2015-09-30
CAss_S2534,CAss_S1,2015-10-01,2015-10-31
CAss_S2534,CAss_S1,2015-11-01,2015-11-30
CAss_S2534,CAss_S1,2015-12-01,2015-12-31
CAss_S2534,CAss_S1,2016-01-01,2016-01-31
CAss_S2534,CAss_S1,2016-02-01,2016-02-29
CAss_S2534,CAss_S1,2016-03-01,2016-03-31
CAss_S2534,CAss_S1,2016-04-01,2016-04-30
CAss_S2534,CAss_S1,2016-05-01,2016-05-31
CAss_S2534,CAss_S1,2016-06-01,2016-06-30
CAss_S2534,CAss_S1,2016-07-01,2016-07-31
CAss_S2534,CAss_S1,2016-08-01,2016-08-31
CAss_S2534,CAss_S1,2016-09-01,2016-09-30
CAss_S2534,CAss_S1,2016-10-01,2016-10-31
CAss_S2534,CAss_S1,2016-11-01,2016-11-30
CAss_S2534,CAss_S1,2016-12-01,2016-12-31
CAss_S2539,CAss_S3,2015-02-01,2015-02-28
CAss_S2539,CAss_S3,2015-03-01,2015-03-31
CAss_S2539,CAss_S3,2015-06-01,2015-06-30
CAss_S2539,CAss_S3,2015-07-01,2015-07-31
CAss_S2539,CAss_S3,2015-08-01,2015-08-31
CAss_S2539,CAss_S3,2015-09-01,2015-09-30
CAss_S2539,CAss_S3,2015-10-01,2015-10-31
CAss_S2539,CAss_S3,2015-11-01,2015-11-30
CAss_S2539,CAss_S3,2015-12-01,2015-12-31
CAss_S2584,CAss_S22,2014-01-01,2014-01-31
CAss_S2584,CAss_S22,2014-03-01,2014-03-31
CAss_S2584,CAss_S22,2014-04-01,2014-04-30
CAss_S2584,CAss_S22,2014-05-01,2014-05-31
CAss_S2584,CAss_S22,2014-06-01,2014-06-30
CAss_S2584,CAss_S22,2014-07-01,2014-07-31
CAss_S2584,CAss_S22,2014-08-01,2014-08-31
CAss_S2584,CAss_S22,2014-09-01,2014-09-30
CAss_S2584,CAss_S22,2014-10-01,2014-10-31
CAss_S2584,CAss_S22,2014-11-01,2014-11-30
CAss_S2584,CAss_S22,2014-12-01,2014-12-31
CAss_S2586,CAss_S24,2015-01-01,2015-01-31
