SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAss_S15,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SFPUC-PLEASANTON WELLS,,,,CA,,Bad Latitude,14.0
CAss_S16,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,USBR-SLDMWA - CVP JONES PUMPING PLANT,,,,CA,,Bad Latitude,15.0
CAss_S19,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,Unspecified,,,,CA,,Bad Latitude,18.0
CAss_S20,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CA STATE PARKS - GROVER HOT SPRINGS,,,,CA,,Bad Latitude,19.0
CAss_S46,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,BRUSH CREEK RANGER STATION,,,,CA,,Bad Latitude,45.0
CAss_S53,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,FRANCIS PROPERTY MANAGEMENT,,,,CA,,Bad Latitude,52.0
CAss_S56,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,PG&E - TABLE MOUNTAIN,,,,CA,,Bad Latitude,55.0
CAss_S67,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,TOYON PARK WATER SYSTEM LLC,,,,CA,,Bad Latitude,66.0
CAss_S86,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,KINGDOM HALL OF JEHOVAH'S WITNESS-WMS,,,,CA,,Bad Latitude,85.0
CAss_S91,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,WILLOW PASS BUSSINESS PARK WATER SYSTEM,,,,CA,,Bad Latitude,90.0
CAss_S118,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,SPRING CREEK TRACT ASSOCIATION,,,,CA,,Bad Latitude,117.0
