OID_,SABL_PWSID,BOUNDARY_T,WATER_SYST,WATER_SY_1,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,OBJECTID,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,COUNTY,POPULATION,REGULATING,FEDERAL_CL,STATE_CLAS,ADDR_LINE_,ADDR_LINE1,ADDRESS_CI,ADDRESS_ST,ADDRESS_ZI,SERVICE_CO,GLOBALID,AC_PHONE_N,AC_EMAIL,BOUNDARY_F,DT_VERIFIE,VERIFIED_S,VERIFIED_N,VERIFIED_T,Shape__Are,Shape__Len,Lat,Long
0,CA1100445,Water Service Area,CA1100445,ORLAND MOBILE H.P.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,133,A,3/28/1986 0:00:00,P,GLENN,178,DISTRICT 21 - VALLEY,COMMUNITY,COMMUNITY,4265 ROAD 99 WEST,P.O. BOX 1721,ORLAND,CA,95963,54,{9823F8EB-225F-4837-9D4A-370480EA2DCB},916-813-3158,karbuckle3186@hotmail.com,WBT Tool,,Not Verified, , ,36576.638734300002398,790.599914969999986,39.734289013500003,-122.198109436999999
1,CA3200054,Water Service Area,CA3200054,BIG MEADOWS SUBDIVISION,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,134,A,2/18/2016 0:00:00,P,PLUMAS,21,LPA62 - PLUMAS COUNTY,NON-PUBLIC,STATE SMALL WATER SYSTEM,BIG MEADOWS SUBDIVISION, ,CANYON DAM,CA,95923,18,{028E0B02-77D3-434E-88C8-8C1DA94C25C5},530-518-4956, ,WBT Tool,,Not Verified, , ,330678.842468000017107,2164.953698620000068,40.188828491199999,-121.123957200000007
2,CA5201140,Water Service Area,CA5201140,ANTOINETTE MUTUAL WATER CO,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,135,A,8/3/2016 0:00:00,P,TEHAMA,25,LPA82 - TEHAMA COUNTY,COMMUNITY,COMMUNITY,507 ANTOINETTE COURT, ,RED BLUFF,CA,96080,12,{EDEA7BF3-6DBC-48B9-B320-6DD5F2185F4B},408-505-7728,smjemmerson@gmail.com,WBT Tool,,Not Verified, , ,84790.249516399999266,1169.718165799999952,40.192276255600000,-122.207747038999997
3,CA1910234,Water Service Area,CA1910234,WALNUT VALLEY WATER DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,136,A,1/1/1976 0:00:00,L,LOS ANGELES,99956,DISTRICT 16 - CENTRAL,COMMUNITY,COMMUNITY,271 S. BREA CANYON ROAD, ,WALNUT,CA,91789,27106,{0314F809-8BD2-4978-9955-BD0C823F8F49},909-595-1268,ehitchman@wvwd.com,WBT Tool,,Pending, , ,115205380.685000002384186,60654.891858399998455,34.008107336899997,-117.834502434000001
4,CA3710047,Water Service Area,CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,138,A,1/1/1976 0:00:00,L,SAN DIEGO,500,DISTRICT 14 - SAN DIEGO,COMMUNITY,COMMUNITY,Campo Hills - County Public Works,3215 White Sage Point,CAMPO,CA,91906,216,{AB72DD64-76B1-4084-94C6-75E6AF7DB31E},858-694-2714,DANIEL.BROGADIR@SDCOUNTY.CA.GOV,WBT Tool,,Not Verified, , ,2536636.370889999903738,11756.255414200000814,32.612087397600000,-116.466674143999995
5,CA0500032,Water Service Area,CA0500032,NEW MELONES LAKE MARINA,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,139,A,7/29/2016 0:00:00,S,CALAVERAS,100,LPA35 - CALAVERAS COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,6503 Glory Hole Road, ,ANGELS CAMP,CA,95222,2,{280F453A-1C32-4958-8BFF-460A918844A6},209-785-3300,darrin@distinctivemetals.com,WBT Tool,,Not Verified, , ,37152.055445999998483,914.923715778999963,37.987699647200003,-120.536907028000002
6,CA1500452,Water Service Area,CA1500452,RIVERDALE VILLAGE,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,141,A,3/22/1979 0:00:00,P,KERN,750,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,811 ROBERTS LANE, ,BAKERSFIELD,CA,93308,290,{D881208F-A8A0-4DAF-878E-1F6D685C8626},661-379-1843,smoketreervpark@storzco.com,WBT Tool,4/17/2020 0:00:00,Verified,V. Nunez,Water System representative,229183.816255000012461,1908.213103459999957,35.406673090799998,-119.036509883999997
7,CA4400692,Water Service Area,CA4400692,ALLAN LANE WATER ASSOCIATION,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,142,A,1/29/2015 0:00:00,P,SANTA CRUZ,68,LPA74 - SANTA CRUZ COUNTY,COMMUNITY,COMMUNITY,283 Allan Lane, ,CORRALITOS,CA,95076,17,{C77AF455-3B74-4065-A7F6-338AA577D9DA},831-724-2590,kristin.mosher51@att.net,WBT Tool,,Not Verified, , ,144104.117276000004495,2015.560731459999943,37.001846538800002,-121.793395289000003
8,CA0800649,Water Service Area,CA0800649,MARGARET KEATING MAIN. & OPER.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,143,A,3/22/1979 0:00:00,L,DEL NORTE,135,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , , , , ,1,{FAFE8E54-2DEA-4D62-A59F-802758B61D58},707-482-0253,nulphrobert@gmail.com,WBT Tool,,Not Verified, , ,136995.411690000008093,1807.692905039999914,41.556630907600002,-124.051424549999993
9,CA0800608,Water Service Area,CA0800608,TREES OF MYSTERY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,144,A,1/1/1976 0:00:00,P,DEL NORTE,200,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,P.O. BOX 96,15500 HWY 101 N,KLAMATH,CA,95548,9,{BAB6D227-A6FF-45E9-824D-6EAF87AC7E8E},707-482-2251,tofm@treesofmystery.net,WBT Tool,,Not Verified, , ,1050289.509280000114813,4737.205364870000267,41.585045624800003,-124.084614780999999
