Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,NULL,19,NULL,NULL,NULL,19,SC,Small Community,12/12/2017,CASTRO VALLEY,NULL,,D1,Distribution Operator Level 1
CA0103041,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,459,NULL,NULL,459,NULL,NULL,NULL,NULL,191,191,SC,Small Community,5/8/2019,SAN LEANDRO,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0105002,RIVERS END MARINA,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,250,250,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,4/18/2019,DISCOVERY BAY,TD,Treatment or distribution operator of any grade,NR,Not Required
CA0105003,CEMEX ELIOT PLANT,ALAMEDA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,20,20,40,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,4/16/2019,PLEASANTON,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,C,Community,C,Community,A,Active,L,Local,GWP,Groundwater Purchased,524,NULL,NULL,524,NULL,187,NULL,NULL,NULL,187,SC,Small Community,5/22/2018,PLEASANTON,NULL,,D1,Distribution Operator Level 1
CA0105009,MOUNTAIN HOUSE SCHOOL,ALAMEDA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GWP,Groundwater Purchased,NULL,50,NULL,50,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,1/24/2012,BYRON,NULL,,D1,Distribution Operator Level 1
CA0105010,EBRPD - DEL VALLE REGIONAL PARK,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,10000,10000,NULL,101,NULL,NULL,NULL,101,N1,Transient Non-Community Water System,7/26/2017,LIVERMORE,T2,Treatment Operator Level 2,NR,Not Required
CA0105012,EBRPD - SUNOL REGIONAL WILDERNESS,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,35,35,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,1/12/2010,SUNOL,TD,Treatment or distribution operator of any grade,NR,Not Required
CA0105013,EBRPD - REDWOOD SPRING REGIONAL PARK,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,35,35,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,12/12/2017,OAKLAND,TD,Treatment or distribution operator of any grade,NR,Not Required
CA0105016,MOUNTAIN HOUSE BAR,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,4/18/2019,TRACY,NULL,,NR,Not Required
CA0105017,RANCHO LOS MOCHOS-BSA CAMP,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,600,600,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,12/11/2019,LIVERMORE,NULL,,NR,Not Required
CA0105018,PURPLE ORCHID RESORT SPA,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,3,16,26,45,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,1/5/2016,LIVERMORE,NULL,,D1,Distribution Operator Level 1
CA0105019,SUNOL SUPER STOP,ALAMEDA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,5,150,155,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,NULL,SUNOL,NULL,,NR,Not Required
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,ALAMEDA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,M,Mixed (Public/Private),GW,Groundwater,NULL,82,NULL,82,NULL,3,NULL,NULL,NULL,3,SP,Non-Transient Non-Community Water System,4/4/2017,PLEASANTON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,351000,NULL,NULL,351000,NULL,84730,NULL,NULL,NULL,84730,C1,Large Water System,2/14/2018,FREMONT,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,59000,NULL,NULL,59000,NULL,18109,NULL,NULL,NULL,18109,C1,Large Water System,7/25/2018,LIVERMORE,T2,Treatment Operator Level 2,D5,Distribution Operator Level 5
CA0110005,EAST BAY MUD,ALAMEDA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,1437000,NULL,NULL,1438500,NULL,389835,NULL,NULL,NULL,389835,C1,Large Water System,11/30/2017,OAKLAND,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
