WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
CAwr_WS1,,,Fresh,Unspecified,WaDECA_WS1,Unspecified
CAwr_WS2,,,Fresh,LAKE DOMINGO,WaDECA_WS2,Surface
CAwr_WS3,,,Fresh,ICY SPRING NO 2,WaDECA_WS3,Unspecified
CAwr_WS4,,,Fresh,SACRAMENTO RIVER,WaDECA_WS4,Unspecified
CAwr_WS5,,,Fresh,SAN JOAQUIN RIVER,WaDECA_WS5,Unspecified
CAwr_WS6,,,Fresh,ALDER CREEK,WaDECA_WS6,Unspecified
CAwr_WS7,,,Fresh,UNCR,WaDECA_WS7,Unspecified
CAwr_WS8,,,Fresh,LEE VINING CREEK,WaDECA_WS8,Unspecified
CAwr_WS9,,,Fresh,RUSH CREEK,WaDECA_WS9,Unspecified
CAwr_WS10,,,Fresh,WILLOW CREEK,WaDECA_WS10,Unspecified
CAwr_WS11,,,Fresh,HIGHLAND CREEK,WaDECA_WS11,Unspecified
CAwr_WS12,,,Fresh,MILLARD CANYON,WaDECA_WS12,Unspecified
CAwr_WS13,,,Fresh,UNSP (2),WaDECA_WS13,Unspecified
CAwr_WS14,,,Fresh,OAK CANYON,WaDECA_WS14,Unspecified
CAwr_WS15,,,Fresh,UNSP,WaDECA_WS15,Unspecified
CAwr_WS16,,,Fresh,PORTUGE FLAT DRAINAGE,WaDECA_WS16,Unspecified
CAwr_WS17,,,Fresh,AMERICAN RIVER,WaDECA_WS17,Surface
CAwr_WS18,,,Fresh,DRY RAVINE,WaDECA_WS18,Unspecified
CAwr_WS19,,,Fresh,ROWSKI CREEK,WaDECA_WS19,Unspecified
CAwr_WS20,,,Fresh,LONG VALLEY CREEK,WaDECA_WS20,Unspecified
CAwr_WS21,,,Fresh,SALINAS RIVER UNDERFLOW,WaDECA_WS21,Unspecified
CAwr_WS22,,,Fresh,SWANSON (GLENOVIA)  CREEK,WaDECA_WS22,Unspecified
CAwr_WS23,,,Fresh,CLARK CREEK,WaDECA_WS23,Unspecified
CAwr_WS24,,,Fresh,WEST GREGORY CREEK,WaDECA_WS24,Unspecified
CAwr_WS25,,,Fresh,TOBIAS CREEK,WaDECA_WS25,Unspecified
CAwr_WS26,,,Fresh,CANEBRAKE CREEK,WaDECA_WS26,Unspecified
CAwr_WS27,,,Fresh,DEXTER CREEK,WaDECA_WS27,Unspecified
CAwr_WS28,,,Fresh,UNST,WaDECA_WS28,Unspecified
CAwr_WS29,,,Fresh,OLD RIVER,WaDECA_WS29,Unspecified
CAwr_WS30,,,Fresh,BONNER RAVINE,WaDECA_WS30,Unspecified
CAwr_WS31,,,Fresh,UNNAMED STREAM,WaDECA_WS31,Unspecified
CAwr_WS32,,,Fresh,MILL CREEK,WaDECA_WS32,Unspecified
CAwr_WS33,,,Fresh,NORTH FORK STONY CREEK,WaDECA_WS33,Unspecified
CAwr_WS34,,,Fresh,Unspecified,WaDECA_WS34,Surface
CAwr_WS35,,,Fresh,KINGS RIVER,WaDECA_WS35,Unspecified
CAwr_WS36,,,Fresh,KINGS RIVER WEST OF HIGHWAY 99,WaDECA_WS36,Surface
CAwr_WS37,,,Fresh,FARLEY CREEK,WaDECA_WS37,Unspecified
CAwr_WS38,,,Fresh,COLTON WELL,WaDECA_WS38,Unspecified
CAwr_WS39,,,Fresh,LITTLE JOHN CREEK,WaDECA_WS39,Unspecified
CAwr_WS40,,,Fresh,HATCHET CREEK,WaDECA_WS40,Unspecified
CAwr_WS41,,,Fresh,ANTELOPE PLAINS,WaDECA_WS41,Unspecified
CAwr_WS42,,,Fresh,CLARK SPRING,WaDECA_WS42,Unspecified
CAwr_WS43,,,Fresh,SHASTA RIVER,WaDECA_WS43,Unspecified
CAwr_WS44,,,Fresh,SAWPIT CANYON,WaDECA_WS44,Unspecified
CAwr_WS45,,,Fresh,SAN PABLO CREEK,WaDECA_WS45,Unspecified
CAwr_WS46,,,Fresh,LITTLE BUTTE CREEK,WaDECA_WS46,Surface
CAwr_WS47,,,Fresh,FEATHER RIVER,WaDECA_WS47,Surface
CAwr_WS48,,,Fresh,BUCKEYE RAVINE,WaDECA_WS48,Unspecified
CAwr_WS49,,,Fresh,RALSTON CREEK,WaDECA_WS49,Unspecified
CAwr_WS50,,,Fresh,MIDDLE BRANCH CROSS CREEK,WaDECA_WS50,Unspecified
CAwr_WS51,,,Fresh,SCOTT RIVER,WaDECA_WS51,Surface
CAwr_WS52,,,Fresh,ALISO CREEK,WaDECA_WS52,Unspecified
CAwr_WS53,,,Fresh,ALISO CANYON,WaDECA_WS53,Unspecified
CAwr_WS54,,,Fresh,GLEASON CANYON,WaDECA_WS54,Unspecified
CAwr_WS55,,,Fresh,BUTTER CREEK,WaDECA_WS55,Unspecified
CAwr_WS56,,,Fresh,WILSON CANYON,WaDECA_WS56,Unspecified
CAwr_WS57,,,Fresh,OWENS RIVER,WaDECA_WS57,Unspecified
CAwr_WS58,,,Fresh,SECRET RAVINE,WaDECA_WS58,Unspecified
CAwr_WS59,,,Fresh,MILLARD CANYON,WaDECA_WS59,Surface
CAwr_WS60,,,Fresh,Millard Canyon,WaDECA_WS60,Unspecified
CAwr_WS61,,,Fresh,DRAINAGE AREA,WaDECA_WS61,Unspecified
CAwr_WS62,,,Fresh,WALKER LAKE,WaDECA_WS62,Unspecified
CAwr_WS63,,,Fresh,JANES FLAT DRAINAGE AREA,WaDECA_WS63,Unspecified
CAwr_WS64,,,Fresh,EMIGRANT CREEK,WaDECA_WS64,Unspecified
CAwr_WS65,,,Fresh,MUD CREEK,WaDECA_WS65,Unspecified
CAwr_WS66,,,Fresh,SALMON CREEK,WaDECA_WS66,Unspecified
CAwr_WS67,,,Fresh,NAPA RIVER,WaDECA_WS67,Surface
CAwr_WS68,,,Fresh,WYMAN CREEK,WaDECA_WS68,Unspecified
CAwr_WS69,,,Fresh,DRAIN NO 55,WaDECA_WS69,Unspecified
CAwr_WS70,,,Fresh,ARROYO SECO,WaDECA_WS70,Unspecified
CAwr_WS71,,,Fresh,UPPER LITTLE MORONGO CREEK,WaDECA_WS71,Unspecified
CAwr_WS72,,,Fresh,MEDLEY LAKE,WaDECA_WS72,Unspecified
CAwr_WS73,,,Fresh,SACRAMENTO RIVER,WaDECA_WS73,Surface
CAwr_WS74,,,Fresh,CAVE SPRINGS,WaDECA_WS74,Unspecified
CAwr_WS75,,,Fresh,CABIN SPRING,WaDECA_WS75,Unspecified
CAwr_WS76,,,Fresh,LECYR WELL,WaDECA_WS76,Unspecified
CAwr_WS77,,,Fresh,MAIL SPRING,WaDECA_WS77,Unspecified
CAwr_WS78,,,Fresh,NORTH FORK KINGS RIVER,WaDECA_WS78,Unspecified
CAwr_WS79,,,Fresh,GRANT LINE CANAL,WaDECA_WS79,Unspecified
CAwr_WS80,,,Fresh,R D 108 BACK LEVEE DRAIN,WaDECA_WS80,Unspecified
CAwr_WS81,,,Fresh,KERN RIVER,WaDECA_WS81,Unspecified
CAwr_WS82,,,Fresh,DOLLAR CREEK,WaDECA_WS82,Surface
CAwr_WS83,,,Fresh,PINE CREEK,WaDECA_WS83,Unspecified
CAwr_WS84,,,Fresh,CEDAR SPRINGS,WaDECA_WS84,Unspecified
CAwr_WS85,,,Fresh,RAINBOW LAKE,WaDECA_WS85,Unspecified
CAwr_WS86,,,Fresh,CEDAR CREEK,WaDECA_WS86,Unspecified
CAwr_WS87,,,Fresh,JAWBONE CREEK,WaDECA_WS87,Unspecified
CAwr_WS88,,,Fresh,ANTELOPE CANYON CREEK,WaDECA_WS88,Unspecified
CAwr_WS89,,,Fresh,NOYO VISTA CREEK,WaDECA_WS89,Unspecified
CAwr_WS90,,,Fresh,COLUSA DRAIN,WaDECA_WS90,Unspecified
CAwr_WS91,,,Fresh,LITTLE ROCK CREEK,WaDECA_WS91,Unspecified
CAwr_WS92,,,Fresh,SAN JACINTO RIVER,WaDECA_WS92,Unspecified
CAwr_WS93,,,Fresh,MESCAL CREEK,WaDECA_WS93,Unspecified
CAwr_WS94,,,Fresh,STEAMBOAT CANYON,WaDECA_WS94,Unspecified
CAwr_WS95,,,Fresh,HORSE CREEK,WaDECA_WS95,Unspecified
CAwr_WS96,,,Fresh,BIRCH CREEK,WaDECA_WS96,Unspecified
CAwr_WS97,,,Fresh,BEAR RIVER,WaDECA_WS97,Unspecified
CAwr_WS98,,,Fresh,SANTA CLARA RIVER,WaDECA_WS98,Unspecified
CAwr_WS99,,,Fresh,FITZHUGH CREEK,WaDECA_WS99,Unspecified
CAwr_WS100,,,Fresh,UNXX,WaDECA_WS100,Unspecified
CAwr_WS101,,,Fresh,SANTA ROSA CREEK,WaDECA_WS101,Unspecified
CAwr_WS102,,,Fresh,RED CANYON CREEK,WaDECA_WS102,Unspecified
CAwr_WS103,,,Fresh,CARIBOU LAKE,WaDECA_WS103,Unspecified
CAwr_WS104,,,Fresh,UNSP (3),WaDECA_WS104,Unspecified
CAwr_WS105,,,Fresh,DEER CREEK,WaDECA_WS105,Unspecified
CAwr_WS106,,,Fresh,NATOMAS CROSS CANAL,WaDECA_WS106,Unspecified
CAwr_WS107,,,Fresh,STANISLAUS RIVER,WaDECA_WS107,Unspecified
CAwr_WS108,,,Fresh,WHITEWATER RIVER,WaDECA_WS108,Unspecified
CAwr_WS109,,,Fresh,TOE DRAIN,WaDECA_WS109,Unspecified
CAwr_WS110,,,Fresh,RYE GRASS SWALE,WaDECA_WS110,Unspecified
CAwr_WS111,,,Fresh,R D MAIN DRAIN,WaDECA_WS111,Unspecified
CAwr_WS112,,,Fresh,OLD ROSENBOOM MINE TUNNEL 1,WaDECA_WS112,Unspecified
CAwr_WS113,,,Fresh,WILLOW SLOUGH,WaDECA_WS113,Surface
CAwr_WS114,,,Fresh,MARK WEST CREEK,WaDECA_WS114,Unspecified
CAwr_WS115,,,Fresh,LOWER CENTENNIAL SPRING,WaDECA_WS115,Unspecified
CAwr_WS116,,,Fresh,CHARLEY CREEK,WaDECA_WS116,Unspecified
