,SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
0,,,,,,,,,,,,,,,,,,,,,,,
578,,40997.0,,,,,,,,,,,,,,,,,,,,,
685,,59141.0,,,,,,,,,,,,,,,,,,,,,
982,,51795.0,,,,,,,,,,,,,,,,,,,,,
1065,,40018.0,,,,,,,,,,,,,,,,,,,,,
1206,,,,,,,,,,,,,,,,,,,,,,,
1801,,66227.0,,,,,,,,,,,,,,,,,,,,,
2108,,39031.0,,,,,,,,,,,,,,,,,,,,,
2286,,14955.0,,,,,,,,,,,,,,,,,,,,,
2880,,23039.0,,,,,,,,,,,,,,,,,,,,,
3276,,6146.0,,,,,,,,,,,,,,,,,,,,,
3787,,22296.0,,,,,,,,,,,,,,,,,,,,,
3926,,33438.0,,,,,,,,,,,,,,,,,,,,,
4296,,,,,,,,,,,,,,,,,,,,,,,
4374,,31836.0,,,,,,,,,,,,,,,,,,,,,
4712,,5253.0,,,,,,,,,,,,,,,,,,,,,
5115,,46422.0,,,,,,,,,,,,,,,,,,,,,
5324,,65980.0,,,,,,,,,,,,,,,,,,,,,
6031,,40390.0,,,,,,,,,,,,,,,,,,,,,
6033,,71794.0,,,,,,,,,,,,,,,,,,,,,
6719,,70934.0,,,,,,,,,,,,,,,,,,,,,
7567,,51482.0,,,,,,,,,,,,,,,,,,,,,
7568,,51483.0,,,,,,,,,,,,,,,,,,,,,
7607,,62424.0,,,,,,,,,,,,,,,,,,,,,
8522,,61334.0,,,,,,,,,,,,,,,,,,,,,
9252,,47368.0,,,,,,,,,,,,,,,,,,,,,
9253,,47371.0,,,,,,,,,,,,,,,,,,,,,
9254,,47383.0,,,,,,,,,,,,,,,,,,,,,
9445,,5081.0,,,,,,,,,,,,,,,,,,,,,
9692,,51489.0,,,,,,,,,,,,,,,,,,,,,
9752,,22874.0,,,,,,,,,,,,,,,,,,,,,
9869,,46963.0,,,,,,,,,,,,,,,,,,,,,
10213,,5732.0,,,,,,,,,,,,,,,,,,,,,
10755,,11260.0,,,,,,,,,,,,,,,,,,,,,
10808,,45359.0,,,,,,,,,,,,,,,,,,,,,
10829,,5127.0,,,,,,,,,,,,,,,,,,,,,
10940,,54158.0,,,,,,,,,,,,,,,,,,,,,
11041,,34326.0,,,,,,,,,,,,,,,,,,,,,
11073,,41614.0,,,,,,,,,,,,,,,,,,,,,
11267,,,,,,,,,,,,,,,,,,,,,,,
11379,,30041.0,,,,,,,,,,,,,,,,,,,,,
11692,,27938.0,,,,,,,,,,,,,,,,,,,,,
