SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAwr_S1,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,Unspecified,,Unspecified,CA,,Bad CoordinateMethodCV,0.0
CAwr_S579,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,40997.0,,Unspecified,CA,,Bad CoordinateMethodCV,578.0
CAwr_S686,,CAwr_WS34,Unspecified,,,4326,,,,,,,,,POD,Unspecified,59141.0,,Unspecified,CA,,Bad CoordinateMethodCV,685.0
CAwr_S983,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,51795.0,,Unspecified,CA,,Bad CoordinateMethodCV,982.0
CAwr_S1066,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,40018.0,,Unspecified,CA,,Bad CoordinateMethodCV,1065.0
CAwr_S1801,,CAwr_WS34,Unspecified,,,4326,,,,,,,,,POD,Unspecified,66227.0,,Unspecified,CA,,Bad CoordinateMethodCV,1800.0
CAwr_S2108,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,39031.0,,Unspecified,CA,,Bad CoordinateMethodCV,2107.0
CAwr_S2286,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,14955.0,,Unspecified,CA,,Bad CoordinateMethodCV,2285.0
CAwr_S2880,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,23039.0,,Unspecified,CA,,Bad CoordinateMethodCV,2879.0
CAwr_S3276,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,6146.0,,Unspecified,CA,,Bad CoordinateMethodCV,3275.0
CAwr_S3787,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,22296.0,,Unspecified,CA,,Bad CoordinateMethodCV,3786.0
CAwr_S3926,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,33438.0,,Unspecified,CA,,Bad CoordinateMethodCV,3925.0
CAwr_S4373,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,31836.0,,Unspecified,CA,,Bad CoordinateMethodCV,4372.0
CAwr_S4711,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,5253.0,,Unspecified,CA,,Bad CoordinateMethodCV,4710.0
CAwr_S5114,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,46422.0,,Unspecified,CA,,Bad CoordinateMethodCV,5113.0
CAwr_S5323,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,65980.0,,Unspecified,CA,,Bad CoordinateMethodCV,5322.0
CAwr_S6030,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,40390.0,,Unspecified,CA,,Bad CoordinateMethodCV,6029.0
CAwr_S6032,,CAwr_WS34,Unspecified,,,4326,,,,,,,,,POD,Unspecified,71794.0,,Unspecified,CA,,Bad CoordinateMethodCV,6031.0
CAwr_S6718,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,70934.0,,Unspecified,CA,,Bad CoordinateMethodCV,6717.0
CAwr_S7566,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,51482.0,,Unspecified,CA,,Bad CoordinateMethodCV,7565.0
CAwr_S7567,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,51483.0,,Unspecified,CA,,Bad CoordinateMethodCV,7566.0
CAwr_S7606,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,62424.0,,Unspecified,CA,,Bad CoordinateMethodCV,7605.0
CAwr_S8521,,CAwr_WS34,Unspecified,,,4326,,,,,,,,,POD,Unspecified,61334.0,,Unspecified,CA,,Bad CoordinateMethodCV,8520.0
CAwr_S9251,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,47368.0,,Unspecified,CA,,Bad CoordinateMethodCV,9250.0
CAwr_S9252,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,47371.0,,Unspecified,CA,,Bad CoordinateMethodCV,9251.0
