MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,OwnerClassificationCV,PopulationServed,PowerType,PrimaryUseCategory,WaterAllocationNativeURL,ReasonRemoved,index
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Revoked,10213,HAEHL RANCH VINEYARD PARTNERS,03/13/1975,,,,Appropriative,0.0,Frost Protection,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,240.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Cancelled,1065,EL DORADO IRRIGATION DISTRICT,,,12/31,01/01,Appropriative,40000.0,Municipal,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,724.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Cancelled,10755,Unspecified,,,,,Appropriative,0.0,Irrigation,,,,07/21/2021,,0,,,,,Unspecified,,,Unspecified,,Bad SiteUUID,841.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Revoked,10808,ANTHONY TRUCHARD,11/09/1977,,05/15,04/15,Appropriative,66.0,Frost Protection,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,900.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Revoked,10829,JOSEPH GHISLETTA JR,11/29/1977,,,,Appropriative,0.0,Frost Protection,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,923.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Cancelled,11041,MONTEREY COUNTY WATER RESOURCES AGENCY,,,,,Appropriative,0.0,Fish and Wildlife Preservation and Enhancement,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,1160.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Cancelled,11692,HOLM FAMILY TRUST,,,,,Appropriative,0.0,Fish and Wildlife Preservation and Enhancement,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,1881.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Cancelled,11967,BIG BEAR CITY COMMUNITY SERVICES DISTRICT,,,,,Appropriative,0.0,Irrigation,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,2186.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Cancelled,11972,JERE MITCHELL,,,,,Appropriative,0.0,Municipal,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,2192.0
CSWRCB_Water Rights,CSWRCB,,CSWRCB_Allocation,,,,,,,,,,Cancelled,12241,HOLM FAMILY TRUST,,,,,Appropriative,0.0,Fish and Wildlife Preservation and Enhancement,,,,07/21/2021,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,2491.0
