WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
CAwr_WS1,,,Fresh,HOCKER GULCH,WaDECA_WS1,Surface Water
CAwr_WS2,,,Fresh,PESCADERO CREEK,WaDECA_WS2,Surface Water
CAwr_WS3,,,Fresh,SOUTH FORK AMERICAN RIVER,WaDECA_WS3,Surface Water
CAwr_WS4,,,Fresh,SACRAMENTO RIVER,WaDECA_WS4,Surface Water
CAwr_WS5,,,Fresh,KYLER GULCH SPRING,WaDECA_WS5,Surface Water
CAwr_WS6,,,Fresh,ROCK CREEK,WaDECA_WS6,Surface Water
CAwr_WS7,,,Fresh,JESSOP CREEK,WaDECA_WS7,Surface Water
CAwr_WS8,,,Fresh,MUD CREEK,WaDECA_WS8,Surface Water
CAwr_WS9,,,Fresh,NORTH SLOUGH MARIPOSA CREEK,WaDECA_WS9,Surface Water
CAwr_WS10,,,Fresh,CHACE VALLEY CREEK,WaDECA_WS10,Surface Water
CAwr_WS11,,,Fresh,RALSTON GULCH,WaDECA_WS11,Surface Water
CAwr_WS12,,,Fresh,PAUMA CREEK,WaDECA_WS12,Surface Water
CAwr_WS13,,,Fresh,LINDSEY SLOUGH,WaDECA_WS13,Surface Water
CAwr_WS14,,,Fresh,UNSP,WaDECA_WS14,Surface Water
CAwr_WS15,,,Fresh,ANTELOPE CREEK,WaDECA_WS15,Surface Water
CAwr_WS16,,,Fresh,JACKSON CREEK,WaDECA_WS16,Surface Water
CAwr_WS17,,,Fresh,UNST,WaDECA_WS17,Surface Water
CAwr_WS18,,,Fresh,UNXX,WaDECA_WS18,Surface Water
CAwr_WS19,,,Fresh,UNCR,WaDECA_WS19,Surface Water
CAwr_WS20,,,Fresh,SWEANY CREEK,WaDECA_WS20,Surface Water
CAwr_WS21,,,Fresh,SENGER CREEK,WaDECA_WS21,Surface Water
CAwr_WS22,,,Fresh,WOODEN VALLEY CREEK,WaDECA_WS22,Surface Water
CAwr_WS23,,,Fresh,NAPA RIVER,WaDECA_WS23,Surface Water
CAwr_WS24,,,Fresh,BIG CREEK,WaDECA_WS24,Surface Water
CAwr_WS25,,,Fresh,ANGELS CREEK,WaDECA_WS25,Surface Water
CAwr_WS26,,,Fresh,WHEATON SPRING,WaDECA_WS26,Surface Water
CAwr_WS27,,,Fresh,Unspecified,,Surface Water
CAwr_WS28,,,Fresh,RATTLESNAKE CANYON,WaDECA_WS28,Surface Water
CAwr_WS29,,,Fresh,SNODGRASS SLOUGH,WaDECA_WS29,Surface Water
CAwr_WS30,,,Fresh,LONG CANYON,WaDECA_WS30,Surface Water
CAwr_WS31,,,Fresh,BEAR CREEK,WaDECA_WS31,Surface Water
CAwr_WS32,,,Fresh,GOVERNMENT SPRING,WaDECA_WS32,Surface Water
CAwr_WS33,,,Fresh,DOME SPRING,WaDECA_WS33,Surface Water
CAwr_WS34,,,Fresh,UNKNOWN,WaDECA_WS34,Surface Water
CAwr_WS35,,,Fresh,WENDEL CANYON,WaDECA_WS35,Surface Water
CAwr_WS36,,,Fresh,OAT GULCH,WaDECA_WS36,Surface Water
CAwr_WS37,,,Fresh,ARROYO BAYO,WaDECA_WS37,Surface Water
CAwr_WS38,,,Fresh,MULE GULCH,WaDECA_WS38,Surface Water
CAwr_WS39,,,Fresh,JAYHAWK CREEK,WaDECA_WS39,Surface Water
CAwr_WS40,,,Fresh,UNNAMED STREAM,WaDECA_WS40,Surface Water
CAwr_WS41,,,Fresh,KERN RIVER,WaDECA_WS41,Surface Water
CAwr_WS42,,,Fresh,PRICE CREEK,WaDECA_WS42,Surface Water
CAwr_WS43,,,Fresh,UPPER ECHO LAKE,WaDECA_WS43,Surface Water
CAwr_WS44,,,Fresh,MILL CREEK,WaDECA_WS44,Surface Water
CAwr_WS45,,,Fresh,ROCKY POINT SPRING,WaDECA_WS45,Surface Water
CAwr_WS46,,,Fresh,CAMPMEETING CREEK,WaDECA_WS46,Surface Water
CAwr_WS47,,,Fresh,CONNELL SPRING,WaDECA_WS47,Surface Water
CAwr_WS48,,,Fresh,BLAKE MOUNTAIN SPRING,WaDECA_WS48,Surface Water
CAwr_WS49,,,Fresh,GLEN CREEK,WaDECA_WS49,Surface Water
CAwr_WS50,,,Fresh,REDS MEADOW HOT SPRING,WaDECA_WS50,Surface Water
CAwr_WS51,,,Fresh,MUD SPRING,WaDECA_WS51,Surface Water
CAwr_WS52,,,Fresh,BRANCH CREEK,WaDECA_WS52,Surface Water
CAwr_WS53,,,Fresh,WET MEADOWS SPRING,WaDECA_WS53,Surface Water
CAwr_WS54,,,Fresh,CARMEL RIVER UNDERFLOW,WaDECA_WS54,Surface Water
CAwr_WS55,,,Fresh,BADGER CANYON,WaDECA_WS55,Surface Water
CAwr_WS56,,,Fresh,GREEN BURNEY CREEK,WaDECA_WS56,Surface Water
CAwr_WS57,,,Fresh,VAN DUZEN RIVER,WaDECA_WS57,Surface Water
CAwr_WS58,,,Fresh,JAMISON CREEK,WaDECA_WS58,Surface Water
CAwr_WS59,,,Fresh,CASCADELL ROAD SPRING,WaDECA_WS59,Surface Water
CAwr_WS60,,,Fresh,GUNNING CREEK,WaDECA_WS60,Surface Water
CAwr_WS61,,,Fresh,PRIEST SPRING,WaDECA_WS61,Surface Water
CAwr_WS62,,,Fresh,DRY CREEK,WaDECA_WS62,Surface Water
CAwr_WS63,,,Fresh,SILVER FORK OF SOUTH FORK AMERICAN RIVER,WaDECA_WS63,Surface Water
CAwr_WS64,,,Fresh,BIRCH CREEK,WaDECA_WS64,Surface Water
CAwr_WS65,,,Fresh,QUAIL WATER CREEK,WaDECA_WS65,Surface Water
CAwr_WS66,,,Fresh,SYCAMORE CREEK,WaDECA_WS66,Surface Water
CAwr_WS67,,,Fresh,CARMEL RIVER,WaDECA_WS67,Surface Water
CAwr_WS68,,,Fresh,PIT RIVER,WaDECA_WS68,Surface Water
CAwr_WS69,,,Fresh,PUTAH CREEK,WaDECA_WS69,Surface Water
CAwr_WS70,,,Fresh,LITTLE DRY CREEK,WaDECA_WS70,Surface Water
CAwr_WS71,,,Fresh,OLD RIVER,WaDECA_WS71,Surface Water
CAwr_WS72,,,Fresh,POSO CREEK,WaDECA_WS72,Surface Water
CAwr_WS73,,,Fresh,INDEPENDENCE CREEK,WaDECA_WS73,Surface Water
CAwr_WS74,,,Fresh,GREENBEARD SPRINGS,WaDECA_WS74,Surface Water
CAwr_WS75,,,Fresh,CLEAR CREEK,WaDECA_WS75,Surface Water
CAwr_WS76,,,Fresh,CAMPO FLORES GULCH,WaDECA_WS76,Surface Water
CAwr_WS77,,,Fresh,LOST RIVER,WaDECA_WS77,Surface Water
CAwr_WS78,,,Fresh,HOPKINS GULCH CREEK,WaDECA_WS78,Surface Water
CAwr_WS79,,,Fresh,MOLINO CREEK,WaDECA_WS79,Surface Water
CAwr_WS80,,,Fresh,BARKER CREEK,WaDECA_WS80,Surface Water
CAwr_WS81,,,Fresh,SANTA ROSA CREEK,WaDECA_WS81,Surface Water
CAwr_WS82,,,Fresh,WILBURN SPRING,WaDECA_WS82,Surface Water
CAwr_WS83,,,Fresh,AGUA CALIENTE SPRING,WaDECA_WS83,Surface Water
CAwr_WS84,,,Fresh,HORSE CANYON,WaDECA_WS84,Surface Water
CAwr_WS85,,,Fresh,SHASTA RIVER,WaDECA_WS85,Surface Water
CAwr_WS86,,,Fresh,BIG BUTTE CREEK,WaDECA_WS86,Surface Water
CAwr_WS87,,,Fresh,HILL CREEK,WaDECA_WS87,Surface Water
CAwr_WS88,,,Fresh,STEVENS CREEK,WaDECA_WS88,Surface Water
CAwr_WS89,,,Fresh,CUNEO CREEK,WaDECA_WS89,Surface Water
CAwr_WS90,,,Fresh,RUNYON SPRINGS,WaDECA_WS90,Surface Water
CAwr_WS91,,,Fresh,BELLS CANYON,WaDECA_WS91,Surface Water
CAwr_WS92,,,Fresh,DEADMAN CREEK,WaDECA_WS92,Surface Water
CAwr_WS93,,,Fresh,SCOTT RIVER,WaDECA_WS93,Surface Water
CAwr_WS94,,,Fresh,MARIPOSA CREEK,WaDECA_WS94,Surface Water
CAwr_WS95,,,Fresh,HOWELL CAMP POND,WaDECA_WS95,Surface Water
CAwr_WS96,,,Fresh,THOMES CREEK,WaDECA_WS96,Surface Water
CAwr_WS97,,,Fresh,BIG MOSQUITO CREEK,WaDECA_WS97,Surface Water
CAwr_WS98,,,Fresh,HORSE FLATS WELL,WaDECA_WS98,Surface Water
CAwr_WS99,,,Fresh,WHISKY CREEK,WaDECA_WS99,Surface Water
CAwr_WS100,,,Fresh,UNNAMED SPRING,WaDECA_WS100,Surface Water
CAwr_WS101,,,Fresh,RIPLEY CREEK,WaDECA_WS101,Surface Water
CAwr_WS102,,,Fresh,BAILEY GULCH,WaDECA_WS102,Surface Water
CAwr_WS103,,,Fresh,HAUN CREEK,WaDECA_WS103,Surface Water
CAwr_WS104,,,Fresh,LITTLE BEAR RIVER,WaDECA_WS104,Surface Water
CAwr_WS105,,,Fresh,EAST WEAVER CREEK,WaDECA_WS105,Surface Water
CAwr_WS106,,,Fresh,COLE SLOUGH,WaDECA_WS106,Surface Water
CAwr_WS107,,,Fresh,MOKELUMNE RIVER,WaDECA_WS107,Surface Water
CAwr_WS108,,,Fresh,MUD SPRINGS CREEK,WaDECA_WS108,Surface Water
