MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,1484.0,Unspecified,,,,10/07/2020,,,,,,,,,,2010,,2010-10-31,2010-10-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS2,,1085.0,Unspecified,,,,10/07/2020,,,,,,,,,,2010,,2010-10-31,2010-10-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,1322.0,Unspecified,,,,10/07/2020,,,,,,,,,,2010,,2010-11-30,2010-11-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS2,,1316.0,Unspecified,,,,10/07/2020,,,,,,,,,,2010,,2010-11-30,2010-11-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,1829.0,Unspecified,,,,10/07/2020,,,,,,,,,,2010,,2010-12-31,2010-12-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS2,,1502.0,Unspecified,,,,10/07/2020,,,,,,,,,,2010,,2010-12-31,2010-12-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_2,COag_WS3,,74000.0,Unspecified,,,,10/07/2020,,,,,,,,,,2011,,2011-01-31,2011-01-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_2,COag_WS4,,7200.0,Unspecified,,,,10/07/2020,,,,,,,,,,2011,,2011-01-31,2011-01-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_2,COag_WS5,,4500.0,Unspecified,,,,10/07/2020,,,,,,,,,,2011,,2011-01-31,2011-01-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_2,COag_WS6,,7900.0,Unspecified,,,,10/07/2020,,,,,,,,,,2011,,2011-01-31,2011-01-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_2,COag_WS7,,18000.0,Unspecified,,,,10/07/2020,,,,,,,,,,2011,,2011-01-31,2011-01-01
