MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,19300.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2010,,2010-10-28,2010-10-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,19600.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2010,,2010-11-28,2010-11-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,19700.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2010,,2010-12-28,2010-12-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,19900.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-01-28,2011-01-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,20000.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-02-28,2011-02-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,20000.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-03-28,2011-03-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,20000.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-04-28,2011-04-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,19600.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-05-28,2011-05-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,17500.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-06-28,2011-06-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,15900.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-07-28,2011-07-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,15900.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-08-28,2011-08-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,15800.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-09-28,2011-09-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,15800.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-10-28,2011-10-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,16000.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-11-28,2011-11-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,16400.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2011,,2011-12-28,2011-12-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,16100.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2012,,2012-01-28,2012-01-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,15900.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2012,,2012-02-28,2012-02-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,15900.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2012,,2012-03-28,2012-03-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,16000.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2012,,2012-04-28,2012-04-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,15900.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2012,,2012-05-28,2012-05-01
CO_SWSIModels,CODWR,COag_RU1,CO_Supply_1,COag_WS1,,15800.0,Unspecified,,,,10/07/2020,,,,,,,,,Unspecified,2012,,2012-06-28,2012-06-01
