ReportingUnitUUID,EPSGCodeCV,ReportingUnitName,ReportingUnitNativeID,ReportingUnitProductVersion,ReportingUnitTypeCV,ReportingUnitUpdateDate,StateCV,Geometry
COag_RU1,EPSG:4326,South Platte Headwater,10190001,,HUC8,,CO,
COag_RU2,EPSG:4326,Middle South Platte-Cherry Creek,10190003,,HUC8,,CO,
COag_RU3,EPSG:4326,Cache La Poudre,10190007,,HUC8,,CO,
COag_RU4,EPSG:4326,Big Thompson,10190006,,HUC8,,CO,
COag_RU5,EPSG:4326,Upper South Platte,10190002,,HUC8,,CO,
COag_RU6,EPSG:4326,Middle South Platte-Sterling,10190012,,HUC8,,CO,
COag_RU7,EPSG:4326,St. Vrain,10190005,,HUC8,,CO,
COag_RU8,EPSG:4326,North Platte Headwaters,10180001,,HUC8,,CO,
COag_RU9,EPSG:4326,Clear,10190004,,HUC8,,CO,
COag_RU10,EPSG:4326,Upper Arkansas-John Martin Reservoir,11020009,,HUC8,,CO,
COag_RU11,EPSG:4326,Arkansas Headwaters,11020001,,HUC8,,CO,
COag_RU12,EPSG:4326,Huerfano,11020006,,HUC8,,CO,
COag_RU13,EPSG:4326,Upper Arkansas-Lake Meredith,11020005,,HUC8,,CO,
COag_RU14,EPSG:4326,Upper Arkansas,11020002,,HUC8,,CO,
COag_RU15,EPSG:4326,Purgatoire,11020010,,HUC8,,CO,
COag_RU16,EPSG:4326,Conejos,13010005,,HUC8,,CO,
COag_RU17,EPSG:4326,Rio Grande Headwaters,13010001,,HUC8,,CO,
COag_RU18,EPSG:4326,Alamosa-Trinchera,13010002,,HUC8,,CO,
COag_RU19,EPSG:4326,Saguache,13010004,,HUC8,,CO,
COag_RU20,EPSG:4326,Upper Gunnison,14020002,,HUC8,,CO,
COag_RU21,EPSG:4326,Blue,14010002,,HUC8,,CO,
COag_RU22,EPSG:4326,Mancos,14080107,,HUC8,,CO,
COag_RU23,EPSG:4326,Animas,14080104,,HUC8,,CO,
COag_RU24,EPSG:4326,North Fork Gunnison,14020004,,HUC8,,CO,
COag_RU25,EPSG:4326,Roaring Fork,14010004,,HUC8,,CO,
COag_RU26,EPSG:4326,East-Taylor,14020001,,HUC8,,CO,
COag_RU27,EPSG:4326,Upper San Juan,14080101,,HUC8,,CO,
COag_RU28,EPSG:4326,Colorado Headwaters-Plateau,14010005,,HUC8,,CO,
COag_RU29,EPSG:4326,Colorado Headwaters,14010001,,HUC8,,CO,
COag_RU30,EPSG:4326,Upper Dolores,14030002,,HUC8,,CO,
COag_RU31,EPSG:4326,Eagle,14010003,,HUC8,,CO,
COag_RU32,EPSG:4326,Tomichi,14020003,,HUC8,,CO,
COag_RU33,EPSG:4326,Uncompahgre,14020006,,HUC8,,CO,
COag_RU34,EPSG:4326,Lower Gunnison,14020005,,HUC8,,CO,
COag_RU35,EPSG:4326,San Miguel,14030003,,HUC8,,CO,
COag_RU36,EPSG:4326,Upper Yampa,14050001,,HUC8,,CO,
COag_RU37,EPSG:4326,Lower Yampa,14050002,,HUC8,,CO,
COag_RU38,EPSG:4326,Little Snake,14050003,,HUC8,,CO,
COag_RU39,EPSG:4326,Upper White,14050005,,HUC8,,CO,
COag_RU40,EPSG:4326,Piedra,14080102,,HUC8,,CO,
COag_RU41,EPSG:4326,Middle San Juan,14080105,,HUC8,,CO,
