WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
COag_WS1,,,Fresh,MOUNTAIN HOME,8008160,Lake
COag_WS2,,,Fresh,TERRACE RESERVOIR,MTNRESCO,Reservoir
COag_WS3,,,Fresh,ALAMOSA CREEK ABOVE TERRACE RESERVOIR,8236000,Reservoir
COag_WS4,,,Fresh,TRINCHERA CK,8240500,Creek
COag_WS5,,,Fresh,SANGRE DE CRISTO,8241500,River
COag_WS6,,,Fresh,UTE CREEK,8242500,Creek
COag_WS7,,,Fresh,CULEBRA CREEK AT SAN LUIS,8250000,Creek
COag_WS8,,,Fresh,TERRACE RESERVOIR,8008160,Reservoir
COag_WS9,,,Fresh,MOUNTAIN HOME,MTNRESCO,Lake
COag_WS10,,,Fresh,LEMON RESERVOIR,9009070,Reservoir
COag_WS11,,,Fresh,ANIMAS RIVER AT DURANGO,9361500,River
COag_WS12,,,Fresh,FLORIDA RIVER INFLOW TO LEMON RESERVOIR,9363100,River
COag_WS13,,,Fresh,FLORIDA RIVER BELOW LEMON RESERVOIR NR DURANGO,9363100,River
COag_WS14,,,Fresh,CLEAR CREEK RESERVOIR,7007020,Reservoir
COag_WS15,,,Fresh,TURQUOISE LAKE,7007110,Lake
COag_WS16,,,Fresh,TWIN LAKES RESERVOIR,7007120,Lake
COag_WS17,,,Fresh,HOMESTAKE RESERVOIR,9009040,Reservoir
COag_WS18,,,Fresh,ARKANSAS RIVER AT SALIDA,7091500,River
COag_WS19,,,Fresh,BOYD LAKE,6016040,Lake
COag_WS20,,,Fresh,CARTER LAKE,6016060,Lake
COag_WS21,,,Fresh,LAKE LOVELAND RESERVOIR,6016180,Reservoir
COag_WS22,,,Fresh,LONE TREE RESERVOIR,6016190,Reservoir
COag_WS23,,,Fresh,MARIANO RESERVOIR,6016200,Reservoir
COag_WS24,,,Fresh,LAKE GRANBY,9009060,Lake
COag_WS25,,,Fresh,WILLOW CREEK RESERVOIR,9009160,Reservoir
COag_WS26,,,Fresh,"BIG THOMPSON R AT MOUTH, NR DRAKE, CO",6738000,River
COag_WS27,,,Fresh,GREEN MOUNTAIN RESERVOIR,9009030,Reservoir
COag_WS28,,,Fresh,BLUE RIVER INFLOW TO GREEN MOUNTAIN RES,9057500,Reservoir
COag_WS29,,,Fresh,BLACK HOLLOW RESERVOIR,6016030,Reservoir
COag_WS30,,,Fresh,CACHE LA POUDRE,6016050,Lake
COag_WS31,,,Fresh,CHAMBERS LAKE,6016070,Lake
COag_WS32,,,Fresh,COBB LAKE,6016090,Lake
COag_WS33,,,Fresh,FOSSIL CREEK RESERVOIR,6016120,Reservoir
COag_WS34,,,Fresh,HALLIGAN RESERVOIR,6016140,Reservoir
COag_WS35,,,Fresh,HORSETOOTH RESERVOIR,6016150,Reservoir
COag_WS36,,,Fresh,WINDSOR RESERVOIR,6016310,Reservoir
COag_WS37,,,Fresh,CACHE LA POUDRE R AT CANYON MOUTH,6752000,River
COag_WS38,,,Fresh,CACHE LA POUDRE R AT CANYON MOUTH NEAR FORT COLLINS,6752000,River
COag_WS39,,,Fresh,CLEAR CREEK AT GOLDEN,6719505,Creek
COag_WS40,,,Fresh,WILLIAMS FORK RESERVOIR,9009150,Reservoir
COag_WS41,,,Fresh,WOLFORD MOUNTAIN RESERVOIR,9041395,Reservoir
COag_WS42,,,Fresh,COLORADO RIVER NEAR DOTSERO,9070500,River
COag_WS43,,,Fresh,VEGA RESERVOIR,9009140,Reservoir
COag_WS44,,,Fresh,COLORADO RIVER NEAR CAMEO,9095500,River
COag_WS45,,,Fresh,PLATORO RESERVOIR,8008120,Reservoir
COag_WS46,,,Fresh,CONEJOS RIVER NEAR MOGOTE,8246500,River
COag_WS47,,,Fresh,EAGLE RIVER BELOW GYPSUM,9070000,River
COag_WS48,,,Fresh,TAYLOR PARK RESERVOIR,9009120,Reservoir
COag_WS49,,,Fresh,TAYLOR R INF TO TAYLOR PARK RESERVOIR,9109209,Reservoir
COag_WS50,,,Fresh,EAST RIVER AT ALMONT,9112500,River
COag_WS51,,,Fresh,TAYLOR RIVER BELOW TAYLOR PARK RESERVOIR,9109209,Reservoir
COag_WS52,,,Fresh,CUCHARAS RESERVOIR,7007030,Reservoir
COag_WS53,,,Fresh,HUERFANO RIVER NEAR REDWING,7111000,River
COag_WS54,,,Fresh,CUCHARAS RIVER AT BOYD RANCH NR LA VETA,7114000,River
COag_WS55,,,Fresh,LITTLE SNAKE RIVER NEAR LILY,9260000,River
COag_WS56,,,Fresh,GUNNISON RIVER NR GRAND JUNCTION,9152500,River
COag_WS57,,,Fresh,YAMPA RIVER NEAR MAYBELL,9251000,River
COag_WS58,,,Fresh,JACKSON GULCH RESERVOIR,9009050,Reservoir
COag_WS59,,,Fresh,MANCOS RIVER NEAR MANCOS,9370500,River
COag_WS60,,,Fresh,LONG HOLLOW RESERVOIR,LONRESCO,Reservoir
COag_WS61,,,Fresh,LA PLATA RIVER AT HESPERUS,9365500,River
COag_WS62,,,Fresh,BARR LAKE,6016020,Lake
COag_WS63,,,Fresh,MILTON RESERVOIR,6016230,Reservoir
COag_WS64,,,Fresh,STANDLEY RESERVOIR,6016280,Reservoir
COag_WS65,,,Fresh,HORSECREEK RESERVOIR,6016370,Reservoir
COag_WS66,,,Fresh,SOUTH PLATTE RIVER AT SOUTH PLATTE,6707500,River
COag_WS67,,,Fresh,BEAR CREEK ABV EVERGREEN,6710385,Creek
COag_WS68,,,Fresh,SAINT VRAIN CREEK AT LYONS,6724000,Creek
COag_WS69,,,Fresh,BOULDER CREEK NEAR ORODELL,6727000,Creek
COag_WS70,,,Fresh,"SOUTH BOULDER CK NR ELDORADO SPRINGS, CO",6729500,Creek
COag_WS71,,,Fresh,EMPIRE RESERVOIR,6016110,Reservoir
COag_WS72,,,Fresh,JACKSON LAKE RESERVOIR,6016160,Reservoir
COag_WS73,,,Fresh,JULESBURG RESERVOIR,6016170,Reservoir
COag_WS74,,,Fresh,POINT OF ROCKS RESERVOIR,6016240,Reservoir
COag_WS75,,,Fresh,PREWITT RESERVOIR,6016250,Reservoir
COag_WS76,,,Fresh,RIVERSIDE RESERVOIR,6016270,Reservoir
COag_WS77,,,Fresh,PAONIA RESERVOIR,9009100,Reservoir
COag_WS78,,,Fresh,NORTH FORK GUNNISON R NR SOMERSET,9132500,River
COag_WS79,,,Fresh,NORTH PLATTE R NR NORTHGATE,6620000,River
COag_WS80,,,Fresh,PIEDRA RIVER NEAR ARBOLES,9349800,River
COag_WS81,,,Fresh,TRINIDAD LAKE,7007100,Lake
COag_WS82,,,Fresh,PURGATOIRE RIVER AT TRINIDAD,7124500,River
COag_WS83,,,Fresh,RIO GRANDE RESERVOIR,8008130,Reservoir
COag_WS84,,,Fresh,SANTA MARIA RESERVOIR,8008150,Reservoir
COag_WS85,,,Fresh,CONTINENTAL RESERVOIR,8008170,Reservoir
COag_WS86,,,Fresh,RIO GRANDE NEAR DEL NORTE,8220000,River
COag_WS87,,,Fresh,RUEDI RESERVOIR,9009110,Reservoir
COag_WS88,,,Fresh,ROARING FORK AT GLENWOOD SPRINGS,9085000,Spring
COag_WS89,,,Fresh,"SAGUACHE CREEK NEAR SAGUACHE, CO",8227000,Creek
COag_WS90,,,Fresh,SAN MIGUEL RIVER NEAR PLACERVILLE,9172500,River
COag_WS91,,,Fresh,ANTERO RESERVOIR,6016010,Reservoir
COag_WS92,,,Fresh,ELEVENMILE CANYON RESERVOIR,6016100,Reservoir
COag_WS93,,,Fresh,SPINNEY MOUNTAIN RESERVOIR,16016025,Reservoir
COag_WS94,,,Fresh,ELEVENMILE CANYON RESV INFLOW,6695500,Reservoir
COag_WS95,,,Fresh,ELEVENMILE CANYON RE NEAR LAKE GEORGE,6695500,Lake
COag_WS96,,,Fresh,GROSS RESERVOIR,6016130,Reservoir
COag_WS97,,,Fresh,MARSHALL RESERVOIR,6016220,Reservoir
COag_WS98,,,Fresh,BUTTONROCK (RALPH PRICE) RESERVOIR,6016260,Reservoir
COag_WS99,,,Fresh,TERRY RESERVOIR,6016290,Reservoir
COag_WS100,,,Fresh,UNION RESERVOIR,6016300,Reservoir
COag_WS101,,,Fresh,VOUGA RESERVOIR NEAR DOYLEVILLE,9116500,Reservoir
COag_WS102,,,Fresh,"TOMICHI CREEK AT GUNNISON, CO",9119000,Creek
COag_WS103,,,Fresh,RIDGEWAY RESERVOIR,9147022,Reservoir
COag_WS104,,,Fresh,UNCOMPAHGRE RIVER AT COLONA,9147500,River
COag_WS105,,,Fresh,PUEBLO RESERVOIR,7007090,Reservoir
COag_WS106,,,Fresh,PUEBLO RESERVOIR INFLOW,7099400,Reservoir
COag_WS107,,,Fresh,ARKANSAS RIVER ABOVE PUEBLO,7099400,River
COag_WS108,,,Fresh,ADOBE CREEK RESERVOIR,7007010,Reservoir
COag_WS109,,,Fresh,JOHN MARTIN RESERVOIR,7007060,Reservoir
COag_WS110,,,Fresh,MEREDITH RESERVOIR,7007070,Reservoir
COag_WS111,,,Fresh,LAKE HENRY,7007130,Lake
COag_WS112,,,Fresh,GROUNDHOG RESERVOIR,9009170,Reservoir
COag_WS113,,,Fresh,MCPHEE RESERVOIR,MPHC2000,Reservoir
COag_WS114,,,Fresh,DOLORES RIVER BELOW MCPHEE RESERVOIR,9169000,Reservoir
COag_WS115,,,Fresh,BLUE MESA RESERVOIR,9009010,Reservoir
COag_WS116,,,Fresh,MORROW POINT RESERVOIR,9009080,Reservoir
COag_WS117,,,Fresh,FRUITLAND RESERVOIR,9009330,Reservoir
COag_WS118,,,Fresh,CRAWFORD RESERVOIR,9009340,Reservoir
COag_WS119,,,Fresh,SILVER JACK RESERVOIR,9125800,Reservoir
COag_WS120,,,Fresh,"LAKE FORK AT GATEVIEW, CO",9124500,Lake
COag_WS121,,,Fresh,GUNNISON R INF TO BLUE MESA RESERVOIR,9124800,Reservoir
COag_WS122,,,Fresh,"LAKE FORK AT GATEVIEW, CO",9114500,Lake
COag_WS123,,,Fresh,"GUNNISON RIVER NEAR GUNNISON, CO",9124500,River
COag_WS124,,,Fresh,"GUNNISON RIVER NEAR GUNNISON, CO",9114500,River
COag_WS125,,,Fresh,VALLECITO RESERVOIR,9009130,Reservoir
COag_WS126,,,Fresh,SAN JUAN RIVER NEAR CARRACAS,9346400,River
COag_WS127,,,Fresh,LOS PINOS RIVER NEAR BAYFIELD,9353500,River
COag_WS128,,,Fresh,CHEESMAN LAKE,6016080,Lake
COag_WS129,,,Fresh,DILLON RESERVOIR,9009020,Reservoir
COag_WS130,,,Fresh,WHITE RIVER NEAR MEEKER,9304500,River
COag_WS131,,,Fresh,STAGECOACH RESERVOIR NR OAK CREEK,9237495,Reservoir
