WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
COos_WS1,,,Fresh,SOUTH PLATTE RIVER,WaDECO_WS1,Surface Water
COos_WS2,,,Fresh,BEAVER CREEK,WaDECO_WS2,Surface Water
COos_WS3,,,Fresh,MIDDLEMIST CREEK,WaDECO_WS3,Surface Water
COos_WS4,,,Fresh,WEST BIJOU CREEK,WaDECO_WS4,Surface Water
COos_WS5,,,Fresh,KIOWA CREEK,WaDECO_WS5,Surface Water
COos_WS6,,,Fresh,KILLINS SPRING RUN,WaDECO_WS6,Surface Water
COos_WS7,,,Fresh,MULE CREEK,WaDECO_WS7,Surface Water
COos_WS8,,,Fresh,WEST KIOWA CREEK,WaDECO_WS8,Surface Water
COos_WS9,,,Fresh,BOX ELDER CREEK,WaDECO_WS9,Surface Water
COos_WS10,,,Fresh,CROW CREEK,WaDECO_WS10,Surface Water
COos_WS11,,,Fresh,LITTLE CROW CREEK,WaDECO_WS11,Surface Water
COos_WS12,,,Fresh,LONE TREE CREEK,WaDECO_WS12,Surface Water
COos_WS13,,,Fresh,EASTMAN CREEK,WaDECO_WS13,Surface Water
COos_WS14,,,Fresh,LOST CREEK,WaDECO_WS14,Surface Water
COos_WS15,,,Fresh,MUDDY CREEK,WaDECO_WS15,Surface Water
COos_WS16,,,Fresh,OWL CREEK,WaDECO_WS16,Surface Water
COos_WS17,,,Fresh,GOLD CREEK,WaDECO_WS17,Surface Water
COos_WS18,,,Fresh,SAND ARROYO CREEK,WaDECO_WS18,Surface Water
COos_WS19,,,Fresh,BIJOU CREEK,WaDECO_WS19,Surface Water
COos_WS20,,,Fresh,COMANCHE CREEK,WaDECO_WS20,Surface Water
COos_WS21,,,Fresh,RUNNING CREEK,WaDECO_WS21,Surface Water
COos_WS22,,,Fresh,SAND CREEK,WaDECO_WS22,Surface Water
COos_WS23,,,Fresh,SIMPSON CREEK,WaDECO_WS23,Surface Water
COos_WS24,,,Fresh,HORSE CREEK,WaDECO_WS24,Surface Water
COos_WS25,,,Fresh,SPRING CREEK,WaDECO_WS25,Surface Water
COos_WS26,,,Fresh,LOWER DAWSON,WaDECO_WS26,Surface Water
COos_WS27,,,Fresh,UNDEFINED,WaDECO_WS27,Surface Water
COos_WS28,,,Fresh,YERBY DRAW,WaDECO_WS28,Surface Water
COos_WS29,,,Fresh,DEAD HORSE DRAW,WaDECO_WS29,Surface Water
COos_WS30,,,Fresh,PROSPECT CREEK,WaDECO_WS30,Surface Water
COos_WS31,,,Fresh,CACHE LA POUDRE RIVER,WaDECO_WS31,Surface Water
COos_WS32,,,Fresh,WILLOW CREEK,WaDECO_WS32,Surface Water
COos_WS33,,,Fresh,GROUNDWATER: SOUTH PLATTE RIVER,WaDECO_WS33,Groundwater
COos_WS34,,,Fresh,GROUNDWATER: DENVER,WaDECO_WS34,Groundwater
COos_WS35,,,Fresh,GROUNDWATER: LOWER DAWSON,WaDECO_WS35,Groundwater
COos_WS36,,,Fresh,WALNUT CREEK,WaDECO_WS36,Surface Water
COos_WS37,,,Fresh,FIRST CREEK,WaDECO_WS37,Surface Water
COos_WS38,,,Fresh,BIG DRY CREEK,WaDECO_WS38,Surface Water
COos_WS39,,,Fresh,LITTLE DRY CREEK,WaDECO_WS39,Surface Water
COos_WS40,,,Fresh,ASHCROFT DRAW,WaDECO_WS40,Surface Water
COos_WS41,,,Fresh,BEEBE DRAW,WaDECO_WS41,Surface Water
COos_WS42,,,Fresh,WOMAN CREEK,WaDECO_WS42,Surface Water
COos_WS43,,,Fresh,GRANGE HALL CREEK (AKA BREWERS GULCH),WaDECO_WS43,Surface Water
COos_WS44,,,Fresh,WEST TOLL GATE CREEK,WaDECO_WS44,Surface Water
COos_WS45,,,Fresh,CLEAR CREEK,WaDECO_WS45,Surface Water
COos_WS46,,,Fresh,BRANTNER GULCH,WaDECO_WS46,Surface Water
COos_WS47,,,Fresh,TODD CREEK,WaDECO_WS47,Surface Water
COos_WS48,,,Fresh,GROUNDWATER: LARAMIE FOX HILLS,WaDECO_WS48,Groundwater
COos_WS49,,,Fresh,GROUNDWATER: ARAPAHOE,WaDECO_WS49,Groundwater
COos_WS50,,,Fresh,GROUNDWATER: LOWER ARAPAHOE,WaDECO_WS50,Groundwater
COos_WS51,,,Fresh,GROUNDWATER: DAWSON,WaDECO_WS51,Groundwater
COos_WS52,,,Fresh,GROUNDWATER: CACHE LA POUDRE RIVER,WaDECO_WS52,Groundwater
COos_WS53,,,Fresh,MANHATTAN CREEK,WaDECO_WS53,Surface Water
COos_WS54,,,Fresh,NORTH LONE PINE CREEK,WaDECO_WS54,Surface Water
COos_WS55,,,Fresh,COAL CREEK,WaDECO_WS55,Surface Water
COos_WS56,,,Fresh,SHELL CREEK,WaDECO_WS56,Surface Water
