OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CODWR,SOUTH PLATTE RIVER COMPACT,Curlew Valley,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Clear Creek,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Promontory Point,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Yost,10/1/2013
CODWR,KANSAS VS. COLORADO,Goose Creek,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Lynn,10/1/2013
CODWR,KANSAS VS. COLORADO,Hansel Valley,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Park Valley,10/1/2013
CODWR,KANSAS VS. COLORADO,Grouse Creek,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Ogden Valley,10/1/2013
CODWR,KANSAS VS. COLORADO,Diamond Fork,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Rush Valley,10/1/2013
CODWR,KANSAS VS. COLORADO,Colorado River/Cisco,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Delta,10/1/2013
CODWR,KANSAS VS. COLORADO,Lower Green River,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Sevier Bridge,10/1/2013
CODWR,KANSAS VS. COLORADO,Lasal,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Emery,10/1/2013
CODWR,KANSAS VS. COLORADO,San Rafael River,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Lower Muddy Creek,10/1/2013
CODWR,KANSAS VS. COLORADO,East Fork Sevier,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Indian Creek,10/1/2013
CODWR,KANSAS VS. COLORADO,Panguitch,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Parowan,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Monticello,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Blanding,10/1/2013
CODWR,RIO GRANDE RIVER COMPACT,Lost Creek,10/1/2013
CODWR,COSTILLA CREEK COMPACT,Morgan,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Echo,10/1/2013
CODWR,RIO GRANDE RIVER COMPACT,Smith Fork,10/1/2013
CODWR,COSTILLA CREEK COMPACT,Crouse Creek,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",North GSL Desert,10/1/2013
CODWR,RIO GRANDE RIVER COMPACT,Henry's Fork,10/1/2013
CODWR,COSTILLA CREEK COMPACT,Flaming Gorge Reservoir,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Antelope Island,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Chalk Creek,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Sheep Creek Lake,10/1/2013
