SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S1,,COss_WS1,,Unspecified,WELD,4326,,201759.0,,,40.317282,-104.376767,,,POD,CORONA RANCH DITCH,WaDECO_S1,,DITCH,CO,
COss_S2,,COss_WS2,,Unspecified,MORGAN,4326,,182928.0,,,40.282006,-103.571526,,,POD,BEAVER CREEK DITCH,WaDECO_S2,,DITCH,CO,
COss_S3,,COss_WS3,,Unspecified,ELBERT,4326,,195017.0,,,39.491687,-103.731685,,,POD,MIDDLEMIST DITCH 2,WaDECO_S3,,DITCH,CO,
COss_S4,,COss_WS4,,Unspecified,ELBERT,4326,,184779.0,,,39.271083000000004,-104.332951,,,POD,MAGUIRE DITCH,WaDECO_S4,,DITCH,CO,
COss_S5,,COss_WS4,,Unspecified,ARAPAHOE,4326,,184779.0,,,39.630525,-104.24638399999999,,,POD,BIJOU DITCH,WaDECO_S5,,DITCH,CO,
COss_S6,,COss_WS5,,Unspecified,ELBERT,4326,,201758.0,,,39.253964,-104.52647900000001,,,POD,OAKS DITCH 2,WaDECO_S6,,DITCH,CO,
COss_S7,,COss_WS5,,Unspecified,ELBERT,4326,,201758.0,,,39.262421,-104.518876,,,POD,AUX DITCH 1,WaDECO_S7,,DITCH,CO,
COss_S8,,COss_WS5,,Unspecified,ELBERT,4326,,201758.0,,,39.300281,-104.49444799999999,,,POD,GEORGE WOOD DITCH,WaDECO_S8,,DITCH,CO,
COss_S9,,COss_WS5,,Unspecified,ELBERT,4326,,201758.0,,,39.313738,-104.48313399999999,,,POD,GLEASON DITCH,WaDECO_S9,,DITCH,CO,
COss_S10,,COss_WS6,,Unspecified,ELBERT,4326,,10003.0,,,39.343283,-104.468793,,,POD,WENDLING DITCH HGT 1,WaDECO_S10,,DITCH,CO,
COss_S11,,COss_WS5,,Unspecified,ELBERT,4326,,201758.0,,,39.398977,-104.478545,,,POD,FRED BACHMAN DITCH 2,WaDECO_S11,,DITCH,CO,
COss_S12,,COss_WS5,,Unspecified,ARAPAHOE,4326,,201758.0,,,39.595622999999996,-104.441819,,,POD,GIBSON DITCH 2,WaDECO_S12,,DITCH,CO,
COss_S13,,COss_WS5,,Unspecified,WELD,4326,,201758.0,,,40.02794,-104.256461,,,POD,WAHL EPPLE DITCH,WaDECO_S13,,DITCH,CO,
COss_S14,,COss_WS7,,Unspecified,WELD,4326,,180906.0,,,40.038835,-104.237442,,,POD,CAROLINE EPPLE DITCH 2,WaDECO_S14,,DITCH,CO,
COss_S15,,COss_WS8,,Unspecified,ELBERT,4326,,193208.0,,,39.203511,-104.54984300000001,,,POD,ALEX BRAZELTON DITCH,WaDECO_S15,,DITCH,CO,
COss_S16,,COss_WS9,,Unspecified,WELD,4326,,180747.0,,,40.064723,-104.596887,,,POD,IRELAND DITCH,WaDECO_S16,,DITCH,CO,
COss_S17,,COss_WS10,,Unspecified,WELD,4326,,169581.0,,,40.995259999999995,-104.347728,,,POD,BENTON DITCH,WaDECO_S17,,DITCH,CO,
COss_S18,,COss_WS10,,Unspecified,WELD,4326,,169581.0,,,40.942334,-104.264888,,,POD,CONSOLIDATED LARSON D,WaDECO_S18,,DITCH,CO,
COss_S19,,COss_WS10,,Unspecified,WELD,4326,,169581.0,,,40.479496999999995,-104.50675799999999,,,POD,CROW CR FARM IRR SYS D,WaDECO_S19,,DITCH,CO,
COss_S20,,COss_WS11,,Unspecified,WELD,4326,,171161.0,,,40.968322,-104.405349,,,POD,PORTER CREEK DITCH,WaDECO_S20,,DITCH,CO,
COss_S21,,COss_WS11,,Unspecified,WELD,4326,,171161.0,,,40.871464,-104.369535,,,POD,LITTLE CROW DITCH,WaDECO_S21,,DITCH,CO,
COss_S22,,COss_WS12,,Unspecified,WELD,4326,,180648.0,,,40.972287,-104.91951,,,POD,MANTEY DITCH 1,WaDECO_S22,,DITCH,CO,
COss_S23,,COss_WS12,,Unspecified,WELD,4326,,180648.0,,,40.966929,-104.923748,,,POD,MANTEY DITCH 2,WaDECO_S23,,DITCH,CO,
COss_S24,,COss_WS12,,Unspecified,WELD,4326,,180648.0,,,40.896084,-104.861443,,,POD,LONE TREE POULTRY RIGHT,WaDECO_S24,,DITCH,CO,
COss_S25,,COss_WS12,,Unspecified,WELD,4326,,180648.0,,,40.481673,-104.614756,,,POD,JOHN D CORNELL DITCH,WaDECO_S25,,DITCH,CO,
COss_S26,,COss_WS13,,Unspecified,WELD,4326,,171066.0,,,40.858009,-104.712119,,,POD,SLAYTON SUB DR FLD WTR,WaDECO_S26,,DITCH,CO,
COss_S27,,COss_WS1,,Unspecified,MORGAN,4326,,201759.0,,,40.381972999999995,-104.055791,,,POD,MYLANDER SPRINGS DITCH,WaDECO_S27,,DITCH,CO,
COss_S28,,COss_WS14,,Unspecified,WELD,4326,,180902.0,,,40.050684999999994,-104.497529,,,POD,WOODWARD RES D SYS,WaDECO_S28,,RESERVOIR,CO,
COss_S29,,COss_WS14,,Unspecified,WELD,4326,,180902.0,,,40.12390900000001,-104.413862,,,POD,ZIMBLELMAN DIVR PT 1,WaDECO_S29,,DITCH,CO,
COss_S30,,COss_WS14,,Unspecified,WELD,4326,,180902.0,,,40.123861,-104.395625,,,POD,ZIMBLELMAN DIVR PT 2,WaDECO_S30,,DITCH,CO,
COss_S31,,COss_WS14,,Unspecified,WELD,4326,,180902.0,,,40.133249,-104.43306700000001,,,POD,ZIMBLELMAN DIVR PT 3,WaDECO_S31,,DITCH,CO,
COss_S32,,COss_WS14,,Unspecified,WELD,4326,,180902.0,,,40.131237,-104.423506,,,POD,ZIMBLELMAN DITCH,WaDECO_S32,,DITCH,CO,
COss_S33,,COss_WS1,,Unspecified,MORGAN,4326,,201759.0,,,40.320246000000004,-103.67657700000001,,,POD,CAUGHLAN PUMPING PLANT,WaDECO_S33,,OTHER,CO,
COss_S34,,COss_WS15,,Unspecified,MORGAN,4326,,180913.0,,,40.072838,-104.001003,,,POD,D T DITCH 2,WaDECO_S34,,DITCH,CO,
COss_S35,,COss_WS1,,Unspecified,WELD,4326,,201759.0,,,40.319072999999996,-104.56325799999999,,,POD,DAVISSON SUMP PUMP 1,WaDECO_S35,,SEEP,CO,
COss_S36,,COss_WS5,,Unspecified,ARAPAHOE,4326,,201758.0,,,39.62008400000001,-104.437914,,,POD,EGELHOFF GROVE DITCH,WaDECO_S36,,DITCH,CO,
COss_S37,,COss_WS1,,Unspecified,WELD,4326,,201759.0,,,40.429632,-104.546286,,,POD,FRENCH WASTE WATER DITCH,WaDECO_S37,,DITCH,CO,
COss_S38,,COss_WS10,,Unspecified,WELD,4326,,169581.0,,,40.449505,-104.50873399999999,,,POD,FUQUA PUMPING SYSTEM,WaDECO_S38,,PUMP,CO,
COss_S39,,COss_WS16,,Unspecified,WELD,4326,,180483.0,,,40.560874,-104.646821,,,POD,GALLUP TILE,WaDECO_S39,,OTHER,CO,
COss_S40,,COss_WS17,,Unspecified,ELBERT,4326,,185113.0,,,39.357812,-104.616465,,,POD,REYNOLDS PUMP PLANT,WaDECO_S40,,PUMP,CO,
COss_S41,,COss_WS18,,Unspecified,MORGAN,4326,,182956.0,,,40.093352,-104.00681,,,POD,GLENN BRANDIS FL W SEEP D,WaDECO_S41,,DITCH,CO,
COss_S42,,COss_WS14,,Unspecified,WELD,4326,,180902.0,,,40.076689,-104.477611,,,POD,SHEELEY DITCH,WaDECO_S42,,DITCH,CO,
COss_S43,,COss_WS14,,Unspecified,WELD,4326,,180902.0,,,40.12217800000001,-104.435305,,,POD,KAUFFMAN DIV STRUCTURE 1,WaDECO_S43,,DITCH,CO,
COss_S44,,COss_WS4,,Unspecified,EL PASO,4326,,184779.0,,,39.129319,-104.45904300000001,,,POD,KENT KUCERA IRR SYSTEM,WaDECO_S44,,OTHER,CO,
COss_S45,,COss_WS19,,Unspecified,MORGAN,4326,,180770.0,,,40.284046999999994,-103.871135,,,POD,CARPENTER BIJOU CR PUMP,WaDECO_S45,,PUMP,CO,
COss_S46,,COss_WS10,,Unspecified,WELD,4326,,169581.0,,,40.493755,-104.491584,,,POD,ALLES SEEPAGE SYS,WaDECO_S46,,RESERVOIR,CO,
COss_S47,,COss_WS20,,Unspecified,ADAMS,4326,,180905.0,,,39.827186,-104.313484,,,POD,ELL TRIANGLE DITCH,WaDECO_S47,,DITCH,CO,
COss_S48,,COss_WS9,,Unspecified,WELD,4326,,180747.0,,,40.096311,-104.57931500000001,,,POD,FLANIGAN PUMP & PL,WaDECO_S48,,PIPELINE,CO,
COss_S49,,COss_WS21,,Unspecified,ELBERT,4326,,185108.0,,,39.412457,-104.604201,,,POD,IDYL WEISS DITCH,WaDECO_S49,,DITCH,CO,
COss_S50,,COss_WS12,,Unspecified,WELD,4326,,180648.0,,,40.487327,-104.605508,,,POD,LONE TREE DITCH LATERAL,WaDECO_S50,,DITCH,CO,
COss_S51,,COss_WS1,,Unspecified,MORGAN,4326,,201759.0,,,40.373986,-104.04212,,,POD,LUNDOCK DRAINAGE SYS,WaDECO_S51,,PUMP,CO,
COss_S52,,COss_WS1,,Unspecified,WELD,4326,,201759.0,,,40.435548,-104.540964,,,POD,MILLAGE RES DITCH,WaDECO_S52,,DITCH,CO,
COss_S53,,COss_WS12,,Unspecified,WELD,4326,,180648.0,,,40.5287,-104.657522,,,POD,MIMMACK DITCH,WaDECO_S53,,DITCH,CO,
COss_S54,,COss_WS22,,Unspecified,WELD,4326,,180817.0,,,40.118527,-104.37853299999999,,,POD,PLUSS KAUFFMAN DIVR 1,WaDECO_S54,,DITCH,CO,
COss_S55,,COss_WS22,,Unspecified,WELD,4326,,180817.0,,,40.107685,-104.38329,,,POD,PLUSS KAUFFMAN DIVR 2,WaDECO_S55,,DITCH,CO,
COss_S56,,COss_WS23,,Unspecified,WELD,4326,,171162.0,,,40.977246,-104.51638100000001,,,POD,SIMPSON CREEK R OUTLET,WaDECO_S56,,DITCH,CO,
COss_S57,,COss_WS24,,Unspecified,WELD,4326,,180891.0,,,40.032436,-104.585239,,,POD,STEVENS DIVR STRUCTURE 1,WaDECO_S57,,DITCH,CO,
COss_S58,,COss_WS1,,Unspecified,WELD,4326,,201759.0,,,40.292271,-104.19502800000001,,,POD,WARNER SLOUGH,WaDECO_S58,,OTHER,CO,
COss_S59,,COss_WS25,,Unspecified,WELD,4326,,180480.0,,,40.597174,-104.70581899999999,,,POD,WIDMAIER SEEPAGE DITCH,WaDECO_S59,,DITCH,CO,
COss_S60,,COss_WS9,,Unspecified,WELD,4326,,180747.0,,,40.045966,-104.58654399999999,,,POD,SAMPSON DITCH 1,WaDECO_S60,,DITCH,CO,
COss_S61,,COss_WS1,,Unspecified,ELBERT,4326,,201759.0,,,39.258106,-104.584682,,,POD,BRINKWORTH SPRING 1,WaDECO_S61,,SPRING,CO,
COss_S62,,COss_WS1,,Unspecified,ELBERT,4326,,201759.0,,,39.25914,-104.584108,,,POD,BRINKWORTH SPRING 3,WaDECO_S62,,SPRING,CO,
COss_S63,,COss_WS1,,Unspecified,WELD,4326,,201759.0,,,40.524076,-104.692042,,,POD,JODI SPG & SEPG PUMP,WaDECO_S63,,SPRING,CO,
COss_S64,,COss_WS1,,Unspecified,WELD,4326,,201759.0,,,40.524797,-104.692145,,,POD,WENDY SPG & SEPG PUMP,WaDECO_S64,,SPRING,CO,
COss_S65,,COss_WS26,,Unspecified,ELBERT,4326,,,,,39.363122,-104.57769300000001,,,POD,FOREST PARK RECHARGE AREA,WaDECO_S65,,RECHARGE AREA,CO,
COss_S66,,COss_WS1,,Unspecified,MORGAN,4326,,201759.0,,,40.164276,-103.810485,,,POD,BIJOU RECHARGE POND 2,WaDECO_S66,,RECHARGE AREA,CO,
COss_S67,,COss_WS1,,Unspecified,WASHINGTON,4326,,201759.0,,,40.393072,-103.45492800000001,,,POD,LOWR P & B ESCHEN RCHRG BASIN 1,WaDECO_S67,,RECHARGE AREA,CO,
COss_S68,,COss_WS1,,Unspecified,MORGAN,4326,,201759.0,,,40.214563,-103.67590899999999,,,POD,FT MORGAN BOLINGER RCHRG A,WaDECO_S68,,RECHARGE AREA,CO,
COss_S69,,COss_WS1,,Unspecified,MORGAN,4326,,201759.0,,,40.318566,-104.04361,,,POD,BIJOU ROTHE POND 1 RECHARGE AREA,WaDECO_S69,,RECHARGE AREA,CO,
