WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
COss_WS1,,,Fresh,MIDDLEMIST CREEK,WaDECO_WS1,Surface Water
COss_WS2,,,Fresh,WEST BIJOU CREEK,WaDECO_WS2,Surface Water
COss_WS3,,,Fresh,KIOWA CREEK,WaDECO_WS3,Surface Water
COss_WS4,,,Fresh,MULE CREEK,WaDECO_WS4,Surface Water
COss_WS5,,,Fresh,WEST KIOWA CREEK,WaDECO_WS5,Surface Water
COss_WS6,,,Fresh,BOX ELDER CREEK,WaDECO_WS6,Surface Water
COss_WS7,,,Fresh,CROW CREEK,WaDECO_WS7,Surface Water
COss_WS8,,,Fresh,LITTLE CROW CREEK,WaDECO_WS8,Surface Water
COss_WS9,,,Fresh,LONE TREE CREEK,WaDECO_WS9,Surface Water
COss_WS10,,,Fresh,EASTMAN CREEK,WaDECO_WS10,Surface Water
COss_WS11,,,Fresh,SOUTH PLATTE RIVER,WaDECO_WS11,Surface Water
COss_WS12,,,Fresh,LOST CREEK,WaDECO_WS12,Surface Water
COss_WS13,,,Fresh,MUDDY CREEK,WaDECO_WS13,Surface Water
COss_WS14,,,Fresh,OWL CREEK,WaDECO_WS14,Surface Water
COss_WS15,,,Fresh,GOLD CREEK,WaDECO_WS15,Surface Water
COss_WS16,,,Fresh,SAND ARROYO CREEK,WaDECO_WS16,Surface Water
COss_WS17,,,Fresh,COMANCHE CREEK,WaDECO_WS17,Surface Water
COss_WS18,,,Fresh,RUNNING CREEK,WaDECO_WS18,Surface Water
COss_WS19,,,Fresh,SAND CREEK,WaDECO_WS19,Surface Water
COss_WS20,,,Fresh,HORSE CREEK,WaDECO_WS20,Surface Water
COss_WS21,,,Fresh,SPRING CREEK,WaDECO_WS21,Surface Water
COss_WS22,,,Fresh,LOWER DAWSON,WaDECO_WS22,Surface Water
COss_WS23,,,Fresh,UNDEFINED,WaDECO_WS23,Surface Water
COss_WS24,,,Fresh,YERBY DRAW,WaDECO_WS24,Surface Water
COss_WS25,,,Fresh,BEAVER CREEK,WaDECO_WS25,Surface Water
COss_WS26,,,Fresh,DEAD HORSE DRAW,WaDECO_WS26,Surface Water
COss_WS27,,,Fresh,SIMPSON CREEK,WaDECO_WS27,Surface Water
COss_WS28,,,Fresh,CACHE LA POUDRE RIVER,WaDECO_WS28,Surface Water
COss_WS29,,,Fresh,WILLOW CREEK,WaDECO_WS29,Surface Water
COss_WS30,,,Fresh,GROUNDWATER: SOUTH PLATTE RIVER,WaDECO_WS30,Groundwater
COss_WS31,,,Fresh,GROUNDWATER: DENVER,WaDECO_WS31,Groundwater
COss_WS32,,,Fresh,GROUNDWATER: LOWER DAWSON,WaDECO_WS32,Groundwater
COss_WS33,,,Fresh,WALNUT CREEK,WaDECO_WS33,Surface Water
COss_WS34,,,Fresh,LITTLE DRY CREEK,WaDECO_WS34,Surface Water
COss_WS35,,,Fresh,BIG DRY CREEK,WaDECO_WS35,Surface Water
COss_WS36,,,Fresh,WOMAN CREEK,WaDECO_WS36,Surface Water
COss_WS37,,,Fresh,GRANGE HALL CREEK (AKA BREWERS GULCH),WaDECO_WS37,Surface Water
COss_WS38,,,Fresh,WEST TOLL GATE CREEK,WaDECO_WS38,Surface Water
COss_WS39,,,Fresh,BEEBE DRAW,WaDECO_WS39,Surface Water
COss_WS40,,,Fresh,TODD CREEK,WaDECO_WS40,Surface Water
COss_WS41,,,Fresh,GROUNDWATER: ARAPAHOE,WaDECO_WS41,Groundwater
COss_WS42,,,Fresh,GROUNDWATER: LARAMIE FOX HILLS,WaDECO_WS42,Groundwater
COss_WS43,,,Fresh,GROUNDWATER: DAWSON,WaDECO_WS43,Groundwater
COss_WS44,,,Fresh,GROUNDWATER: CACHE LA POUDRE RIVER,WaDECO_WS44,Groundwater
COss_WS45,,,Fresh,MANHATTAN CREEK,WaDECO_WS45,Surface Water
COss_WS46,,,Fresh,MEADOW HOLLOW CREEK,WaDECO_WS46,Surface Water
COss_WS47,,,Fresh,GROUNDWATER: BIG THOMPSON RIVER,WaDECO_WS47,Groundwater
COss_WS48,,,Fresh,INN BROOK,WaDECO_WS48,Surface Water
COss_WS49,,,Fresh,NORTH SAINT VRAIN CREEK,WaDECO_WS49,Surface Water
COss_WS50,,,Fresh,LEFT HAND CREEK,WaDECO_WS50,Surface Water
COss_WS51,,,Fresh,GROUNDWATER: SAINT VRAIN CREEK,WaDECO_WS51,Groundwater
COss_WS52,,,Fresh,ROCK CREEK,WaDECO_WS52,Surface Water
COss_WS53,,,Fresh,SPRING GULCH,WaDECO_WS53,Surface Water
COss_WS54,,,Fresh,SAINT VRAIN CREEK,WaDECO_WS54,Surface Water
COss_WS55,,,Fresh,KITELEY GULCH,WaDECO_WS55,Surface Water
COss_WS56,,,Fresh,COAL CREEK,WaDECO_WS56,Surface Water
COss_WS57,,,Fresh,GROUNDWATER: BOULDER CREEK,WaDECO_WS57,Groundwater
COss_WS58,,,Fresh,SOUTH BOULDER CREEK,WaDECO_WS58,Surface Water
COss_WS59,,,Fresh,BOULDER CREEK,WaDECO_WS59,Surface Water
COss_WS60,,,Fresh,FOURMILE CREEK,WaDECO_WS60,Surface Water
COss_WS61,,,Fresh,NORTH BOULDER CREEK,WaDECO_WS61,Surface Water
COss_WS62,,,Fresh,JASPER CREEK,WaDECO_WS62,Surface Water
COss_WS63,,,Fresh,NORTH CLEAR CREEK,WaDECO_WS63,Surface Water
COss_WS64,,,Fresh,FALL RIVER,WaDECO_WS64,Surface Water
COss_WS65,,,Fresh,LOCH LOMOND CREEK,WaDECO_WS65,Surface Water
