SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S1,,COss_WS1,,Unspecified,ELBERT,4326,,195017.0,,,39.491687,-103.731685,,,POD,MIDDLEMIST DITCH 2,WaDECO_S1,,DITCH,CO,
COss_S2,,COss_WS4,,Unspecified,WELD,4326,,180906.0,,,40.038835,-104.237442,,,POD,CAROLINE EPPLE DITCH 2,WaDECO_S10,,DITCH,CO,
COss_S3,,COss_WS11,,Unspecified,WELD,4326,,201759.0,,,40.334251,-104.658766,,,POD,REXFORD DITCH,WaDECO_S100,,DITCH,CO,
COss_S4,,COss_WS147,,Unspecified,PARK,4326,,78956.0,,,38.841109,-105.34700500000001,,,POD,STONE STOCK WELL NO 2,WaDECO_S1000,,WELL,CO,
COss_S5,,COss_WS147,,Unspecified,PARK,4326,,78956.0,,,38.841029,-105.343594,,,POD,STONE STOCK WELL NO 3,WaDECO_S1001,,WELL,CO,
COss_S6,,COss_WS151,,Unspecified,CUSTER,4326,,78956.0,,,38.048706,-105.499306,,,POD,HUMBOLDT POND E,WaDECO_S1004,,RESERVOIR,CO,
COss_S7,,COss_WS151,,Unspecified,CUSTER,4326,,78956.0,,,38.17915,-105.52723200000001,,,POD,AMELIA PONDS,WaDECO_S1005,,RESERVOIR,CO,
COss_S8,,COss_WS156,,Unspecified,CUSTER,4326,,192110.0,,,38.184783,-105.531052,,,POD,BECKWITH HABITAT POND A,WaDECO_S1006,,RESERVOIR,CO,
COss_S9,,COss_WS156,,Unspecified,CUSTER,4326,,192110.0,,,38.184965999999996,-105.53058500000002,,,POD,BECKWITH HABITAT POND B,WaDECO_S1007,,RESERVOIR,CO,
COss_S10,,COss_WS156,,Unspecified,CUSTER,4326,,192110.0,,,38.175759,-105.525586,,,POD,BECKWITH HABITAT POND C,WaDECO_S1008,,RESERVOIR,CO,
COss_S11,,COss_WS156,,Unspecified,CUSTER,4326,,192110.0,,,38.174807,-105.528993,,,POD,BECKWITH HABITAT POND D,WaDECO_S1009,,RESERVOIR,CO,
COss_S12,,COss_WS11,,Unspecified,WELD,4326,,201759.0,,,40.305581,-104.810914,,,POD,KNUTSON WEST DITCH,WaDECO_S101,,DITCH,CO,
COss_S13,,COss_WS156,,Unspecified,CUSTER,4326,,192110.0,,,38.18619,-105.53283200000001,,,POD,BECKWITH HABITAT POND E,WaDECO_S1010,,RESERVOIR,CO,
COss_S14,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.205706,-105.55146599999999,,,POD,HOOK WELL NO 2,WaDECO_S1012,,WELL,CO,
COss_S15,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.205595,-105.55226499999999,,,POD,HOOK WELL NO 3,WaDECO_S1013,,WELL,CO,
COss_S16,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.20395,-105.564439,,,POD,HOOK WELL NO 4,WaDECO_S1014,,WELL,CO,
COss_S17,,COss_WS157,,Unspecified,FREMONT,4326,,191787.0,,,38.331427000000005,-105.59971599999999,,,POD,EDEN WEST RANCH WELL NO.1,WaDECO_S1015,,WELL,CO,
COss_S18,,COss_WS157,,Unspecified,FREMONT,4326,,191787.0,,,38.33104,-105.601372,,,POD,EDEN WEST RANCH WELL NO. 2,WaDECO_S1016,,WELL,CO,
COss_S19,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.146269000000004,-105.490407,,,POD,WELL NO 15001R,WaDECO_S1017,,WELL,CO,
COss_S20,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.194165999999996,-105.399014,,,POD,BARNES SPRING SUMP NO 1,WaDECO_S1018,,WELL,CO,
COss_S21,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.192815,-105.39868700000001,,,POD,BARNES SPRING SUMP NO 2,WaDECO_S1019,,WELL,CO,
COss_S22,,COss_WS33,,Unspecified,JEFFERSON,4326,,181231.0,,,39.884859999999996,-105.076136,,,POD,WALNUT CR DIVR,WaDECO_S102,,DITCH,CO,
COss_S23,,COss_WS151,,Unspecified,CUSTER,4326,,78956.0,,,38.191032,-105.39291000000001,,,POD,BARNES SPRING SUMP NO 3,WaDECO_S1020,,SPRING,CO,
COss_S24,,COss_WS151,,Unspecified,CUSTER,4326,,78956.0,,,38.196705,-105.402294,,,POD,BARNES SPRING SUMP NO 4,WaDECO_S1021,,SPRING,CO,
COss_S25,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.050470000000004,-105.297182,,,POD,EASTCLIFFE AP WG,WaDECO_S1022,,WELL GROUP,CO,
COss_S26,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.150706,-105.468876,,,POD,BLUMENAU #3 SUB AP WG,WaDECO_S1023,,WELL GROUP,CO,
COss_S27,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.150706,-105.468876,,,POD,BLUMENAU AP WG,WaDECO_S1024,,WELL GROUP,CO,
COss_S28,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.150706,-105.468876,,,POD,CUERNO VERDE PINES AP WG,WaDECO_S1025,,WELL GROUP,CO,
COss_S29,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.148967999999996,-105.47121200000001,,,POD,SAINT ANDREWS DOM AP WG,WaDECO_S1026,,WELL GROUP,CO,
COss_S30,,COss_WS147,,Unspecified,FREMONT,4326,,78956.0,,,38.301132,-105.66095,,,POD,WELL NO 9508F,WaDECO_S1027,,WELL,CO,
COss_S31,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.130683000000005,-105.522547,,,POD,WELL NO 4254F,WaDECO_S1028,,WELL,CO,
COss_S32,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.043271999999995,-105.307101,,,POD,SILVER CLIFFE RANCH AP WG,WaDECO_S1029,,WELL GROUP,CO,
COss_S33,,COss_WS11,,Unspecified,WELD,4326,,201759.0,,,40.075902,-104.81661700000001,,,POD,ALLSEBROOK PUMP PLANT,WaDECO_S103,,PUMP,CO,
COss_S34,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.148967999999996,-105.47121200000001,,,POD,CRISTO VISTA SUBD AP WG,WaDECO_S1030,,WELL GROUP,CO,
COss_S35,,COss_WS147,,Unspecified,CUSTER,4326,,78956.0,,,38.148967999999996,-105.47121200000001,,,POD,RANGE VIEW PARK AP WG,WaDECO_S1031,,WELL GROUP,CO,
