WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
COss_WS1,,,Fresh,SOUTH PLATTE RIVER,WaDECO_WS1,Unspecified
COss_WS2,,,Fresh,BEAVER CREEK,WaDECO_WS2,Unspecified
COss_WS3,,,Fresh,MIDDLEMIST CREEK,WaDECO_WS3,Unspecified
COss_WS4,,,Fresh,WEST BIJOU CREEK,WaDECO_WS4,Unspecified
COss_WS5,,,Fresh,KIOWA CREEK,WaDECO_WS5,Unspecified
COss_WS6,,,Fresh,KILLINS SPRING RUN,WaDECO_WS6,Unspecified
COss_WS7,,,Fresh,MULE CREEK,WaDECO_WS7,Unspecified
COss_WS8,,,Fresh,WEST KIOWA CREEK,WaDECO_WS8,Unspecified
COss_WS9,,,Fresh,BOX ELDER CREEK,WaDECO_WS9,Unspecified
COss_WS10,,,Fresh,CROW CREEK,WaDECO_WS10,Unspecified
COss_WS11,,,Fresh,LITTLE CROW CREEK,WaDECO_WS11,Unspecified
COss_WS12,,,Fresh,LONE TREE CREEK,WaDECO_WS12,Unspecified
COss_WS13,,,Fresh,EASTMAN CREEK,WaDECO_WS13,Unspecified
COss_WS14,,,Fresh,LOST CREEK,WaDECO_WS14,Unspecified
COss_WS15,,,Fresh,MUDDY CREEK,WaDECO_WS15,Unspecified
COss_WS16,,,Fresh,OWL CREEK,WaDECO_WS16,Unspecified
COss_WS17,,,Fresh,GOLD CREEK,WaDECO_WS17,Unspecified
COss_WS18,,,Fresh,SAND ARROYO CREEK,WaDECO_WS18,Unspecified
COss_WS19,,,Fresh,BIJOU CREEK,WaDECO_WS19,Unspecified
COss_WS20,,,Fresh,COMANCHE CREEK,WaDECO_WS20,Unspecified
COss_WS21,,,Fresh,RUNNING CREEK,WaDECO_WS21,Unspecified
COss_WS22,,,Fresh,SAND CREEK,WaDECO_WS22,Unspecified
COss_WS23,,,Fresh,SIMPSON CREEK,WaDECO_WS23,Unspecified
COss_WS24,,,Fresh,HORSE CREEK,WaDECO_WS24,Unspecified
COss_WS25,,,Fresh,SPRING CREEK,WaDECO_WS25,Unspecified
COss_WS26,,,Fresh,LOWER DAWSON,WaDECO_WS26,Unspecified
COss_WS27,,,Fresh,UNDEFINED,WaDECO_WS27,Unspecified
COss_WS28,,,Fresh,YERBY DRAW,WaDECO_WS28,Unspecified
