WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
COwr_WS1,,,Unspecified,COAL CREEK,188598.0,Surface Water
COwr_WS2,,,Unspecified,ONION CREEK,188246.0,Surface Water
COwr_WS3,,,Unspecified,MCKENZIE CREEK,188237.0,Surface Water
COwr_WS4,,,Unspecified,FISHER CREEK,188396.0,Surface Water
COwr_WS5,,,Unspecified,HORSEFLY CREEK,188137.0,Surface Water
COwr_WS6,,,Unspecified,KIMBALL CREEK,174180.0,Surface Water
COwr_WS7,,,Unspecified,UNCOMPAHGRE RIVER,185397.0,Surface Water
COwr_WS8,,,Unspecified,COW CREEK,188243.0,Surface Water
COwr_WS9,,,Unspecified,BRUSH CREEK,172043.0,Surface Water
COwr_WS10,,,Unspecified,EAST MIDDLE FORK PARACHUTE CREEK,172258.0,Surface Water
COwr_WS11,,,Unspecified,COTTONWOOD CREEK,188406.0,Surface Water
COwr_WS12,,,Unspecified,MERLING CREEK,680003.0,Surface Water
COwr_WS13,,,Unspecified,HAPPY CANYON CREEK,188116.0,Surface Water
COwr_WS14,,,Unspecified,ROAN CREEK,174229.0,Surface Water
COwr_WS15,,,Unspecified,DRY CREEK,188427.0,Surface Water
COwr_WS16,,,Unspecified,SPRING CREEK,186822.0,Surface Water
COwr_WS17,,,Unspecified,DRY FORK ROAN CREEK,174222.0,Surface Water
COwr_WS18,,,Unspecified,DISAPPOINTMENT CREEK,176313.0,Surface Water
COwr_WS19,,,Unspecified,CANYON CREEK,187259.0,Surface Water
COwr_WS20,,,Unspecified,CORBETT CREEK,188618.0,Surface Water
COwr_WS21,,,Unspecified,LEWIS CREEK,187266.0,Surface Water
COwr_WS22,,,Unspecified,CLEAR CREEK,174213.0,Surface Water
COwr_WS23,,,Unspecified,CUDDIGAN GULCH,188415.0,Surface Water
COwr_WS24,,,Unspecified,BROMAN CANYON,188238.0,Surface Water
