,AllocationAmount,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationLegalStatusCV,AllocationMaximum,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDOI,DataPublicationDate,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,ReasonRemoved,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,index
0,0.78,02/28/1879,,,Unknown,,,,,Absolute,0.0,10651.0-1-C-2700508,CURBY D 1,02/28/1879,,12/31,01/01,,IRRIGATION,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_958,692.0
1,3.94,04/01/1880,,,Unknown,,,,,Absolute,0.0,11049.0-0-C-500955,DICKENS PRIVATE DITCH 2,04/01/1880,,12/31,01/01,,IRRIGATION,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_191,1178.0
2,1.05,07/30/1880,,,Unknown,,,,,Absolute,0.0,11169.0-0-C-1301012,MCCLURKIN DITCH NO 2,07/30/1880,,12/31,01/01,,IRRIGATION,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_600,1518.0
3,0.0,12/17/1881,,,Unknown,,,,,Conditional Absolute,0.0,11674.0-0-C-4003139,MARCOTT CREEK EMERGENCY INLET,12/17/1881,,12/31,01/01,,Unknown,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_1334,2527.0
4,0.0,12/17/1881,,,Unknown,,,,,Conditional Absolute,0.0,11674.0-0-C-4003140,SURFACE CREEK INLET,12/17/1881,,12/31,01/01,,Unknown,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_1334,2528.0
5,1.7,12/27/1881,,,Unknown,,,,,Absolute,0.0,12155.11684-0-C-1000695,DOUGLAS SPRING DITCH 1,12/27/1881,,12/31,01/01,,Unknown,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_388,3390.0
6,1.95,12/29/1881,,,Unknown,,,,,Absolute,0.0,12155.11686-0-C-1000656,DOUGLAS DITCH NO 1,12/29/1881,,12/31,01/01,,Unknown,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_406,3391.0
7,0.55,12/30/1881,,,Unknown,,,,,Absolute,0.0,12155.11687-0-C-1000696,DOUGLAS SPRING DITCH 2,12/30/1881,,12/31,01/01,,Unknown,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_388,3392.0
8,1.0,05/10/1883,,,Unknown,,,,,Absolute,0.0,12183.0-0-C-2500611,KAUFMAN D,05/10/1883,,12/31,01/01,,IRRIGATION,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_923,3486.0
9,0.184,05/31/1883,,,Unknown,,,,,Absolute,0.0,12204.0-0-C-1207008,GLEN VISTA AUG PLAN,05/31/1883,,12/31,01/01,,AUGMENTATION,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_425,3568.0
10,0.0,08/09/1889,,,Unknown,,,,,Conditional Absolute,0.0,14466.0-0-C-5805209,MT WERNER YAMPA RIVER MUNICIPAL WELL A,08/09/1889,,12/31,01/01,,Unknown,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_1800,8790.0
11,0.0,08/09/1889,,,Unknown,,,,,Conditional Absolute,0.0,14466.0-0-C-5805210,MT WERNER YAMPA RIVER MUNICIPAL WELL B,08/09/1889,,12/31,01/01,,Unknown,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_1800,8791.0
12,0.0,08/09/1889,,,Unknown,,,,,Conditional Absolute,0.0,14466.0-0-C-5805211,MT WERNER YAMPA RIVER MUNICIPAL WELL C,08/09/1889,,12/31,01/01,,Unknown,,,,,03/02/2020,,,,,CODWR_Diversion Tracking,CODWR,,,Irrigation,Bad SiteUUID,,CODWR_Allocation All,,CO_1800,8792.0
