WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
CO_1,,,Unspecified,SOUTH PLATTE RIVER,201759.0,Surface Water
CO_2,,,Unspecified,LONGS GULCH,110009.0,Surface Water
CO_3,,,Unspecified,GROUNDWATER: PASS CREEK,190930.0,groundwater/well
CO_4,,,Unspecified,RIO GRANDE,1385432.0,Surface Water
CO_5,,,Unspecified,BEAVER CREEK,182928.0,Surface Water
CO_6,,,Unspecified,MIDDLEMIST CREEK,195017.0,Surface Water
CO_7,,,Unspecified,SAND ARROYO CREEK,182956.0,Surface Water
CO_8,,,Unspecified,BIJOU CREEK,180770.0,Surface Water
CO_9,,,Unspecified,MUDDY CREEK,180913.0,Surface Water
CO_10,,,Unspecified,EAST BIJOU CREEK,184780.0,Surface Water
CO_11,,,Unspecified,AGATE CREEK,195074.0,Surface Water
CO_12,,,Unspecified,WEST BIJOU CREEK,184779.0,Surface Water
CO_13,,,Unspecified,EAST GULCH,185061.0,Surface Water
CO_14,,,Unspecified,KIOWA CREEK,201758.0,Surface Water
CO_15,,,Unspecified,KILLINS SPRING RUN,10003.0,Surface Water
CO_16,,,Unspecified,MULE CREEK,180906.0,Surface Water
CO_17,,,Unspecified,WEST KIOWA CREEK,193208.0,Surface Water
CO_18,,,Unspecified,WILDCAT CREEK,182914.0,Surface Water
CO_19,,,Unspecified,LOST CREEK,180902.0,Surface Water
CO_20,,,Unspecified,RUNNING CREEK,185108.0,Surface Water
CO_21,,,Unspecified,BOX ELDER CREEK,180747.0,reservoir
CO_22,,,Unspecified,CROW CREEK,169581.0,Surface Water
CO_23,,,Unspecified,SIMPSON CREEK,171162.0,Surface Water
CO_24,,,Unspecified,LITTLE CROW CREEK,171161.0,Surface Water
CO_25,,,Unspecified,YERBY DRAW,10002.0,Surface Water
CO_26,,,Unspecified,LONE TREE CREEK,180648.0,Surface Water
CO_27,,,Unspecified,OWL CREEK,180483.0,Surface Water
CO_28,,,Unspecified,SPRING CREEK,180480.0,Surface Water
CO_29,,,Unspecified,EASTMAN CREEK,171066.0,Surface Water
CO_30,,,Unspecified,SAND CREEK,180817.0,Surface Water
CO_31,,,Unspecified,GOLD CREEK,185113.0,Surface Water
CO_32,,,Unspecified,PLUM BUSH CREEK,183050.0,Surface Water
CO_33,,,Unspecified,WILLOW CREEK,180552.0,Surface Water
CO_34,,,Unspecified,VEGA CREEK,183053.0,Surface Water
CO_35,,,Unspecified,GROUNDWATER: SOUTH PLATTE RIVER,201759.0,groundwater/well
CO_36,,,Unspecified,COMANCHE CREEK,180905.0,Surface Water
CO_37,,,Unspecified,GROUNDWATER: PLUM BUSH CREEK,183050.0,groundwater/well
CO_38,,,Unspecified,ANTELOPE DRAW,182866.0,Surface Water
CO_39,,,Unspecified,GEARY CREEK,180491.0,Surface Water
CO_40,,,Unspecified,HORSE CREEK,180891.0,Surface Water
CO_41,,,Unspecified,TWENTYTWO SLOUGH,182876.0,Surface Water
CO_42,,,Unspecified,GROUNDWATER: QUATERNARY ALLUVIUM,,groundwater/well
CO_43,,,Unspecified,COAL CREEK,180489.0,reservoir
CO_44,,,Unspecified,WOLF CREEK,195072.0,reservoir
CO_45,,,Unspecified,BADGER CREEK,182916.0,reservoir
CO_46,,,Unspecified,ANTELOPE CREEK,180822.0,reservoir
CO_47,,,Unspecified,WILLOW GULCH,185118.0,reservoir
CO_48,,,Unspecified,ROCK CREEK,180821.0,reservoir
CO_49,,,Unspecified,DEAD HORSE DRAW,201760.0,reservoir
CO_50,,,Unspecified,PROSPECT CREEK,10004.0,reservoir
CO_51,,,Unspecified,DRY CREEK,185114.0,reservoir
CO_52,,,Unspecified,CACHE LA POUDRE RIVER,205018.0,reservoir
CO_53,,,Unspecified,LONG DRAW,10001.0,reservoir
CO_54,,,Unspecified,EAST LOST CREEK,180816.0,reservoir
CO_55,,,Unspecified,EATON DRAW,180550.0,reservoir
CO_56,,,Unspecified,GROUNDWATER: LOST CREEK,,groundwater/well
CO_57,,,Unspecified,GROUNDWATER: UPPER CROW CREEK,,groundwater/well
CO_58,,,Unspecified,GROUNDWATER: UNCONFINED SAN LUIS VALLEY,,groundwater/well
CO_59,,,Unspecified,GROUNDWATER: CONFINED SAN LUIS VALLEY,,groundwater/well
CO_60,,,Unspecified,GROUNDWATER: LARAMIE FOX HILLS,,groundwater/well
CO_61,,,Unspecified,GROUNDWATER: ARAPAHOE,,groundwater/well
CO_62,,,Unspecified,GROUNDWATER: DENVER,,groundwater/well
CO_63,,,Unspecified,GROUNDWATER: NORTHERN HIGH PLAINS,,groundwater/well
CO_64,,,Unspecified,GROUNDWATER: LOWER ARAPAHOE,,groundwater/well
CO_65,,,Unspecified,GROUNDWATER: SYDNEY DRAW,,groundwater/well
CO_66,,,Unspecified,GROUNDWATER: LOWER DAWSON,,groundwater/well
CO_67,,,Unspecified,GROUNDWATER: DAWSON,,groundwater/well
CO_68,,,Unspecified,GROUNDWATER: RIO GRANDE,1385432.0,groundwater/well
CO_69,,,Unspecified,GROUNDWATER: KIOWA-BIJOU,,groundwater/well
CO_70,,,Unspecified,GROUNDWATER: CACHE LA POUDRE RIVER,205018.0,groundwater/well
CO_71,,,Unspecified,GROUNDWATER: CAMP CREEK,,groundwater/well
CO_72,,,Unspecified,BEEBE DRAW,20004.0,reservoir
CO_73,,,Unspecified,BIG DRY CREEK,181264.0,Surface Water
CO_74,,,Unspecified,WALNUT CREEK,181231.0,Surface Water
CO_75,,,Unspecified,HOFFMAN GULCH,20002.0,Surface Water
CO_76,,,Unspecified,MURPHY CREEK,184995.0,Surface Water
CO_77,,,Unspecified,GRANGE HALL CREEK (AKA BREWERS GULCH),20001.0,Surface Water
CO_78,,,Unspecified,FIRST CREEK,184605.0,Surface Water
CO_79,,,Unspecified,SECOND CREEK,184606.0,Surface Water
CO_80,,,Unspecified,THIRD CREEK,184607.0,Surface Water
CO_81,,,Unspecified,WOMAN CREEK,181233.0,Surface Water
CO_82,,,Unspecified,LITTLE DRY CREEK,180836.0,Surface Water
CO_83,,,Unspecified,GRAFLIN SLOUGH,20003.0,Surface Water
CO_84,,,Unspecified,ASHCROFT DRAW,180604.0,Surface Water
CO_85,,,Unspecified,TOLL GATE CREEK,184744.0,Groundwater
CO_86,,,Unspecified,WEST TOLL GATE CREEK,184959.0,reservoir
CO_87,,,Unspecified,CLEAR CREEK,181805.0,reservoir
CO_88,,,Unspecified,BRANTNER GULCH,184590.0,reservoir
CO_89,,,Unspecified,TODD CREEK,184571.0,reservoir
CO_90,,,Unspecified,GROUNDWATER: DENVER BASIN - MULTIPLE AQUIFERS,,groundwater/well
CO_91,,,Unspecified,WESTERLY CREEK,184739.0,reservoir
CO_92,,,Unspecified,EAST TOLL GATE CREEK,184960.0,reservoir
CO_93,,,Unspecified,FALL CREEK,177303.0,Surface Water
CO_94,,,Unspecified,TRAIL CREEK,170162.0,Surface Water
CO_95,,,Unspecified,MANHATTAN CREEK,177136.0,Surface Water
CO_96,,,Unspecified,RABBIT CREEK,170195.0,Surface Water
CO_97,,,Unspecified,SHEEP DRAW,180602.0,Surface Water
CO_98,,,Unspecified,FISH CREEK,170123.0,Surface Water
CO_99,,,Unspecified,ELKHORN CREEK,170254.0,Surface Water
CO_100,,,Unspecified,COALBANK CREEK,171175.0,Surface Water
