SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
IDss_S1,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.828804,-114.88731100000001,,,POD,Florence Spring Livestock Pipeline,53525ddcda8e49f882e1fa396a082b01,,Hydrology Station,ID,
IDss_S2,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.95033541,-115.97479440000001,,,POD,Snake River Irrigation District,364cf2cd6cfc41ae95456e496753fe9f,,Hydrology Station,ID,
IDss_S3,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.98094436,-116.09063880000001,,,POD,Upper Grand View Mutual,88b8431b09f54d019edec6cb90715978,,Hydrology Station,ID,
IDss_S4,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.93483334,-115.55877779999999,,,POD,Indian Cove Irrigation District,b04258fd520c458f82785f10fe20e673,,Hydrology Station,ID,
IDss_S5,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.93402775,-115.5586666,,,POD,Flying H Farms,b29591754c9443a0a86c0d1248b79117,,Hydrology Station,ID,
IDss_S6,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.97172218,-115.9837222,,,POD,Simplot 4,82754d7d232443c8ad9770ffb9d7d5c1,,Hydrology Station,ID,
IDss_S7,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.95997217,-115.63036100000001,,,POD,South Elmore,72f0e0c4ec70477e84f87b732230638d,,Hydrology Station,ID,
IDss_S8,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.95997217,-115.6303611,,,POD,Clover Hollow,f1be09a61b434aeba6f214cafb41eff6,,Hydrology Station,ID,
IDss_S9,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,42.7395,-114.860611,,,POD,Salmon Falls Land and Livestock,c4ef5b148fc547f2a213a6c12494067a,,Hydrology Station,ID,
IDss_S10,,IDss_WS1,Unspecified,Unspecified,Unspecified,4326,,,,,43.09663885,-116.24027779999999,,,POD,Big Foot Bar 2,86c5fc0d60fe4f24924a32b5b49a9f43,,Hydrology Station,ID,
