WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
ID_WS1,,,Unspecified,GROUND WATER,Unspecified,Groundwater
ID_WS2,,,Unspecified,SPRING,Unspecified,groundwater/spring
ID_WS3,,,Unspecified,DEEP CREEK,Unspecified,Surface Water
ID_WS4,,,Unspecified,UNNAMED STREAM,Unspecified,Unspecified
ID_WS5,,,Unspecified,ROCK CREEK,Unspecified,Surface Water
ID_WS6,,,Unspecified,TWIN SPRINGS,Unspecified,Unspecified
ID_WS7,,,Unspecified,HOUSE CREEK,Unspecified,Surface Water
ID_WS8,,,Unspecified,UNNAMED STREAMS,Unspecified,Unspecified
ID_WS9,,,Unspecified,JUNIPER SPRING,Unspecified,groundwater/spring
ID_WS10,,,Unspecified,HARRINGTON SPRING,Unspecified,groundwater/spring
ID_WS11,,,Unspecified,LOWER PENSTEMON SPRING,Unspecified,groundwater/spring
ID_WS12,,,Unspecified,SANDSTONE SPRING,Unspecified,groundwater/spring
ID_WS13,,,Unspecified,SEWER CREEK,Unspecified,Surface Water
ID_WS14,,,Unspecified,SAGE HEN SPRING,Unspecified,groundwater/spring
ID_WS15,,,Unspecified,BIRCH SPRING NO 2,Unspecified,Unspecified
ID_WS16,,,Unspecified,CAVE GULCH SPRING,Unspecified,groundwater/spring
ID_WS17,,,Unspecified,DURFEE MEADOW SPRING,Unspecified,groundwater/spring
ID_WS18,,,Unspecified,WARM CORRAL SPRINGS NO 2,Unspecified,Unspecified
ID_WS19,,,Unspecified,DRY FORK,Unspecified,Surface Water
ID_WS20,,,Unspecified,BUCK SPRING,Unspecified,groundwater/spring
ID_WS21,,,Unspecified,LOST WATER SPRING,Unspecified,groundwater/spring
ID_WS22,,,Unspecified,HAROLD SPRING,Unspecified,groundwater/spring
ID_WS23,,,Unspecified,LAYTON SPRING,Unspecified,groundwater/spring
ID_WS24,,,Unspecified,BUCKBRUSH SPRING,Unspecified,groundwater/spring
ID_WS25,,,Unspecified,DRY LAKE SPRING,Unspecified,groundwater/spring
ID_WS26,,,Unspecified,O ROURKE SPRINGS,Unspecified,Unspecified
ID_WS27,,,Unspecified,HUDSON RIDGE SPRING,Unspecified,groundwater/spring
ID_WS28,,,Unspecified,COTTONWOOD RIM SPRING,Unspecified,groundwater/spring
ID_WS29,,,Unspecified,BRIGGS SPRING,Unspecified,groundwater/spring
ID_WS30,,,Unspecified,DRY FORK SPRING,Unspecified,groundwater/spring
ID_WS31,,,Unspecified,LITTLE SPRING,Unspecified,groundwater/spring
ID_WS32,,,Unspecified,WHITE STUMP SPRING,Unspecified,groundwater/spring
ID_WS33,,,Unspecified,BOWERS SPRING,Unspecified,groundwater/spring
ID_WS34,,,Unspecified,TUB SPRING,Unspecified,groundwater/spring
ID_WS35,,,Unspecified,COYOTE SPRING,Unspecified,groundwater/spring
ID_WS36,,,Unspecified,JARVIS SPRING,Unspecified,groundwater/spring
ID_WS37,,,Unspecified,MILL CANYON SPRING,Unspecified,groundwater/spring
ID_WS38,,,Unspecified,WASTE WATER,Unspecified,Unspecified
ID_WS39,,,Unspecified,FATHER AND SONS SPRING,Unspecified,groundwater/spring
ID_WS40,,,Unspecified,HARROUN SPRING,Unspecified,groundwater/spring
ID_WS41,,,Unspecified,BIG ROCKY CREEK,Unspecified,Surface Water
ID_WS42,,,Unspecified,SPRINGS,Unspecified,Unspecified
ID_WS43,,,Unspecified,WALTON SPRING,Unspecified,groundwater/spring
ID_WS44,,,Unspecified,DRY CREEK,Unspecified,Surface Water
ID_WS45,,,Unspecified,COEUR D ALENE LAKE,Unspecified,Surface Water
ID_WS46,,,Unspecified,JOBE CREEK,Unspecified,Surface Water
ID_WS47,,,Unspecified,UNNAMED DRAIN,Unspecified,Drain
ID_WS48,,,Unspecified,SNAKE RIVER,Unspecified,Surface Water
ID_WS49,,,Unspecified,CUB RIVER,Unspecified,Surface Water
ID_WS50,,,Unspecified,COUGAR CREEK,Unspecified,Surface Water
ID_WS51,,,Unspecified,BOISE RIVER,Unspecified,Surface Water
ID_WS52,,,Unspecified,LAKE PEND OREILLE,Unspecified,Unspecified
ID_WS53,,,Unspecified,SPOKANE RIVER,Unspecified,Surface Water
ID_WS54,,,Unspecified,SALMON RIVER,Unspecified,Surface Water
ID_WS55,,,Unspecified,BIG WOOD RIVER,Unspecified,Surface Water
ID_WS56,,,Unspecified,PEND OREILLE RIVER,Unspecified,Surface Water
ID_WS57,,,Unspecified,WILSON DRAIN,Unspecified,Drain
ID_WS58,,,Unspecified,JARBIDGE RIVER,Unspecified,Surface Water
ID_WS59,,,Unspecified,BLOOMINGTON CREEK,Unspecified,Surface Water
ID_WS60,,,Unspecified,CASTLE CREEK,Unspecified,Surface Water
ID_WS61,,,Unspecified,LEDGE CREEK,Unspecified,Surface Water
ID_WS62,,,Unspecified,PARIS CREEK,Unspecified,Surface Water
ID_WS63,,,Unspecified,THOMAS FORK,Unspecified,Surface Water
ID_WS64,,,Unspecified,SOREN CANYON CREEK,Unspecified,Surface Water
ID_WS65,,,Unspecified,SHEEP CREEK,Unspecified,Surface Water
ID_WS66,,,Unspecified,CENTER CREEK,Unspecified,Surface Water
ID_WS67,,,Unspecified,INDIAN CREEK,Unspecified,Surface Water
ID_WS68,,,Unspecified,BEAR RIVER,Unspecified,Surface Water
ID_WS69,,,Unspecified,GEORGETOWN CREEK,Unspecified,Surface Water
ID_WS70,,,Unspecified,STAUFFER CREEK,Unspecified,Surface Water
ID_WS71,,,Unspecified,SPRING CREEK,Unspecified,Surface Water
ID_WS72,,,Unspecified,NOUNAN CREEK,Unspecified,Surface Water
ID_WS73,,,Unspecified,LIBERTY LOOKOUT CREEK,Unspecified,Surface Water
ID_WS74,,,Unspecified,MIDDLE FORK,Unspecified,Surface Water
ID_WS75,,,Unspecified,LITTLE SALMON RIVER,Unspecified,Surface Water
ID_WS76,,,Unspecified,CAPTAIN JOHN CREEK,Unspecified,Surface Water
ID_WS77,,,Unspecified,SKINNER CREEK,Unspecified,Surface Water
ID_WS78,,,Unspecified,DAIRY CANYON CREEK,Unspecified,Surface Water
ID_WS79,,,Unspecified,CO-OP CREEK,Unspecified,Surface Water
ID_WS80,,,Unspecified,CHUGG SPRING,Unspecified,groundwater/spring
ID_WS81,,,Unspecified,PEARL CREEK,Unspecified,Surface Water
ID_WS82,,,Unspecified,TRAIL CREEK,Unspecified,Surface Water
ID_WS83,,,Unspecified,EIGHTMILE CREEK,Unspecified,Surface Water
ID_WS84,,,Unspecified,BAILEY CREEK,Unspecified,Surface Water
ID_WS85,,,Unspecified,WINCHELL CREEK,Unspecified,Surface Water
ID_WS86,,,Unspecified,LARGILLIERE CREEK,Unspecified,Surface Water
ID_WS87,,,Unspecified,LITTLE SPRING CREEK,Unspecified,Surface Water
ID_WS88,,,Unspecified,BIG SPRING CREEK,Unspecified,Surface Water
ID_WS89,,,Unspecified,SODA CREEK,Unspecified,Surface Water
ID_WS90,,,Unspecified,GROUSE CREEK,Unspecified,Surface Water
ID_WS91,,,Unspecified,SECOND CREEK,Unspecified,Surface Water
ID_WS92,,,Unspecified,FORMATION SPRING CREEK,Unspecified,Surface Water
ID_WS93,,,Unspecified,FORMATION SPRING,Unspecified,groundwater/spring
ID_WS94,,,Unspecified,BRIGGS CREEK,Unspecified,Surface Water
ID_WS95,,,Unspecified,ST CHARLES CREEK,Unspecified,Surface Water
ID_WS96,,,Unspecified,LITTLE CREEK,Unspecified,Surface Water
ID_WS97,,,Unspecified,WORM CREEK,Unspecified,Surface Water
ID_WS98,,,Unspecified,OVID CREEK,Unspecified,Surface Water
ID_WS99,,,Unspecified,MONTPELIER CREEK,Unspecified,Surface Water
ID_WS100,,,Unspecified,WILLOW SPRING,Unspecified,groundwater/spring
ID_WS101,,,Unspecified,SODA CREEK SPRING,Unspecified,groundwater/spring
ID_WS102,,,Unspecified,PORRITT SPRING,Unspecified,groundwater/spring
ID_WS103,,,Unspecified,SHEPHERD SPRINGS,Unspecified,Unspecified
ID_WS104,,,Unspecified,LIME CREEK,Unspecified,Surface Water
ID_WS105,,,Unspecified,ROWLEY SPRINGS,Unspecified,Unspecified
ID_WS106,,,Unspecified,MEADOW SPRINGS,Unspecified,Unspecified
ID_WS107,,,Unspecified,HORSELEY CREEK,Unspecified,Surface Water
ID_WS108,,,Unspecified,BLOOMINGTON DRY CANYON SPRING,Unspecified,groundwater/spring
ID_WS109,,,Unspecified,HELL HOLE SPRING,Unspecified,groundwater/spring
ID_WS110,,,Unspecified,FIVEMILE MEADOWS CREEK,Unspecified,Surface Water
ID_WS111,,,Unspecified,POND,Unspecified,Surface Water
ID_WS112,,,Unspecified,BEAR HOLLOW SPRINGS,Unspecified,Unspecified
ID_WS113,,,Unspecified,TAYLOR CREEK,Unspecified,Surface Water
ID_WS114,,,Unspecified,SWAN LAKE,Unspecified,Surface Water
ID_WS115,,,Unspecified,PETERS POND,Unspecified,Surface Water
ID_WS116,,,Unspecified,PINE GAP CREEK,Unspecified,Surface Water
ID_WS117,,,Unspecified,PEGRAM CREEK,Unspecified,Surface Water
ID_WS118,,,Unspecified,YEAMAN CREEK,Unspecified,Surface Water
ID_WS119,,,Unspecified,UNNAMED SLOUGH,Unspecified,Surface Water
ID_WS120,,,Unspecified,BEAR LAKE,Unspecified,Surface Water
ID_WS121,,,Unspecified,HAMMOND CREEK,Unspecified,Surface Water
ID_WS122,,,Unspecified,CROSSLEY HOLLOW SPRING,Unspecified,groundwater/spring
ID_WS123,,,Unspecified,SCHOOLHOUSE HILL SPRING,Unspecified,groundwater/spring
ID_WS124,,,Unspecified,HIDDEN SPRING,Unspecified,groundwater/spring
ID_WS125,,,Unspecified,DAVIS CANYON CREEK,Unspecified,Surface Water
ID_WS126,,,Unspecified,PORCUPINE CANYON SPRING,Unspecified,groundwater/spring
ID_WS127,,,Unspecified,MINNETONKA CAVE SPRING,Unspecified,groundwater/spring
ID_WS128,,,Unspecified,CLOVERLEAF SPRING,Unspecified,groundwater/spring
ID_WS129,,,Unspecified,DRY CANYON CREEK,Unspecified,Surface Water
ID_WS130,,,Unspecified,NORTH FORK SPRING,Unspecified,groundwater/spring
ID_WS131,,,Unspecified,MILL CANYON CREEK,Unspecified,Surface Water
ID_WS132,,,Unspecified,MILL CREEK,Unspecified,Surface Water
ID_WS133,,,Unspecified,THIRD HOLLOW SPRING,Unspecified,groundwater/spring
ID_WS134,,,Unspecified,WOOD CANYON CREEK,Unspecified,Surface Water
ID_WS135,,,Unspecified,SNYDER CREEK,Unspecified,Surface Water
ID_WS136,,,Unspecified,GEORGE FINDLAY CLAYHOLE SPRING,Unspecified,groundwater/spring
ID_WS137,,,Unspecified,COPENHAGEN CREEK,Unspecified,Surface Water
ID_WS138,,,Unspecified,LYONS SPRING,Unspecified,groundwater/spring
ID_WS139,,,Unspecified,LITTLE THREEMILE CANYON CREEK,Unspecified,Surface Water
ID_WS140,,,Unspecified,LITTLE THREEMILE CREEK,Unspecified,Surface Water
ID_WS141,,,Unspecified,ROWLEY CANYON CREEK,Unspecified,Surface Water
ID_WS142,,,Unspecified,RED PINE SPRING,Unspecified,groundwater/spring
ID_WS143,,,Unspecified,PINE SPRINGS CREEK,Unspecified,Surface Water
ID_WS144,,,Unspecified,UNNAMED DRAINS,Unspecified,Unspecified
ID_WS145,,,Unspecified,LYON SPRING,Unspecified,groundwater/spring
ID_WS146,,,Unspecified,SOUTH DELL CREEK,Unspecified,Surface Water
ID_WS147,,,Unspecified,MAPLE CANYON CREEK,Unspecified,Surface Water
ID_WS148,,,Unspecified,NINETY PERCENT SPRING,Unspecified,groundwater/spring
ID_WS149,,,Unspecified,SWAN LAKES,Unspecified,Unspecified
ID_WS150,,,Unspecified,MUD SPRING,Unspecified,groundwater/spring
ID_WS151,,,Unspecified,JOHNSON CREEK,Unspecified,Surface Water
ID_WS152,,,Unspecified,NORTH CREEK,Unspecified,Surface Water
ID_WS153,,,Unspecified,RED PINE HOLLOW CREEK,Unspecified,Surface Water
ID_WS154,,,Unspecified,SHEEP HOLLOW SPRING,Unspecified,groundwater/spring
ID_WS155,,,Unspecified,SAGO HOLLOW CREEK,Unspecified,Surface Water
ID_WS156,,,Unspecified,GREEN CANYON SPRING,Unspecified,groundwater/spring
ID_WS157,,,Unspecified,MAPLE CANYON SPRING,Unspecified,groundwater/spring
ID_WS158,,,Unspecified,CRIB SPRING,Unspecified,groundwater/spring
ID_WS159,,,Unspecified,HUMBERG SPRING,Unspecified,groundwater/spring
ID_WS160,,,Unspecified,WILLOW FLAT SPRING,Unspecified,groundwater/spring
ID_WS161,,,Unspecified,CAMP SPRING,Unspecified,groundwater/spring
ID_WS162,,,Unspecified,ASPEN SPRING,Unspecified,groundwater/spring
