SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
IDwr_S225345,,GPS - Downloaded,,EPSG:4326,,,,,42.69762089,-113.9300102,,,POD,Unspecified,823717,,Groundwater,ID,
IDwr_S225346,,GPS - Downloaded,,EPSG:4326,,,,,42.67782601,-113.8417203,,,POD,Unspecified,823719,,Groundwater,ID,
IDwr_S225347,,GPS - Downloaded,,EPSG:4326,,,,,42.69002708,-113.8412228,,,POD,Unspecified,823718,,Groundwater,ID,
IDwr_S225348,,GPS - Downloaded,,EPSG:4326,,,,,42.58092078,-113.9707762,,,POD,2A1021,823690,,Groundwater,ID,
IDwr_S225349,,GPS - Downloaded,,EPSG:4326,,,,,42.60782329,-113.8727393,,,POD,28A922,823671,,Groundwater,ID,
IDwr_S225350,,GPS - Downloaded,,EPSG:4326,,,,,42.61954971,-113.9163912,,,POD,30A922,823672,,Groundwater,ID,
IDwr_S225351,,GPS - Downloaded,,EPSG:4326,,,,,42.62955308,-113.9316622,,,POD,19A922,823669,,Groundwater,ID,
IDwr_S225352,,GPS - Downloaded,,EPSG:4326,,,,,42.63737958,-113.9178558,,,POD,18B922,823668,,Groundwater,ID,
IDwr_S225353,,GPS - Downloaded,,EPSG:4326,,,,,42.63743482,-113.9181601,,,POD,18A922,823667,,Groundwater,ID,
IDwr_S225354,,GPS - Downloaded,,EPSG:4326,,,,,42.64251634,-113.8606796,,,POD,15A922,823665,,Groundwater,ID,
IDwr_S225355,,GPS - Downloaded,,EPSG:4326,,,,,42.64432421,-113.8598543,,,POD,15B922,823664,,Groundwater,ID,
IDwr_S225356,,GPS - Downloaded,,EPSG:4326,,,,,42.6553332,-113.8834455,,,POD,9A922,823852,,Groundwater,ID,
IDwr_S225357,,GPS - Downloaded,,EPSG:4326,,,,,42.65755009,-113.8880215,,,POD,9B922,823851,,Groundwater,ID,
IDwr_S225358,,GPS - Downloaded,,EPSG:4326,,,,,42.65936853,-113.9136344,,,POD,7B922,823849,,Groundwater,ID,
IDwr_S225359,,GPS - Downloaded,,EPSG:4326,,,,,42.65995346,-113.8443445,,,POD,11B922,823856,,Groundwater,ID,
IDwr_S225360,,GPS - Downloaded,,EPSG:4326,,,,,42.66002822,-113.9124824,,,POD,7A922,823848,,Groundwater,ID,
IDwr_S225361,,GPS - Downloaded,,EPSG:4326,,,,,42.66130101,-113.841934,,,POD,11C922,823855,,Groundwater,ID,
IDwr_S225362,,GPS - Downloaded,,EPSG:4326,,,,,42.66427744,-113.9817892,,,POD,3C921,823841,,Groundwater,ID,
IDwr_S225363,,GPS - Downloaded,,EPSG:4326,,,,,42.66550425,-113.8567627,,,POD,3C922,823847,,Groundwater,ID,
IDwr_S225364,,GPS - Downloaded,,EPSG:4326,,,,,42.66589353,-113.8565902,,,POD,3A922,823846,,Groundwater,ID,
IDwr_S225365,,GPS - Downloaded,,EPSG:4326,,,,,42.66593606,-113.8134042,,,POD,6B923,823689,,Groundwater,ID,
IDwr_S225366,,GPS - Downloaded,,EPSG:4326,,,,,42.66604433,-113.8563428,,,POD,3B922,823845,,Groundwater,ID,
IDwr_S225367,,GPS - Downloaded,,EPSG:4326,,,,,42.67006191,-113.7589018,,,POD,3A923,823687,,Groundwater,ID,
IDwr_S225368,,GPS - Downloaded,,EPSG:4326,,,,,42.67031823,-113.9759585,,,POD,3A921,823842,,Groundwater,ID,
IDwr_S225369,,GPS - Downloaded,,EPSG:4326,,,,,42.67028379,-113.8649894,,,POD,3D922,823844,,Groundwater,ID,
IDwr_S225370,,GPS - Downloaded,,EPSG:4326,,,,,42.67039143,-113.9452627,,,POD,1A921,823839,,Groundwater,ID,
IDwr_S225371,,GPS - Downloaded,,EPSG:4326,,,,,42.67061174,-113.9864705,,,POD,3B921,823840,,Groundwater,ID,
IDwr_S225372,,GPS - Downloaded,,EPSG:4326,,,,,42.67331245,-113.7465787,,,POD,3B923,823686,,Groundwater,ID,
IDwr_S225373,,GPS - Downloaded,,EPSG:4326,,,,,42.67391461,-113.8040904,,,POD,6A923,823688,,Groundwater,ID,
IDwr_S225374,,GPS - Downloaded,,EPSG:4326,,,,,42.67522107,-113.7285654,,,POD,2A923,823675,,Groundwater,ID,
IDwr_S225375,,Digitized,,EPSG:4326,,,,,42.67804008,-113.8416,,,POD,Unspecified,823720,,Groundwater,ID,
IDwr_S225376,,GPS - Downloaded,,EPSG:4326,,,,,42.6783202,-113.7005336,,,POD,31A824,823811,,Groundwater,ID,
IDwr_S225377,,GPS - Downloaded,,EPSG:4326,,,,,42.67841432,-113.7007451,,,POD,31B824,823810,,Groundwater,ID,
IDwr_S225378,,GPS - Downloaded,,EPSG:4326,,,,,42.67889254,-113.9536288,,,POD,35B821,823715,,Groundwater,ID,
IDwr_S225379,,GPS - Downloaded,,EPSG:4326,,,,,42.67892103,-113.9706253,,,POD,35D821,823714,,Groundwater,ID,
IDwr_S225380,,GPS - Downloaded,,EPSG:4326,,,,,42.67905104,-113.9534133,,,POD,35C821,823716,,Groundwater,ID,
IDwr_S225381,,GPS - Downloaded,,EPSG:4326,,,,,42.67876833,-113.7253341,,,POD,35D823,823770,,Groundwater,ID,
IDwr_S225382,,GPS - Downloaded,,EPSG:4326,,,,,42.68106085,-113.7411389,,,POD,35C823,823769,,Groundwater,ID,
IDwr_S225383,,GPS - Downloaded,,EPSG:4326,,,,,42.68127554,-113.7570892,,,POD,34A823,823767,,Groundwater,ID,
IDwr_S225384,,GPS - Downloaded,,EPSG:4326,,,,,42.68212978,-113.8058383,,,POD,31A823,823766,,Groundwater,ID,
IDwr_S225385,,GPS - Downloaded,,EPSG:4326,,,,,42.68940275,-113.7417504,,,POD,35A823,823768,,Groundwater,ID,
IDwr_S225386,,GPS - Downloaded,,EPSG:4326,,,,,42.69039039,-113.9533196,,,POD,35A821,823713,,Groundwater,ID,
IDwr_S225387,,GPS - Downloaded,,EPSG:4326,,,,,42.69229815,-113.7585617,,,POD,27B823,823760,,Groundwater,ID,
IDwr_S225388,,GPS - Downloaded,,EPSG:4326,,,,,42.69381921,-113.7830107,,,POD,28A823,823763,,Groundwater,ID,
IDwr_S225389,,GPS - Downloaded,,EPSG:4326,,,,,42.69408209,-113.7831082,,,POD,28B823,823762,,Groundwater,ID,
IDwr_S225390,,GPS - Downloaded,,EPSG:4326,,,,,42.69611533,-113.673802,,,POD,29A824,823807,,Groundwater,ID,
IDwr_S225391,,GPS - Downloaded,,EPSG:4326,,,,,42.69667209,-113.7763209,,,POD,28C823,823761,,Groundwater,ID,
IDwr_S225392,,GPS - Downloaded,,EPSG:4326,,,,,42.69998393,-113.758296,,,POD,27C823,823759,,Groundwater,ID,
IDwr_S225393,,GPS - Downloaded,,EPSG:4326,,,,,42.70046419,-113.7846549,,,POD,29B823,823764,,Groundwater,ID,
IDwr_S225394,,GPS - Downloaded,,EPSG:4326,,,,,42.70061538,-113.7844075,,,POD,29A823,823765,,Groundwater,ID,
IDwr_S225395,,GPS - Downloaded,,EPSG:4326,,,,,42.70115385,-113.6143607,,,POD,26A824,823804,,Groundwater,ID,
IDwr_S225396,,GPS - Downloaded,,EPSG:4326,,,,,42.70152748,-113.7189137,,,POD,25A823,823755,,Groundwater,ID,
IDwr_S225397,,GPS - Downloaded,,EPSG:4326,,,,,42.70312493,-113.9549822,,,POD,26A821,823711,,Groundwater,ID,
IDwr_S225398,,GPS - Downloaded,,EPSG:4326,,,,,42.70316525,-113.9565591,,,POD,26B821,823712,,Groundwater,ID,
IDwr_S225399,,GPS - Downloaded,,EPSG:4326,,,,,42.70360066,-113.7011332,,,POD,30A824,823808,,Groundwater,ID,
IDwr_S225400,,GPS - Downloaded,,EPSG:4326,,,,,42.70568697,-113.7449688,,,POD,27A823,823758,,Groundwater,ID,
IDwr_S225401,,GPS - Downloaded,,EPSG:4326,,,,,42.70783379,-113.7570159,,,POD,22A823,823749,,Groundwater,ID,
IDwr_S225402,,GPS - Downloaded,,EPSG:4326,,,,,42.70816019,-113.8123751,,,POD,19B823,823745,,Groundwater,ID,
IDwr_S225403,,GPS - Downloaded,,EPSG:4326,,,,,42.70775714,-113.616311,,,POD,23A824,823803,,Groundwater,ID,
IDwr_S225404,,GPS - Downloaded,,EPSG:4326,,,,,42.70835206,-113.8126237,,,POD,19A823,823746,,Groundwater,ID,
IDwr_S225405,,GPS - Downloaded,,EPSG:4326,,,,,42.70882397,-113.6634397,,,POD,21A824,823801,,Groundwater,ID,
IDwr_S225406,,GPS - Downloaded,,EPSG:4326,,,,,42.70845114,-113.5430416,,,POD,21A825,823834,,Groundwater,ID,
IDwr_S225407,,GPS - Downloaded,,EPSG:4326,,,,,42.70943088,-113.7161915,,,POD,24A823,823754,,Groundwater,ID,
IDwr_S225408,,GPS - Downloaded,,EPSG:4326,,,,,42.70965381,-113.7162815,,,POD,24B823,823753,,Groundwater,ID,
IDwr_S225409,,GPS - Downloaded,,EPSG:4326,,,,,42.71164152,-113.7420712,,,POD,23B823,823750,,Groundwater,ID,
IDwr_S225410,,GPS - Downloaded,,EPSG:4326,,,,,42.71177795,-113.7418264,,,POD,23A823,823751,,Groundwater,ID,
IDwr_S225411,,GPS - Downloaded,,EPSG:4326,,,,,42.71198167,-113.6330032,,,POD,22A824,823802,,Groundwater,ID,
IDwr_S225412,,GPS - Downloaded,,EPSG:4326,,,,,42.71353825,-113.9742982,,,POD,22A821,823709,,Groundwater,ID,
IDwr_S225413,,GPS - Downloaded,,EPSG:4326,,,,,42.71384341,-113.7683396,,,POD,21A823,823747,,Groundwater,ID,
IDwr_S225414,,GPS - Downloaded,,EPSG:4326,,,,,42.71434134,-113.5852994,,,POD,19D825,823833,,Groundwater,ID,
IDwr_S225415,,GPS - Downloaded,,EPSG:4326,,,,,42.71459809,-113.5855748,,,POD,19C825,823832,,Groundwater,ID,
IDwr_S225416,,GPS - Downloaded,,EPSG:4326,,,,,42.71534289,-113.4872619,,,POD,24A825,823837,,Groundwater,ID,
IDwr_S225417,,GPS - Downloaded,,EPSG:4326,,,,,42.71662457,-113.9426098,,,POD,24A821,823710,,Groundwater,ID,
IDwr_S225418,,GPS - Downloaded,,EPSG:4326,,,,,42.71669492,-113.7643209,,,POD,21B823,823748,,Groundwater,ID,
IDwr_S225419,,GPS - Downloaded,,EPSG:4326,,,,,42.71841622,-113.5105911,,,POD,23B825,823836,,Groundwater,ID,
IDwr_S225420,,GPS - Downloaded,,EPSG:4326,,,,,42.71859734,-113.5108889,,,POD,23A825,823835,,Groundwater,ID,
IDwr_S225421,,GPS - Downloaded,,EPSG:4326,,,,,42.72039546,-113.5772645,,,POD,19A825,823830,,Groundwater,ID,
IDwr_S225422,,GPS - Downloaded,,EPSG:4326,,,,,42.72084545,-113.6542174,,,POD,21B824,823800,,Groundwater,ID,
IDwr_S225423,,GPS - Downloaded,,EPSG:4326,,,,,42.72065742,-113.5775788,,,POD,19B825,823831,,Groundwater,ID,
IDwr_S225424,,GPS - Downloaded,,EPSG:4326,,,,,42.72166944,-113.7448419,,,POD,15D823,823741,,Groundwater,ID,
IDwr_S225425,,GPS - Downloaded,,EPSG:4326,,,,,42.72168856,-113.490944,,,POD,13A825,823824,,Groundwater,ID,
IDwr_S225426,,GPS - Downloaded,,EPSG:4326,,,,,42.72278761,-113.6217749,,,POD,14A824,823795,,Groundwater,ID,
IDwr_S225427,,GPS - Downloaded,,EPSG:4326,,,,,42.72371871,-113.7848752,,,POD,17B823,823743,,Groundwater,ID,
IDwr_S225428,,GPS - Downloaded,,EPSG:4326,,,,,42.72375863,-113.7845537,,,POD,17A823,823744,,Groundwater,ID,
