WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
IDwr_WS1,,,Unspecified,GROUND WATER,WaDEID_WS1,Groundwater
IDwr_WS2,,,Unspecified,SPRING,WaDEID_WS2,Groundwater
IDwr_WS3,,,Unspecified,DEEP CREEK,WaDEID_WS3,Surface Water
IDwr_WS4,,,Unspecified,UNNAMED STREAM,WaDEID_WS4,Unspecified
IDwr_WS5,,,Unspecified,ROCK CREEK,WaDEID_WS5,Surface Water
IDwr_WS6,,,Unspecified,TWIN SPRINGS,WaDEID_WS6,Unspecified
IDwr_WS7,,,Unspecified,HOUSE CREEK,WaDEID_WS7,Surface Water
IDwr_WS8,,,Unspecified,UNNAMED STREAMS,WaDEID_WS8,Unspecified
IDwr_WS9,,,Unspecified,JUNIPER SPRING,WaDEID_WS9,Groundwater
IDwr_WS10,,,Unspecified,HARRINGTON SPRING,WaDEID_WS10,Groundwater
IDwr_WS11,,,Unspecified,LOWER PENSTEMON SPRING,WaDEID_WS11,Groundwater
IDwr_WS12,,,Unspecified,SANDSTONE SPRING,WaDEID_WS12,Groundwater
IDwr_WS13,,,Unspecified,SEWER CREEK,WaDEID_WS13,Surface Water
IDwr_WS14,,,Unspecified,SAGE HEN SPRING,WaDEID_WS14,Groundwater
IDwr_WS15,,,Unspecified,BIRCH SPRING NO 2,WaDEID_WS15,Unspecified
IDwr_WS16,,,Unspecified,CAVE GULCH SPRING,WaDEID_WS16,Groundwater
IDwr_WS17,,,Unspecified,DURFEE MEADOW SPRING,WaDEID_WS17,Groundwater
IDwr_WS18,,,Unspecified,WARM CORRAL SPRINGS NO 2,WaDEID_WS18,Unspecified
IDwr_WS19,,,Unspecified,DRY FORK,WaDEID_WS19,Surface Water
IDwr_WS20,,,Unspecified,BUCK SPRING,WaDEID_WS20,Groundwater
IDwr_WS21,,,Unspecified,LOST WATER SPRING,WaDEID_WS21,Groundwater
IDwr_WS22,,,Unspecified,HAROLD SPRING,WaDEID_WS22,Groundwater
IDwr_WS23,,,Unspecified,LAYTON SPRING,WaDEID_WS23,Groundwater
IDwr_WS24,,,Unspecified,BUCKBRUSH SPRING,WaDEID_WS24,Groundwater
IDwr_WS25,,,Unspecified,DRY LAKE SPRING,WaDEID_WS25,Groundwater
IDwr_WS26,,,Unspecified,O ROURKE SPRINGS,WaDEID_WS26,Unspecified
IDwr_WS27,,,Unspecified,HUDSON RIDGE SPRING,WaDEID_WS27,Groundwater
