,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
0,,,GROUND WATER,GROUND WATER,Fresh,,
1,,,THRUSH CREEK,GROUND WATER,Fresh,,
2,,,UNNAMED STREAMS,GROUND WATER,Fresh,,
3,,,GRAY EAGLE CREEK,GROUND WATER,Fresh,,
4,,,MEADOW BROOK CREEK,GROUND WATER,Fresh,,
5,,,SALMON RIVER,GROUND WATER,Fresh,,
6,,,LITTLE SALMON RIVER,GROUND WATER,Fresh,,
7,,,MARTIN CREEK,GROUND WATER,Fresh,,
8,,,SNAKE RIVER,GROUND WATER,Fresh,,
9,,,HURST CREEK,GROUND WATER,Fresh,,
10,,,UNNAMED STREAM,GROUND WATER,Fresh,,
11,,,HORSE RANCH CREEK,GROUND WATER,Fresh,,
12,,,WOLF CREEK,THRUSH CREEK,Fresh,,
13,,,SPRINGS,GROUND WATER,Fresh,,
14,,,TRAIL CREEK,GROUND WATER,Fresh,,
15,,,ROCK CREEK,UNNAMED STREAMS,Fresh,,
16,,,CORRAL CREEK,GRAY EAGLE CREEK,Fresh,,
17,,,CALDWELL DRAW CREEK,GROUND WATER,Fresh,,
18,,,BADGER CREEK,MEADOW BROOK CREEK,Fresh,,
19,,,JOBE CREEK,SALMON RIVER,Fresh,,
20,,,TETON RIVER,UNNAMED STREAMS,Fresh,,
21,,,BLUE HILL CREEK,LITTLE SALMON RIVER,Fresh,,
22,,,LITTLE LOST RIVER,MARTIN CREEK,Fresh,,
23,,,COPPER CREEK,SNAKE RIVER,Fresh,,
24,,,SPRING,HURST CREEK,Fresh,,
25,,,EIGHTEENMILE CREEK,GROUND WATER,Fresh,,
26,,,GRANITE CREEK,GROUND WATER,Fresh,,
27,,,WEISER RIVER,GROUND WATER,Fresh,,
28,,,LINDSAY CREEK,GROUND WATER,Fresh,,
29,,,BEAVER CREEK,GROUND WATER,Fresh,,
30,,,SURFACE RUNOFF,GROUND WATER,Fresh,,
31,,,BRIGGS SPRING,GROUND WATER,Fresh,,
32,,,RED BASIN CREEK,GROUND WATER,Fresh,,
