SiteUUID,PODorPOUSite,Longitude,Latitude
KSwr_S1,POD,-97.87295,38.9982
KSwr_S10,POD,-100.9718,38.47479
KSwr_S100,POD,-101.816,37.99599
KSwr_S100,POD,-101.816,37.99599
KSwr_S1000,POD,-98.07697,39.9922
KSwr_S10000,POD,-99.80179,37.64875
KSwr_S10001,POD,-101.1407,37.72534
KSwr_S10002,POD,-100.6978,37.6559
KSwr_S10002,POD,-100.6978,37.6559
KSwr_S10003,POD,-100.5113,39.37589
KSwr_S10004,POD,-101.3472,37.28531
KSwr_S10005,POD,-98.96761,38.10736
KSwr_S10006,POD,-98.96748,38.10892
KSwr_S10007,POD,-101.1025,38.11259
KSwr_S10008,POD,-100.6293,37.76214
KSwr_S10009,POD,-101.3553,38.49634
KSwr_S1001,POD,-98.08753,40.00097
KSwr_S10010,POD,-100.6006,37.61295
KSwr_S10011,POD,-101.7599,39.60313
KSwr_S10012,POD,-101.751,39.60479
KSwr_S10013,POD,-100.9701,39.11626
KSwr_S10014,POD,-99.49989,38.00224
KSwr_S10015,POD,-100.8652,39.00962
KSwr_S10016,POD,-97.52281,37.76891
KSwr_S10017,POD,-97.52295,37.76891
KSwr_S10018,POD,-97.52288,37.76891
KSwr_S10019,POD,-101.7431,38.74434
KSwr_S1002,POD,-100.896,37.55558
KSwr_S1002,POD,-100.896,37.55558
KSwr_S10020,POD,-101.2572,37.0532
KSwr_S10021,POD,-100.2182,39.14561
KSwr_S10022,POD,-100.2717,39.15028
KSwr_S10023,POD,-100.2713,39.15015
KSwr_S10024,POD,-100.2709,39.15002
KSwr_S10025,POD,-100.8748,37.04692
KSwr_S10025,POD,-100.8748,37.04692
KSwr_S10026,POD,-101.8058,39.30727
KSwr_S10027,POD,-101.1763,37.28537
KSwr_S10027,POD,-101.1763,37.28537
KSwr_S10028,POD,-100.5916,39.28503
KSwr_S10029,POD,-99.56561,37.82074
KSwr_S1003,POD,-101.4345,37.67537
KSwr_S1003,POD,-101.4345,37.67537
KSwr_S10030,POD,-99.73142,37.45509
KSwr_S10030,POD,-99.73142,37.45509
KSwr_S10031,POD,-99.73145,37.45688
KSwr_S10031,POD,-99.73145,37.45688
KSwr_S10032,POD,-100.4693,39.39838
KSwr_S10033,POD,-101.9736,38.83118
KSwr_S10034,POD,-100.0447,38.22673
KSwr_S10035,POD,-99.03732,38.21818
KSwr_S10036,POD,-100.14138157,38.91099117
KSwr_S10036,POD,-100.14138157,38.91099117
KSwr_S10037,POD,-100.14134994,38.91017022
KSwr_S10037,POD,-100.14134994,38.91017022
KSwr_S10038,POD,-101.7031,39.27512
KSwr_S10039,POD,-101.3818,37.72194
KSwr_S1004,POD,-97.18147,39.38552
KSwr_S1004,POD,-97.18147,39.38552
KSwr_S1004,POD,-97.18147,39.38552
KSwr_S10040,POD,-101.3724,37.7352
KSwr_S10041,POD,-100.3944,37.37973
KSwr_S10042,POD,-100.7792,37.63223
KSwr_S10043,POD,-100.7703,37.63459
KSwr_S10044,POD,-100.7705,37.70723
KSwr_S10045,POD,-99.42745,37.72678
KSwr_S10046,POD,-100.4489,39.38561
KSwr_S10047,POD,-100.5873,37.90778
KSwr_S10048,POD,-100.6728,38.11976
KSwr_S10048,POD,-100.6728,38.11976
KSwr_S10049,POD,-100.332,37.36895
KSwr_S1005,POD,-96.73933,38.9943
KSwr_S10050,POD,-99.52953,38.47999
KSwr_S10051,POD,-101.8311,37.01804
KSwr_S10052,POD,-100.4363,39.64254
KSwr_S10053,POD,-100.3914,39.35971
KSwr_S10054,POD,-101.7909,39.46666
KSwr_S10055,POD,-100.8,39.38297
KSwr_S10056,POD,-100.8414,39.41625
KSwr_S10057,POD,-100.5297,39.45807
KSwr_S10058,POD,-97.9133,37.37255
KSwr_S10059,POD,-98.67702,39.90143
KSwr_S1006,POD,-96.73933,38.9925
KSwr_S10060,POD,-101.2973,37.08613
KSwr_S10061,POD,-101.0773,37.17701
KSwr_S10062,POD,-95.27934,38.7496
KSwr_S10062,POD,-95.27934,38.7496
KSwr_S10063,POD,-95.2801,38.75114
KSwr_S10063,POD,-95.2801,38.75114
KSwr_S10064,POD,-95.27972,38.75037
KSwr_S10064,POD,-95.27972,38.75037
KSwr_S10065,POD,-101.0758,38.07221
KSwr_S10066,POD,-100.1193,37.74784
KSwr_S10067,POD,-98.77779,37.99595
KSwr_S10068,POD,-101.6833,39.40943
KSwr_S10069,POD,-101.0894,37.51835
KSwr_S1007,POD,-101.3731,38.5448
KSwr_S10070,POD,-98.90833,37.76897
KSwr_S10070,POD,-98.90833,37.76897
KSwr_S10071,POD,-100.0836,37.72579
KSwr_S10072,POD,-100.1002,37.70524
KSwr_S10073,POD,-100.1013,37.70395
KSwr_S10074,POD,-100.1007,37.7046
KSwr_S10075,POD,-100.0928,37.704
KSwr_S10076,POD,-97.14837,39.40815
KSwr_S10077,POD,-100.9123,38.1898
KSwr_S10078,POD,-101.4939,39.32127
KSwr_S10079,POD,-100.2571,39.14309
KSwr_S1008,POD,-99.57818,39.9188
KSwr_S1008,POD,-99.57818,39.9188
