WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
KSwr_WS1,,,Fresh,Saline River,18,Groundwater
KSwr_WS2,,,Fresh,Kansas River,8,Surface Water
KSwr_WS3,,,Fresh,Smoky Hill River,17,Groundwater
KSwr_WS4,,,Fresh,Pawnee River,59,Surface Water
KSwr_WS5,,,Fresh,Prairie Dog Creek,28,Groundwater
KSwr_WS6,,,Fresh,Whitewoman Creek,61,Groundwater
KSwr_WS7,,,Fresh,Delaware River,11,Groundwater
KSwr_WS8,,,Fresh,N F Solomon River,26,Surface Water
KSwr_WS9,,,Fresh,Bear Creek,45,Groundwater
KSwr_WS10,,,Fresh,Arkansas River,33,Groundwater
KSwr_WS11,,,Fresh,N F Cimarron River,44,Groundwater
KSwr_WS12,,,Fresh,Walnut Creek,58,Groundwater
KSwr_WS13,,,Fresh,Cimarron River,41,Groundwater
KSwr_WS14,,,Fresh,S F Republican River,31,Groundwater
KSwr_WS15,,,Fresh,Bluff Creek (cimarron),42,Groundwater
KSwr_WS16,,,Fresh,Crooked Creek,43,Groundwater
KSwr_WS17,,,Fresh,Pawnee River,59,Groundwater
KSwr_WS18,,,Fresh,Prairie Dog Creek,28,Surface Water
KSwr_WS19,,,Fresh,Buckner Creek,60,Groundwater
KSwr_WS20,,,Fresh,Ladder Creek,21,Groundwater
KSwr_WS21,,,Fresh,Solomon River,23,Surface Water
KSwr_WS22,,,Fresh,Big Creek,19,Surface Water
KSwr_WS23,,,Fresh,Sappa Creek,29,Groundwater
KSwr_WS24,,,Fresh,Arkansas River,33,Surface Water
KSwr_WS25,,,Fresh,Smoky Hill River,17,Surface Water
KSwr_WS26,,,Fresh,Mill Creek,16,Surface Water
KSwr_WS27,,,Fresh,Big Blue River,13,Surface Water
KSwr_WS28,,,Fresh,S F Solomon River,25,Surface Water
KSwr_WS29,,,Fresh,Rattlesnake Creek,57,Groundwater
KSwr_WS30,,,Fresh,Republican River,27,Surface Water
KSwr_WS31,,,Fresh,Little Arkansas River,55,Groundwater
KSwr_WS32,,,Fresh,Republican River,27,Groundwater
KSwr_WS33,,,Fresh,N F Solomon River,26,Groundwater
KSwr_WS34,,,Fresh,Walnut Creek,58,Surface Water
KSwr_WS35,,,Fresh,S F Big Nemaha River,2,Groundwater
KSwr_WS36,,,Fresh,Beaver Creek,30,Groundwater
KSwr_WS37,,,Fresh,Kansas River,8,Groundwater
KSwr_WS38,,,Fresh,Fall River,40,Surface Water
KSwr_WS39,,,Fresh,N F Cimarron River,44,Surface Water
KSwr_WS40,,,Fresh,Hackberry Creek,20,Groundwater
KSwr_WS41,,,Fresh,Spring River,35,Surface Water
KSwr_WS42,,,Fresh,Sugar Creek,4,Surface Water
KSwr_WS43,,,Fresh,Saline River,18,Surface Water
