SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
MTos_S1,,MTos_WS1,,Unspecified,,4326,,,,,46.3379,-109.4012,,,Gage,Barber Canal,40A 10000,,Hydrology Station,MT,
MTos_S2,,MTos_WS1,,Unspecified,,4326,,,,,46.6094,-110.5768,,,Gage,NF Musselshell near Delphine,40A 1500,,Hydrology Station,MT,
MTos_S3,,MTos_WS1,,Unspecified,,4326,,,,,46.5747,-110.5535,,,Gage,NF Musselshell blw Bair Reservoir,40A 2000,,Hydrology Station,MT,
MTos_S4,,MTos_WS1,,Unspecified,,4326,,,,,46.5359,-110.41799999999999,,,Gage,NF Musselshell Diversion Canal,40A 3000,,Hydrology Station,MT,
MTos_S5,,MTos_WS1,,Unspecified,,4326,,,,,46.45399999999999,-110.3088,,,Gage,Martinsdale Supply Canal,40A 4080,,Hydrology Station,MT,
MTos_S6,,MTos_WS1,,Unspecified,,4326,,,,,46.4525,-110.2665,,,Gage,Martinsdale Outlet Canal,40A 5000,,Hydrology Station,MT,
MTos_S7,,MTos_WS1,,Unspecified,,4326,,,,,46.4438,-110.1527,,,Gage,Two Dot Canal,40A 7000,,Hydrology Station,MT,
MTos_S8,,MTos_WS1,,Unspecified,,4326,,,,,46.3353,-109.4506,,,Gage,Deadman's Basin Supply Canal abv Drop to Res,40A 8080,,Hydrology Station,MT,
MTos_S9,,MTos_WS1,,Unspecified,,4326,,,,,46.385,-109.6279,,,Gage,Deadman's Basin Supply Canal,40A 8100,,Hydrology Station,MT,
MTos_S10,,MTos_WS1,,Unspecified,,4326,,,,,46.3392,-109.4004,,,Gage,Careless Canal,40A 9000,,Hydrology Station,MT,
MTos_S11,,MTos_WS1,,Unspecified,,4326,,,,,46.894401,-108.347623,,,Gage,Flatwillow Creek abv Petrolia Reservoir,40B 06000,,Hydrology Station,MT,
MTos_S12,,MTos_WS1,,Unspecified,,4326,,,,,48.95518,-112.75241000000001,,,Gage,Milk River near Del Bonita,40F 00900,,Hydrology Station,MT,
MTos_S13,,MTos_WS1,,Unspecified,,4326,,,,,48.363695,-108.357822,,,Gage,"Peoples Creek near Dodson, MT",40I 10000,,Hydrology Station,MT,
MTos_S14,,MTos_WS1,,Unspecified,,4326,,,,,48.396879999999996,-109.6975,,,Gage,"Beaver Creek nr Havre, MT",40J 08900,,Hydrology Station,MT,
MTos_S15,,MTos_WS1,,Unspecified,,4326,,,,,48.5279,-107.256,,,Gage,Frenchman Creek @ Mouth,40L-10050013,,Hydrology Station,MT,
MTos_S16,,MTos_WS1,,Unspecified,,4326,,,,,48.510176,-104.55055899999999,,,Gage,Big Muddy Canal abv Medicine Lake,40R 05000,,Hydrology Station,MT,
MTos_S17,,MTos_WS1,,Unspecified,,4326,,,,,44.645,-112.559,,,Gage,Red Rock River 1 abv Outlaw #6 Ditch,41A 02000,,Hydrology Station,MT,
MTos_S18,,MTos_WS1,,Unspecified,,4326,,,,,44.68,-112.62,,,Gage,Red Rock River 2 at Steel Bridge Lane,41A 03000,,Hydrology Station,MT,
MTos_S19,,MTos_WS1,,Unspecified,,4326,,,,,44.69,-112.65,,,Gage,Red Rock River 3 at Gravley Lane,41A 04000,,Hydrology Station,MT,
MTos_S20,,MTos_WS1,,Unspecified,,4326,,,,,44.8,-112.75,,,Gage,Red Rock River 5 at Ashbough Trail,41A 07000,,Hydrology Station,MT,
MTos_S21,,MTos_WS1,,Unspecified,,4326,,,,,44.914869,-112.82701200000001,,,Gage,Red Rock River abv Clark Canyon Res,41A 10000,,Hydrology Station,MT,
MTos_S22,,MTos_WS1,,Unspecified,,4326,,,,,45.32002,-112.120355,,,Gage,Clear Creek near Alder,41C 04900,,Hydrology Station,MT,
MTos_S23,,MTos_WS1,,Unspecified,,4326,,,,,45.3198,-112.11751000000001,,,Gage,Ruby River at Alder,41C 05000,,Hydrology Station,MT,
MTos_S24,,MTos_WS1,,Unspecified,,4326,,,,,45.41073,-112.20501999999999,,,Gage,Ruby River at Silver Springs,41C 07000,,Hydrology Station,MT,
MTos_S25,,MTos_WS1,,Unspecified,,4326,,,,,45.433240000000005,-112.25608000000001,,,Gage,Ruby River at Harrington Bridge,41C 08000,,Hydrology Station,MT,
MTos_S26,,MTos_WS1,,Unspecified,,4326,,,,,45.46929,-112.30138000000001,,,Gage,Ruby River at Wheatley,41C 09000,,Hydrology Station,MT,
MTos_S27,,MTos_WS1,,Unspecified,,4326,,,,,45.36094,-113.44105,,,Gage,"Big Hole River ab Spring Cr nr Jackson, MT",41D 02000,,Hydrology Station,MT,
MTos_S28,,MTos_WS1,,Unspecified,,4326,,,,,45.3601,-113.423561,,,Gage,Governor Cr nr Miner Lakes Rd,41D 03800,,Hydrology Station,MT,
MTos_S29,,MTos_WS1,,Unspecified,,4326,,,,,45.422090000000004,-113.45007,,,Gage,Miner Cr at Mouth,41D 04800,,Hydrology Station,MT,
MTos_S30,,MTos_WS1,,Unspecified,,4326,,,,,45.40849,-113.68548999999999,,,Gage,Big Lake Creek at Twin Lakes,41D 06550,,Hydrology Station,MT,
MTos_S31,,MTos_WS1,,Unspecified,,4326,,,,,45.57929,-113.49021,,,Gage,Rock Creek at Mouth,41D 06700,,Hydrology Station,MT,
MTos_S32,,MTos_WS1,,Unspecified,,4326,,,,,45.63525,-113.44348000000001,,,Gage,Steel Cr nr Hwy 43,41D 06850,,Hydrology Station,MT,
MTos_S33,,MTos_WS1,,Unspecified,,4326,,,,,45.65906,-113.46983999999999,,,Gage,Swamp Cr at NF Rd,41D 07200,,Hydrology Station,MT,
MTos_S34,,MTos_WS1,,Unspecified,,4326,,,,,45.87887,-113.19968,,,Gage,LaMarche Creek at Hwy 43,41D 07600,,Hydrology Station,MT,
MTos_S35,,MTos_WS1,,Unspecified,,4326,,,,,45.88366,-113.11762,,,Gage,Deep Creek at Highway 43,41D 07700,,Hydrology Station,MT,
MTos_S36,,MTos_WS1,,Unspecified,,4326,,,,,45.79435,-112.9514,,,Gage,Smart Creek spring creek nr mouth,41D 07790,,Hydrology Station,MT,
MTos_S37,,MTos_WS1,,Unspecified,,4326,,,,,45.684459999999994,-113.05904,,,Gage,Wise River below Pattengail Creek confluence,41D 07850,,Hydrology Station,MT,
MTos_S38,,MTos_WS1,,Unspecified,,4326,,,,,45.797509999999996,-112.94971000000001,,,Gage,Wise River nr mouth,41D 07900,,Hydrology Station,MT,
MTos_S39,,MTos_WS1,,Unspecified,,4326,,,,,45.43547,-112.57985,,,Gage,Halliday Spring Creek below pond,41D 08800,,Hydrology Station,MT,
MTos_S40,,MTos_WS1,,Unspecified,,4326,,,,,45.892790999999995,-111.309149,,,Gage,East Gallatin Rvr nr Manhattan,41H 08900,,Hydrology Station,MT,
MTos_S41,,MTos_WS1,,Unspecified,,4326,,,,,45.579082,-111.020416,,,Gage,Sourdough Creek above City Intake,41H 08950,,Hydrology Station,MT,
MTos_S42,,MTos_WS1,,Unspecified,,4326,,,,,45.695639,-111.026948,,,Gage,"Bozeman Creek at Bozeman, MT",41H 08990,,Hydrology Station,MT,
MTos_S43,,MTos_WS1,,Unspecified,,4326,,,,,45.4681,-110.9389,,,Gage,EF Hyalite Ck,41H 1000,,Hydrology Station,MT,
MTos_S44,,MTos_WS1,,Unspecified,,4326,,,,,45.4622,-110.9566,,,Gage,WF Hyalite Ck,41H 1500,,Hydrology Station,MT,
MTos_S45,,MTos_WS1,,Unspecified,,4326,,,,,45.501252,-110.98558200000001,,,Gage,Middle Creek blw Res,41H 2000,,Hydrology Station,MT,
MTos_S46,,MTos_WS1,,Unspecified,,4326,,,,,46.297164,-111.462079,,,Gage,"Deep Creek near Townsend, MT",41I 03500,,Hydrology Station,MT,
MTos_S47,,MTos_WS1,,Unspecified,,4326,,,,,46.57179,-112.2157,,,Gage,Tenmile Creek at Treatment Plant Bridge,41I 06060,,Hydrology Station,MT,
MTos_S48,,MTos_WS1,,Unspecified,,4326,,,,,46.11992,-111.40458000000001,,,Gage,Broadwater Main Canal Below Head Gate,41I 1500,,Hydrology Station,MT,
MTos_S49,,MTos_WS1,,Unspecified,,4326,,,,,46.13795,-111.40105,,,Gage,Broadwater East Canal Blw HG,41I 2000,,Hydrology Station,MT,
MTos_S50,,MTos_WS1,,Unspecified,,4326,,,,,46.136308,-111.403888,,,Gage,Broadwater West Canal blw HG,41I 3000,,Hydrology Station,MT,
MTos_S51,,MTos_WS1,,Unspecified,,4326,,,,,46.706340000000004,-110.6302,,,Gage,North Fork of Smith River near Forest Boundary,41J 01800,,Hydrology Station,MT,
MTos_S52,,MTos_WS1,,Unspecified,,4326,,,,,46.55823,-111.02731000000001,,,Gage,Smith River at Hanson's below Forks,41J 05000,,Hydrology Station,MT,
MTos_S53,,MTos_WS1,,Unspecified,,4326,,,,,46.57862,-111.20622,,,Gage,Camas Creek at Teague's,41J 08500,,Hydrology Station,MT,
MTos_S54,,MTos_WS1,,Unspecified,,4326,,,,,46.59115,-111.05791,,,Gage,Smith River at Buckingham's,41J 09000,,Hydrology Station,MT,
MTos_S55,,MTos_WS1,,Unspecified,,4326,,,,,46.7959,-111.17877,,,Gage,Smith River above Sheep Creek near Camp Baker,41J 09500,,Hydrology Station,MT,
MTos_S56,,MTos_WS1,,Unspecified,,4326,,,,,47.544784,-111.71065,,,Gage,Mill Coulee Ck nr Sun River,41K 09900,,Hydrology Station,MT,
MTos_S57,,MTos_WS1,,Unspecified,,4326,,,,,47.4625,-112.5749,,,Gage,Nilan Supply Canal,41K 2080,,Hydrology Station,MT,
MTos_S58,,MTos_WS1,,Unspecified,,4326,,,,,47.4736,-112.5152,,,Gage,Nilan East Canal blw Reservoir,41K 4000,,Hydrology Station,MT,
MTos_S59,,MTos_WS1,,Unspecified,,4326,,,,,47.8812564,-112.3621247,,,Gage,McDonald Creek near Mouth,41O 02900,,Hydrology Station,MT,
MTos_S60,,MTos_WS1,,Unspecified,,4326,,,,,47.871539,-112.30106299999998,,,Gage,Teton River above Springhill,41O 03000,,Hydrology Station,MT,
MTos_S61,,MTos_WS1,,Unspecified,,4326,,,,,47.851849,-112.236722,,,Gage,Teton River at Saylor Bridge,41O 04000,,Hydrology Station,MT,
MTos_S62,,MTos_WS1,,Unspecified,,4326,,,,,47.714917,-112.390429,,,Gage,"Deep Creek near Choteau, MT",41O 04850,,Hydrology Station,MT,
MTos_S63,,MTos_WS1,,Unspecified,,4326,,,,,47.8641647,-112.239227,,,Gage,Upper Spring Creek,41O 04910,,Hydrology Station,MT,
MTos_S64,,MTos_WS1,,Unspecified,,4326,,,,,47.8251391,-112.19004070000001,,,Gage,Middle Spring Creek,41O 04950,,Hydrology Station,MT,
MTos_S65,,MTos_WS1,,Unspecified,,4326,,,,,47.812915999999994,-112.179901,,,Gage,Spring Creek at City Park,41O 04970,,Hydrology Station,MT,
MTos_S66,,MTos_WS1,,Unspecified,,4326,,,,,47.799625,-112.1642997,,,Gage,Lower Spring Creek,41O 04990,,Hydrology Station,MT,
MTos_S67,,MTos_WS1,,Unspecified,,4326,,,,,47.8113944,-112.0884719,,,Gage,Teton River above Hwy 221 bridge,41O 05000,,Hydrology Station,MT,
MTos_S68,,MTos_WS1,,Unspecified,,4326,,,,,47.8560519,-110.9619375,,,Gage,Teton River below Buck Bridge,41O 09000,,Hydrology Station,MT,
MTos_S69,,MTos_WS1,,Unspecified,,4326,,,,,47.281441,-109.676427,,,Gage,Warm Springs Creek @ Sandrock Road,41S 08900,,Hydrology Station,MT,
MTos_S70,,MTos_WS1,,Unspecified,,4326,,,,,46.9578,-109.9413,,,Gage,Ackley Lake Supply Canal,41S 2080,,Hydrology Station,MT,
MTos_S71,,MTos_WS1,,Unspecified,,4326,,,,,46.9593,-109.9322,,,Gage,Ackley Lake Outlet Canal,41S 3000,,Hydrology Station,MT,
MTos_S72,,MTos_WS1,,Unspecified,,4326,,,,,47.28076,-112.48261000000001,,,Gage,Upper Dearborn River,41U 01000,,Hydrology Station,MT,
MTos_S73,,MTos_WS1,,Unspecified,,4326,,,,,47.22038,-112.2241,,,Gage,Middle Fork Dearborn,41U 03900,,Hydrology Station,MT,
MTos_S74,,MTos_WS1,,Unspecified,,4326,,,,,47.219429999999996,-112.24231999999999,,,Gage,Dearborn River Highway 200,41U 04000,,Hydrology Station,MT,
MTos_S75,,MTos_WS1,,Unspecified,,4326,,,,,47.161190000000005,-112.21883000000001,,,Gage,South Fork Dearborn,41U 05900,,Hydrology Station,MT,
MTos_S76,,MTos_WS1,,Unspecified,,4326,,,,,47.30338,-112.12159,,,Gage,Flat Creek Highway 200,41U 08100,,Hydrology Station,MT,
MTos_S77,,MTos_WS1,,Unspecified,,4326,,,,,47.2235,-112.05917,,,Gage,Lower Flat Creek,41U 08900,,Hydrology Station,MT,
MTos_S78,,MTos_WS1,,Unspecified,,4326,,,,,47.13118,-111.91335,,,Gage,Dearborn River Mouth,41U 09000,,Hydrology Station,MT,
