OID_,LocationID,LocationCode,LocationName,LocationPath,LocationType,IsExternalLocation,Longitude,Latitude,UtcOffset,LastModified,ElevationUnits,Elevation,Description,Tags,ExtendedAttributeValues,StatusDesc,ActiveFlag
1,b947d0c2364e4948a8032baac8904bef,40A 1500,NF Musselshell near Delphine,All Locations.DNRC SWP,Hydrology Station,0,-110.576800000000006,46.609400000000001,-PT7H,2/4/2021 15:20:51,ft,5380.533000000000357,North Fork Musselshell River near Delphine,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
2,b85ca58a37784f2aa2fb33588dc4cfe9,40A 2000,NF Musselshell blw Bair Reservoir,All Locations.DNRC SWP,Hydrology Station,0,-110.553500000000000,46.574700000000000,-PT7H,2/4/2021 15:33:18,ft,5232.449999999999818,North Fork Musselshell River below Bair Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
3,f412dc9558214d9f82ca6dd0ebcc3970,40A 10000,Barber Canal,All Locations.DNRC SWP,Hydrology Station,0,-109.401200000000003,46.337899999999998,-PT7H,2/4/2021 15:34:28,ft,3877.728999999999814,Deadman's Basin Outlet Canal-Barber Canal (Sontek SW),"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
4,61da4aa318334518843094d1f7d8fe0e,40A 3000,NF Musselshell Diversion Canal,All Locations.DNRC SWP,Hydrology Station,0,-110.418000000000006,46.535899999999998,-PT7H,2/4/2021 15:34:56,ft,4958.962000000000444,North Fork Musselshell River Diversion Canal blw HeadGate,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
5,35143516212943bf8c60b01287ad82f0,40A 4080,Martinsdale Supply Canal,All Locations.DNRC SWP,Hydrology Station,0,-110.308800000000005,46.454000000000001,-PT7H,2/4/2021 15:36:09,ft,4802.064999999999600,Martinsdale Supply Canal abv Drop ,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
6,dcdcd8ac428a4a20bc8d76be0b8de2bc,40A 5000,Martinsdale Outlet Canal,All Locations.DNRC SWP,Hydrology Station,0,-110.266499999999994,46.452500000000001,-PT7H,2/4/2021 15:36:33,ft,4713.302999999999884,Martinsdale Outlet Canal (Sontek IQ),"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
7,54a1c6dad7ce4163ba0a119c0715f749,40A 7000,Two Dot Canal,All Locations.DNRC SWP,Hydrology Station,0,-110.152699999999996,46.443800000000003,-PT7H,2/4/2021 15:37:23,ft,4523.529000000000451,Two Dot Canal blw Diversion,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
8,8cf1101bca454be1b478f2ac32b2d176,40A 8080,Deadman's Basin Supply Canal abv Drop to Res,All Locations.DNRC SWP,Hydrology Station,0,-109.450599999999994,46.335299999999997,-PT7H,2/4/2021 16:40:48,ft,3922.273000000000138,Deadman's Basin Supply Canal abv Drop to Reservoir,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
9,a0d98b0233cb42f2b7b21699bb7b7177,40A 8100,Deadman's Basin Supply Canal,All Locations.DNRC SWP,Hydrology Station,0,-109.627899999999997,46.384999999999998,-PT7H,2/4/2021 16:41:18,ft,3963.036000000000058,Deadmans Basin Supply Canal,"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
10,1ada4ab23774452797a7060a7fe11070,40A 9000,Careless Canal,All Locations.DNRC SWP,Hydrology Station,0,-109.400400000000005,46.339199999999998,-PT7H,2/4/2021 16:42:13,ft,3871.807999999999993,Deadman's Basin Outlet Canal-Careless Canal (Sontek SW),"[{""UniqueId"": ""1c1aabaa26e8495bae4b3f69f0fd617b"", ""Name"": ""DNRC SWP"", ""Key"": ""DNRC SWP"", ""Value"": null}, {""UniqueId"": ""924fee8b5bf14156bc01180ce644d030"", ""Name"": ""Lower Missouri"", ""Key"": ""Lower Missouri"", ""Value"": null}, {""UniqueId"": ""55356f4ad4764f1ebf8fc8506638e32c"", ""Name"": ""Real-time"", ""Key"": ""Real-time"", ""Value"": null}, {""UniqueId"": ""ed739f22553e4d2ca4a63ef6c4d99fa9"", ""Name"": ""Musselshell"", ""Key"": ""Musselshell"", ""Value"": null}]",[],Real-time,1
