MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2020,,2020-07-01,2020-07-01,Bad SiteUUID,271703.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,0.44867662,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-08-30,2018-08-30,Bad SiteUUID,271704.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,3.80828751,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-08-31,2018-08-31,Bad SiteUUID,271705.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,4.16409006,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-01,2018-09-01,Bad SiteUUID,271706.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,4.21025137,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-02,2018-09-02,Bad SiteUUID,271707.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,4.21706082,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-03,2018-09-03,Bad SiteUUID,271708.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,4.33741708,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-04,2018-09-04,Bad SiteUUID,271709.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,4.4614708,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-05,2018-09-05,Bad SiteUUID,271710.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,4.90320351,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-06,2018-09-06,Bad SiteUUID,271711.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.78385985,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-07,2018-09-07,Bad SiteUUID,271712.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.56495442,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-08,2018-09-08,Bad SiteUUID,271713.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.42258402,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-09,2018-09-09,Bad SiteUUID,271714.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.28531803,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-10,2018-09-10,Bad SiteUUID,271715.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.27873943,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-11,2018-09-11,Bad SiteUUID,271716.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.33084908,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-12,2018-09-12,Bad SiteUUID,271717.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.39838334,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-13,2018-09-13,Bad SiteUUID,271718.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.40988666,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-14,2018-09-14,Bad SiteUUID,271719.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.43118296,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-15,2018-09-15,Bad SiteUUID,271720.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.50935925,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-16,2018-09-16,Bad SiteUUID,271721.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.41974499,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-17,2018-09-17,Bad SiteUUID,271722.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.37065559,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-18,2018-09-18,Bad SiteUUID,271723.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.39656731,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-19,2018-09-19,Bad SiteUUID,271724.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.58988193,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-20,2018-09-20,Bad SiteUUID,271725.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.50622237,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-21,2018-09-21,Bad SiteUUID,271726.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.44798501,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-22,2018-09-22,Bad SiteUUID,271727.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.51076234,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-09-23,2018-09-23,Bad SiteUUID,271728.0
