OID_,SensorCode,SensorID,SensorLabel,Comment,Description,isPublished,LocationName,LocationCode,LocationID,SubLocationCode,TimeSeriesType,Parameter,UnitOfMeasure,UtcOffset,ComputationMethod,ComputationPeriod,LastModifiedTime,ExtendedAttributeValues,ParameterLabel
1,Discharge.Daily Average@40A 1500,e069deacfba143b3ba052cc39714d44d,Daily Average,,,1,NF Musselshell near Delphine,40A 1500,b947d0c2364e4948a8032baac8904bef,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:02,[],Discharge
2,Discharge.discharge@40A 1500,d3310b1c958446fe99a69e8997d848d8,discharge,,,1,NF Musselshell near Delphine,40A 1500,b947d0c2364e4948a8032baac8904bef,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:02,[],Discharge
3,Stage.working@40A 1500,650125de347f4ff5b617d6dd995cd4e7,working,,,1,NF Musselshell near Delphine,40A 1500,b947d0c2364e4948a8032baac8904bef,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:02,[],Stage
4,Discharge.Daily Average@40A 2000,71a11087f6ce4e25b753b429143e9b23,Daily Average,,,1,NF Musselshell blw Bair Reservoir,40A 2000,b85ca58a37784f2aa2fb33588dc4cfe9,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:02,[],Discharge
5,Discharge.discharge@40A 2000,0f1ce86e86f841ae91996afb7ced5ac7,discharge,,,1,NF Musselshell blw Bair Reservoir,40A 2000,b85ca58a37784f2aa2fb33588dc4cfe9,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:02,[],Discharge
6,Stage.stage@40A 2000,94664635d58f42c4afad73ab0094a396,stage,,,1,NF Musselshell blw Bair Reservoir,40A 2000,b85ca58a37784f2aa2fb33588dc4cfe9,,ProcessorBasic,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:16:12,[],Stage
7,Stage.working@40A 2000,e69d90a04b20431185074fcf925cb53c,working,,real time data working data set,1,NF Musselshell blw Bair Reservoir,40A 2000,b85ca58a37784f2aa2fb33588dc4cfe9,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:02,[],Stage
8,Discharge.Daily Average@40A 10000,53271ee869f147a4b2e1d4bf6d8c5f30,Daily Average,,,1,Barber Canal,40A 10000,f412dc9558214d9f82ca6dd0ebcc3970,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/2/2021 6:24:02,[],Discharge
9,Discharge.discharge@40A 10000,8efc886fb5364b46998d82168cb09504,discharge,,,1,Barber Canal,40A 10000,f412dc9558214d9f82ca6dd0ebcc3970,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:02,[],Discharge
10,Stage.working@40A 10000,c536155e184d464a97022ab50e4919d6,working,,,1,Barber Canal,40A 10000,f412dc9558214d9f82ca6dd0ebcc3970,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:02,[],Stage
